ダウンロードした時刻：2017/07/24 15:38:51

,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,3.0,8.7,1.1
1987/1/2,3.3,6.0,0.6
1987/1/3,9.1,12.2,6.0
1987/1/4,2.6,7.0,0.7
1987/1/5,2.8,4.6,0.4
1987/1/6,4.8,8.6,2.0
1987/1/7,6.9,11.2,0.8
1987/1/8,8.3,11.5,6.7
1987/1/9,3.9,7.9,0.7
1987/1/10,-0.3,1.7,-2.9
1987/1/11,-0.3,2.0,-2.7
1987/1/12,2.3,6.8,-1.3
1987/1/13,1.5,4.3,0.0
1987/1/14,2.4,4.9,-0.1
1987/1/15,5.1,8.7,2.8
1987/1/16,9.2,13.0,4.5
1987/1/17,7.9,12.8,4.2
1987/1/18,2.4,4.7,0.8
1987/1/19,1.5,4.2,-1.3
1987/1/20,-1.5,-0.4,-2.3
1987/1/21,0.8,5.1,-1.8
1987/1/22,2.8,9.0,-2.2
1987/1/23,8.8,16.5,0.4
1987/1/24,4.6,8.4,0.5
1987/1/25,-0.8,1.2,-2.3
1987/1/26,1.0,3.8,-1.9
1987/1/27,2.7,7.0,1.0
1987/1/28,5.0,9.0,2.2
1987/1/29,9.8,12.1,5.7
1987/1/30,5.0,11.6,1.1
1987/1/31,0.3,2.7,-1.2
1987/2/1,-0.3,3.1,-3.1
1987/2/2,1.2,5.6,-3.3
1987/2/3,1.4,4.0,0.2
1987/2/4,1.0,2.6,-0.6
1987/2/5,4.0,7.9,0.7
1987/2/6,5.0,9.1,2.1
1987/2/7,8.1,11.8,4.3
1987/2/8,6.0,10.4,2.2
1987/2/9,10.4,15.0,1.5
1987/2/10,12.3,18.3,7.2
1987/2/11,17.2,20.0,10.0
1987/2/12,5.7,17.8,2.5
1987/2/13,5.6,11.2,0.6
1987/2/14,6.0,10.9,2.1
1987/2/15,2.6,7.1,0.8
1987/2/16,2.2,4.4,0.0
1987/2/17,1.1,3.4,-1.4
1987/2/18,4.2,7.1,1.2
1987/2/19,1.2,3.0,-0.3
1987/2/20,2.0,6.4,-0.7
1987/2/21,2.3,6.8,-2.3
1987/2/22,5.0,10.5,0.0
1987/2/23,8.6,12.5,2.3
1987/2/24,10.2,16.1,5.2
1987/2/25,1.6,6.5,-0.7
1987/2/26,0.6,2.0,-1.2
1987/2/27,0.0,2.9,-1.3
1987/2/28,1.2,4.7,-0.7
1987/3/1,0.3,2.0,-1.0
1987/3/2,0.4,3.1,-1.8
1987/3/3,4.4,6.6,0.0
1987/3/4,8.8,11.5,5.6
1987/3/5,11.7,13.8,7.8
1987/3/6,5.7,12.4,2.0
1987/3/7,0.9,2.9,-0.2
1987/3/8,3.4,6.0,0.4
1987/3/9,5.1,9.3,2.4
1987/3/10,3.2,6.2,0.2
1987/3/11,4.8,8.8,1.4
1987/3/12,6.5,11.1,2.7
1987/3/13,8.0,13.6,2.2
1987/3/14,8.8,11.6,5.8
1987/3/15,5.8,9.3,2.7
1987/3/16,4.9,8.7,2.0
1987/3/17,5.2,8.7,1.2
1987/3/18,8.3,13.1,3.9
1987/3/19,8.7,14.5,4.9
1987/3/20,7.6,9.4,3.4
1987/3/21,8.5,14.5,1.9
1987/3/22,11.6,18.2,7.1
1987/3/23,12.1,16.9,9.4
1987/3/24,10.8,16.4,8.0
1987/3/25,4.6,10.9,0.9
1987/3/26,3.1,7.6,0.2
1987/3/27,6.1,11.7,0.6
1987/3/28,7.2,11.6,1.8
1987/3/29,9.3,16.1,4.5
1987/3/30,12.3,20.9,4.1
1987/3/31,4.0,10.6,0.4
1987/4/1,4.1,8.3,-0.5
1987/4/2,7.0,10.3,3.8
1987/4/3,9.4,13.4,4.7
1987/4/4,11.9,16.2,6.9
1987/4/5,12.3,17.8,4.5
1987/4/6,15.7,23.1,8.0
1987/4/7,14.0,16.9,11.2
1987/4/8,11.8,15.6,8.9
1987/4/9,15.6,21.9,6.9
1987/4/10,14.4,16.9,11.1
1987/4/11,7.9,11.1,5.8
1987/4/12,6.1,10.3,3.6
1987/4/13,4.1,8.7,1.4
1987/4/14,6.0,10.5,2.2
1987/4/15,7.7,13.5,1.5
1987/4/16,11.0,18.1,2.6
1987/4/17,14.6,20.7,8.2
1987/4/18,16.2,24.0,9.1
1987/4/19,16.4,22.5,9.8
1987/4/20,18.1,23.4,11.6
1987/4/21,21.7,29.6,12.2
1987/4/22,16.8,23.5,14.0
1987/4/23,16.3,20.2,11.1
1987/4/24,12.6,15.8,8.0
1987/4/25,9.8,14.1,6.7
1987/4/26,7.4,9.1,5.7
1987/4/27,9.0,13.5,4.0
1987/4/28,13.2,20.4,5.8
1987/4/29,15.7,22.7,8.7
1987/4/30,19.0,26.2,10.7
1987/5/1,18.2,22.3,14.4
