ダウンロードした時刻：2017/07/24 15:47:54

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,13.7,15.0,12.3
1983/1/2,12.7,15.2,11.6
1983/1/3,11.6,13.4,9.9
1983/1/4,13.9,16.0,10.5
1983/1/5,18.1,19.9,15.8
1983/1/6,16.4,19.0,14.7
1983/1/7,16.5,19.3,14.6
1983/1/8,11.8,14.9,9.6
1983/1/9,9.1,11.9,7.8
1983/1/10,7.6,9.3,6.6
1983/1/11,9.0,10.8,6.3
1983/1/12,9.5,11.0,7.5
1983/1/13,10.4,11.7,9.2
1983/1/14,9.7,11.9,7.6
1983/1/15,11.2,14.5,7.2
1983/1/16,13.1,16.5,9.2
1983/1/17,15.1,18.3,8.9
1983/1/18,15.1,18.1,11.4
1983/1/19,10.0,11.8,8.4
1983/1/20,7.2,8.9,5.9
1983/1/21,7.4,9.6,5.8
1983/1/22,5.9,7.9,4.6
1983/1/23,7.1,9.8,2.5
1983/1/24,9.8,13.1,7.3
1983/1/25,11.3,13.0,7.6
1983/1/26,12.2,15.0,7.7
1983/1/27,13.0,15.6,10.8
1983/1/28,13.4,15.8,11.7
1983/1/29,15.0,17.8,12.3
1983/1/30,16.4,19.5,11.6
1983/1/31,12.7,15.4,9.7
1983/2/1,16.3,19.7,14.0
1983/2/2,16.6,19.8,14.6
1983/2/3,13.7,16.8,11.8
1983/2/4,12.0,13.8,9.5
1983/2/5,12.5,14.7,11.1
1983/2/6,13.2,15.5,11.0
1983/2/7,12.1,14.0,10.0
1983/2/8,10.8,12.4,9.6
1983/2/9,11.6,14.9,8.1
1983/2/10,9.2,13.8,7.2
1983/2/11,10.4,12.1,7.3
1983/2/12,9.1,11.1,6.6
1983/2/13,6.6,9.2,4.2
1983/2/14,10.3,14.6,3.4
1983/2/15,14.8,18.3,11.2
1983/2/16,13.8,15.6,10.0
1983/2/17,13.0,14.6,11.8
1983/2/18,8.9,14.0,4.8
1983/2/19,8.0,9.7,6.0
1983/2/20,8.0,9.6,6.6
1983/2/21,5.9,9.2,1.7
1983/2/22,10.1,14.1,3.7
1983/2/23,15.1,18.4,8.7
1983/2/24,14.5,17.8,11.8
1983/2/25,11.6,13.2,9.8
1983/2/26,11.5,15.5,8.4
1983/2/27,12.1,15.0,8.2
1983/2/28,13.1,15.5,11.7
1983/3/1,18.7,20.5,15.4
1983/3/2,18.4,22.3,15.7
1983/3/3,14.5,16.0,12.9
1983/3/4,11.2,13.3,9.9
1983/3/5,10.0,11.7,7.4
1983/3/6,11.5,14.0,9.4
1983/3/7,11.9,14.4,9.6
1983/3/8,9.2,11.0,5.6
1983/3/9,13.4,17.4,9.3
1983/3/10,15.4,17.8,13.0
1983/3/11,13.8,16.6,10.7
1983/3/12,15.9,18.8,10.9
1983/3/13,15.0,19.0,10.8
1983/3/14,11.4,14.0,9.3
1983/3/15,13.0,16.4,8.6
1983/3/16,15.6,18.7,12.7
1983/3/17,12.0,15.3,9.3
1983/3/18,11.3,13.8,9.5
1983/3/19,13.3,16.8,6.5
1983/3/20,16.7,18.3,15.0
1983/3/21,18.4,21.5,17.0
1983/3/22,18.5,20.6,17.1
1983/3/23,19.6,22.2,17.9
1983/3/24,16.5,18.8,14.1
1983/3/25,15.0,17.9,13.5
1983/3/26,14.2,15.4,13.4
1983/3/27,15.6,17.6,13.6
1983/3/28,15.8,16.4,15.1
1983/3/29,15.2,16.3,14.1
1983/3/30,16.6,17.7,15.1
1983/3/31,17.8,19.1,16.3
1983/4/1,15.5,17.2,14.2
1983/4/2,16.5,19.9,13.6
1983/4/3,16.2,18.7,13.2
1983/4/4,16.9,19.8,14.9
1983/4/5,16.1,19.2,12.6
1983/4/6,18.3,21.6,13.7
1983/4/7,18.1,20.9,16.6
1983/4/8,17.7,18.9,16.7
1983/4/9,18.8,20.3,17.7
1983/4/10,20.6,24.3,18.9
1983/4/11,18.9,20.9,17.5
1983/4/12,17.9,20.7,15.2
1983/4/13,19.5,22.7,15.7
1983/4/14,20.6,22.3,19.1
1983/4/15,20.4,22.3,19.0
1983/4/16,15.0,20.2,12.8
1983/4/17,14.3,15.3,13.5
1983/4/18,18.1,19.6,14.0
1983/4/19,21.1,22.3,19.5
1983/4/20,19.3,22.1,17.5
1983/4/21,20.1,23.1,17.4
1983/4/22,19.1,22.5,16.8
1983/4/23,18.4,21.1,16.1
1983/4/24,19.0,23.2,15.9
1983/4/25,20.6,23.8,16.5
1983/4/26,22.2,25.2,19.8
1983/4/27,23.8,26.8,21.6
1983/4/28,25.0,27.7,23.0
1983/4/29,20.3,27.9,15.3
1983/4/30,15.0,17.8,13.0
1983/5/1,18.1,22.6,13.9
