ダウンロードした時刻：2017/07/24 15:37:34

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/1/1,1.6,4.0,-1.3
1990/1/2,2.3,5.0,0.5
1990/1/3,1.7,5.3,-0.4
1990/1/4,1.9,3.4,0.1
1990/1/5,3.3,6.2,0.5
1990/1/6,3.2,5.3,-0.5
1990/1/7,1.0,2.4,-1.0
1990/1/8,3.9,6.6,1.2
1990/1/9,1.7,6.2,-2.5
1990/1/10,5.5,12.0,1.4
1990/1/11,5.4,9.0,2.8
1990/1/12,5.4,10.2,1.4
1990/1/13,0.3,3.6,-2.3
1990/1/14,-0.8,1.3,-2.5
1990/1/15,0.2,2.6,-1.6
1990/1/16,-2.7,1.0,-5.3
1990/1/17,-0.6,2.9,-5.1
1990/1/18,3.1,8.7,-2.8
1990/1/19,2.7,5.4,-1.4
1990/1/20,-1.9,-0.5,-3.1
1990/1/21,-2.7,-0.4,-6.8
1990/1/22,0.4,3.9,-2.8
1990/1/23,-3.8,-0.3,-8.1
1990/1/24,-4.3,-1.3,-6.8
1990/1/25,-4.1,-2.2,-5.8
1990/1/26,-3.5,-2.2,-6.0
1990/1/27,-2.8,-0.2,-4.3
1990/1/28,-1.0,0.9,-3.9
1990/1/29,-1.3,0.5,-3.8
1990/1/30,-0.5,4.7,-1.8
1990/1/31,-2.2,-1.1,-3.6
1990/2/1,-1.6,1.4,-3.4
1990/2/2,-1.2,2.9,-4.1
1990/2/3,1.0,5.3,-5.8
1990/2/4,1.1,4.3,-3.5
1990/2/5,0.5,5.9,-4.1
1990/2/6,1.9,4.8,-2.0
1990/2/7,3.3,7.8,-1.1
1990/2/8,2.2,3.9,0.1
1990/2/9,1.0,4.5,-1.2
1990/2/10,2.6,5.9,-2.5
1990/2/11,7.1,10.3,3.6
1990/2/12,3.8,7.2,1.0
1990/2/13,2.7,5.7,0.1
1990/2/14,2.8,4.8,1.2
1990/2/15,3.8,5.8,2.0
1990/2/16,4.9,7.4,3.0
1990/2/17,5.9,8.4,3.5
1990/2/18,5.3,9.1,0.8
1990/2/19,6.4,8.2,1.9
1990/2/20,9.4,12.3,7.4
1990/2/21,6.9,8.8,5.7
1990/2/22,5.6,8.3,2.6
1990/2/23,8.7,12.6,2.7
1990/2/24,7.7,8.4,6.9
1990/2/25,7.1,8.4,6.0
1990/2/26,6.2,7.8,4.5
1990/2/27,3.7,5.9,2.1
1990/2/28,2.3,5.7,-1.4
1990/3/1,3.6,8.5,-2.4
1990/3/2,6.0,9.7,2.0
1990/3/3,5.6,7.0,4.7
1990/3/4,6.8,9.6,4.7
1990/3/5,5.3,7.5,3.4
1990/3/6,5.0,8.6,0.7
1990/3/7,3.0,6.2,-0.1
1990/3/8,3.1,4.9,1.3
1990/3/9,7.0,10.6,2.4
1990/3/10,7.8,12.4,0.7
1990/3/11,9.7,13.5,4.2
1990/3/12,7.2,12.4,2.4
1990/3/13,3.0,4.8,0.8
1990/3/14,5.2,8.8,1.1
1990/3/15,6.1,9.5,4.6
1990/3/16,6.0,7.9,4.9
1990/3/17,5.6,8.3,2.1
1990/3/18,5.5,10.1,-0.4
1990/3/19,7.9,10.4,5.0
1990/3/20,8.7,10.6,6.2
1990/3/21,6.3,8.5,4.3
1990/3/22,5.4,10.3,0.5
1990/3/23,6.9,13.0,-1.1
1990/3/24,6.8,8.5,5.2
1990/3/25,3.6,6.1,1.3
1990/3/26,2.5,5.8,-1.2
1990/3/27,4.6,9.0,-1.0
1990/3/28,7.5,12.9,1.6
1990/3/29,9.0,16.0,2.3
1990/3/30,8.8,13.8,3.6
1990/3/31,10.3,14.7,5.6
1990/4/1,9.7,13.9,4.9
1990/4/2,8.8,14.6,3.0
1990/4/3,12.8,23.1,3.1
1990/4/4,10.5,16.4,5.0
1990/4/5,5.5,7.6,0.9
1990/4/6,7.8,10.7,3.6
1990/4/7,10.9,17.2,1.8
1990/4/8,10.0,12.7,6.8
1990/4/9,12.0,15.3,8.8
1990/4/10,10.2,15.1,5.8
1990/4/11,13.8,21.8,4.5
1990/4/12,16.2,23.1,8.1
1990/4/13,14.2,17.1,11.9
1990/4/14,12.1,13.2,11.1
1990/4/15,10.4,13.6,7.3
1990/4/16,7.6,11.7,5.8
1990/4/17,7.4,10.5,5.1
1990/4/18,8.3,11.6,5.3
1990/4/19,7.9,11.0,4.2
1990/4/20,10.9,17.4,1.8
1990/4/21,10.9,12.7,9.6
1990/4/22,16.0,20.5,10.1
1990/4/23,12.6,17.0,9.8
1990/4/24,9.3,11.4,6.8
1990/4/25,11.1,16.6,6.1
1990/4/26,14.1,21.9,7.2
1990/4/27,12.0,16.9,6.0
1990/4/28,15.9,21.5,10.4
1990/4/29,11.2,13.4,9.7
1990/4/30,10.8,13.9,7.3
1990/5/1,11.2,14.2,7.7
