É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:29

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1992/1/1,3.1,10.0,-2.8
1992/1/2,3.8,10.0,-1.8
1992/1/3,4.5,11.1,-1.5
1992/1/4,3.9,10.6,-1.0
1992/1/5,3.4,10.5,-3.5
1992/1/6,3.2,7.7,-0.2
1992/1/7,4.4,6.6,2.5
1992/1/8,6.5,13.1,2.0
1992/1/9,3.8,5.1,1.3
1992/1/10,2.9,8.5,-1.6
1992/1/11,1.8,8.5,-4.0
1992/1/12,2.7,9.3,-2.5
1992/1/13,5.0,12.9,-2.0
1992/1/14,4.6,11.4,-2.1
1992/1/15,0.1,6.2,-4.8
1992/1/16,2.6,7.4,-4.1
1992/1/17,4.1,9.3,-1.2
1992/1/18,2.7,8.8,-2.0
1992/1/19,1.2,7.5,-3.5
1992/1/20,1.5,8.8,-4.2
1992/1/21,1.8,8.0,-4.1
1992/1/22,3.7,11.5,-2.9
1992/1/23,2.6,8.7,-2.4
1992/1/24,1.2,7.6,-4.1
1992/1/25,2.9,10.1,-3.3
1992/1/26,3.7,10.3,-2.2
1992/1/27,5.5,11.1,1.7
1992/1/28,4.8,12.4,-2.0
1992/1/29,6.5,14.4,-0.7
1992/1/30,4.8,6.4,3.0
1992/1/31,1.6,3.0,0.2
1992/2/1,1.1,4.2,-1.4
1992/2/2,0.5,6.8,-4.9
1992/2/3,2.7,7.3,-1.5
1992/2/4,5.0,11.5,-0.6
1992/2/5,2.4,8.6,-3.1
1992/2/6,3.0,7.9,-2.2
1992/2/7,5.3,12.0,0.9
1992/2/8,2.0,7.2,-2.0
1992/2/9,1.4,8.1,-4.6
1992/2/10,2.9,9.3,-3.0
1992/2/11,2.3,8.6,-2.9
1992/2/12,5.0,11.3,-1.1
1992/2/13,6.5,13.3,0.1
1992/2/14,4.5,11.2,-0.4
1992/2/15,4.7,11.8,-2.7
1992/2/16,6.1,14.4,0.1
1992/2/17,3.2,9.6,-3.2
1992/2/18,5.0,10.1,1.6
1992/2/19,3.4,9.8,-1.0
1992/2/20,1.5,7.0,-3.1
1992/2/21,2.5,8.4,-1.5
1992/2/22,0.7,6.6,-5.2
1992/2/23,2.4,10.5,-4.7
1992/2/24,3.5,7.8,-3.1
1992/2/25,3.2,8.4,-1.7
1992/2/26,2.5,9.3,-4.2
1992/2/27,5.3,12.9,-3.0
1992/2/28,8.1,14.7,0.8
1992/2/29,11.4,17.9,5.4
1992/3/1,12.4,21.5,8.2
1992/3/2,8.0,15.1,2.7
1992/3/3,3.5,7.2,1.0
1992/3/4,3.9,10.8,-3.1
1992/3/5,3.4,4.7,2.8
1992/3/6,6.9,14.2,3.1
1992/3/7,5.0,10.6,-0.1
1992/3/8,5.7,11.9,-0.5
1992/3/9,8.6,15.0,1.2
1992/3/10,9.4,14.6,6.1
1992/3/11,9.7,15.4,5.9
1992/3/12,7.1,9.8,5.0
1992/3/13,9.6,17.1,2.7
1992/3/14,11.4,18.1,3.3
1992/3/15,13.9,18.3,9.1
1992/3/16,10.3,14.4,4.9
1992/3/17,3.5,5.0,1.8
1992/3/18,2.4,4.8,0.8
1992/3/19,6.3,12.0,0.2
1992/3/20,9.3,16.3,3.6
1992/3/21,1.8,7.4,-1.5
1992/3/22,2.9,10.3,-3.1
1992/3/23,1.8,5.4,-1.1
1992/3/24,6.5,12.2,2.0
1992/3/25,9.5,13.4,5.0
1992/3/26,10.4,14.2,8.8
1992/3/27,8.3,11.6,5.8
1992/3/28,9.1,14.5,2.2
1992/3/29,9.8,11.4,8.3
1992/3/30,13.7,19.8,8.9
1992/3/31,11.2,18.0,4.1
1992/4/1,11.0,12.5,9.3
1992/4/2,16.3,23.3,10.8
1992/4/3,13.3,21.0,6.5
1992/4/4,13.1,19.1,6.6
1992/4/5,11.2,12.8,10.0
1992/4/6,13.8,21.2,6.7
1992/4/7,10.2,15.1,5.6
1992/4/8,9.3,13.6,5.4
1992/4/9,13.2,20.7,6.7
1992/4/10,9.1,12.3,6.8
1992/4/11,8.8,12.4,6.1
1992/4/12,7.5,9.9,3.5
1992/4/13,8.3,15.8,1.6
1992/4/14,9.4,14.6,5.9
1992/4/15,9.7,14.6,5.1
1992/4/16,11.7,16.5,8.3
1992/4/17,11.3,18.1,3.9
1992/4/18,13.3,18.0,7.6
1992/4/19,12.1,16.2,10.4
1992/4/20,13.0,21.6,6.0
1992/4/21,12.7,20.3,3.6
1992/4/22,12.5,17.3,8.3
1992/4/23,15.0,23.4,5.1
1992/4/24,15.2,20.8,7.9
1992/4/25,15.0,21.5,7.2
1992/4/26,13.5,20.2,4.1
1992/4/27,17.6,26.5,8.9
1992/4/28,18.1,24.9,11.2
1992/4/29,18.1,23.4,12.7
1992/4/30,9.2,13.4,7.3
1992/5/1,11.2,16.5,6.7
