ダウンロードした時刻：2017/07/24 15:39:11

,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,-0.3,3.7,-4.0
1992/1/2,2.3,6.5,-0.9
1992/1/3,1.4,5.7,-1.9
1992/1/4,1.3,4.7,-2.2
1992/1/5,1.0,6.3,-4.6
1992/1/6,1.6,4.5,0.1
1992/1/7,2.5,6.9,0.7
1992/1/8,3.3,7.9,0.1
1992/1/9,1.6,2.7,0.5
1992/1/10,1.0,2.9,-1.5
1992/1/11,0.2,5.6,-3.8
1992/1/12,1.3,8.2,-3.0
1992/1/13,2.1,9.3,-2.8
1992/1/14,-0.1,2.5,-3.7
1992/1/15,-2.0,2.0,-4.6
1992/1/16,-1.2,4.9,-7.2
1992/1/17,1.3,8.2,-3.7
1992/1/18,-0.7,0.8,-2.4
1992/1/19,-1.5,2.0,-4.4
1992/1/20,-2.4,3.5,-6.9
1992/1/21,-1.6,4.9,-6.4
1992/1/22,0.1,7.0,-5.7
1992/1/23,-1.0,1.3,-3.3
1992/1/24,-1.1,3.2,-4.5
1992/1/25,0.7,7.4,-4.5
1992/1/26,2.0,7.6,-1.1
1992/1/27,1.9,9.5,-4.1
1992/1/28,2.6,8.3,-1.7
1992/1/29,3.3,9.3,-0.2
1992/1/30,1.8,4.7,-0.4
1992/1/31,0.0,2.8,-1.6
1992/2/1,-1.8,0.6,-5.0
1992/2/2,-2.1,2.8,-6.6
1992/2/3,-1.0,3.5,-6.5
1992/2/4,2.1,4.9,-0.9
1992/2/5,-0.1,3.5,-3.1
1992/2/6,-0.6,4.6,-6.0
1992/2/7,1.2,5.8,-1.9
1992/2/8,-1.8,1.2,-3.7
1992/2/9,-1.6,2.2,-4.5
1992/2/10,-0.3,7.8,-7.3
1992/2/11,-1.0,2.2,-3.2
1992/2/12,0.8,8.4,-5.3
1992/2/13,2.7,9.5,-2.0
1992/2/14,0.7,4.2,-2.5
1992/2/15,2.3,9.7,-4.8
1992/2/16,1.5,6.6,-3.0
1992/2/17,-0.5,4.4,-4.5
1992/2/18,1.2,8.9,-4.1
1992/2/19,-0.6,2.6,-3.2
1992/2/20,-1.7,3.2,-4.5
1992/2/21,-2.0,2.2,-5.1
1992/2/22,-2.6,0.8,-4.1
1992/2/23,-0.3,5.4,-5.3
1992/2/24,-0.4,5.8,-4.9
1992/2/25,-2.1,0.7,-3.4
1992/2/26,-1.0,2.7,-4.2
1992/2/27,1.1,9.0,-6.4
1992/2/28,5.9,14.8,-0.5
1992/2/29,7.9,14.6,3.2
1992/3/1,6.2,9.2,2.6
1992/3/2,1.8,5.5,-0.4
1992/3/3,0.2,4.2,-2.2
1992/3/4,1.2,7.3,-3.1
1992/3/5,3.7,7.2,-0.4
1992/3/6,3.3,7.0,0.1
1992/3/7,0.0,3.7,-2.7
1992/3/8,1.5,9.4,-5.0
1992/3/9,4.3,12.8,-3.0
1992/3/10,5.9,11.8,2.3
1992/3/11,4.6,8.9,0.7
1992/3/12,6.3,14.9,-1.4
1992/3/13,8.0,16.5,1.3
1992/3/14,8.5,16.8,0.9
1992/3/15,10.7,16.6,6.6
1992/3/16,4.5,8.3,0.3
1992/3/17,1.8,4.8,-0.6
1992/3/18,2.4,4.9,0.5
1992/3/19,4.6,8.3,1.4
1992/3/20,5.0,11.3,0.0
1992/3/21,0.1,3.7,-1.0
1992/3/22,0.0,3.0,-2.3
1992/3/23,0.4,5.3,-3.9
1992/3/24,5.4,10.7,1.0
1992/3/25,6.5,9.1,4.3
1992/3/26,5.8,8.2,1.6
1992/3/27,4.1,9.3,0.1
1992/3/28,7.2,14.0,-0.2
1992/3/29,9.8,12.0,8.1
1992/3/30,8.8,14.7,5.1
1992/3/31,9.6,16.7,2.6
1992/4/1,11.2,14.3,7.2
1992/4/2,10.2,13.2,5.6
1992/4/3,11.2,19.2,4.1
1992/4/4,14.1,19.9,10.2
1992/4/5,8.8,12.7,6.8
1992/4/6,9.6,17.5,4.4
1992/4/7,7.9,10.7,5.2
1992/4/8,13.0,22.4,5.0
1992/4/9,11.0,15.3,7.8
1992/4/10,9.2,10.4,8.3
1992/4/11,10.0,18.1,6.2
1992/4/12,6.5,15.7,1.2
1992/4/13,5.3,10.9,0.2
1992/4/14,5.4,10.8,1.9
1992/4/15,8.9,17.0,1.5
1992/4/16,10.4,17.6,5.6
1992/4/17,7.3,12.0,3.6
1992/4/18,14.9,25.3,3.4
1992/4/19,11.1,16.2,6.0
1992/4/20,9.7,18.7,3.3
1992/4/21,13.2,23.6,2.9
1992/4/22,12.6,15.8,6.0
1992/4/23,12.9,21.4,4.8
1992/4/24,14.1,22.4,6.5
1992/4/25,10.9,18.4,5.6
1992/4/26,12.5,22.8,2.7
1992/4/27,15.6,26.8,5.7
1992/4/28,16.6,25.9,8.3
1992/4/29,12.6,17.3,7.7
1992/4/30,8.4,11.0,6.2
1992/5/1,8.4,14.9,3.4
