ダウンロードした時刻：2017/07/24 15:44:14

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,6.1,10.3,1.9
2007/1/2,7.5,8.9,6.0
2007/1/3,9.3,12.6,5.7
2007/1/4,7.6,11.9,4.6
2007/1/5,6.7,10.5,2.2
2007/1/6,6.1,11.4,0.8
2007/1/7,4.1,9.6,0.1
2007/1/8,4.7,10.2,1.7
2007/1/9,4.8,10.7,1.1
2007/1/10,5.1,11.1,1.2
2007/1/11,5.4,11.1,1.3
2007/1/12,4.8,9.6,0.8
2007/1/13,5.6,10.0,2.9
2007/1/14,4.6,10.3,0.0
2007/1/15,5.6,10.9,0.9
2007/1/16,7.0,9.0,5.1
2007/1/17,7.9,10.2,6.0
2007/1/18,7.2,12.3,3.4
2007/1/19,6.6,10.7,2.8
2007/1/20,7.3,11.7,3.7
2007/1/21,7.2,10.2,4.5
2007/1/22,6.2,11.8,2.2
2007/1/23,6.0,11.0,2.0
2007/1/24,6.3,11.2,3.4
2007/1/25,6.5,11.8,2.2
2007/1/26,6.0,9.5,2.0
2007/1/27,6.3,10.0,2.6
2007/1/28,5.0,8.9,2.1
2007/1/29,4.7,11.3,-0.6
2007/1/30,6.9,12.0,1.1
2007/1/31,6.2,10.2,2.4
2007/2/1,3.4,7.2,1.0
2007/2/2,2.4,7.1,-0.4
2007/2/3,5.0,11.2,-1.5
2007/2/4,9.4,14.8,5.4
2007/2/5,7.6,14.0,2.2
2007/2/6,9.9,16.7,4.1
2007/2/7,10.1,15.5,6.6
2007/2/8,9.0,13.3,5.4
2007/2/9,11.0,12.2,9.3
2007/2/10,10.2,13.5,6.8
2007/2/11,7.5,13.1,3.4
2007/2/12,6.5,12.8,0.6
2007/2/13,8.9,14.9,2.6
2007/2/14,12.1,16.0,7.6
2007/2/15,7.2,12.7,3.1
2007/2/16,6.3,12.2,1.6
2007/2/17,5.0,5.9,3.9
2007/2/18,8.8,14.2,5.6
2007/2/19,8.6,14.1,3.8
2007/2/20,8.5,15.0,2.9
2007/2/21,10.0,17.5,4.2
2007/2/22,10.1,16.1,3.9
2007/2/23,11.3,17.2,8.0
2007/2/24,7.0,10.5,3.9
2007/2/25,5.9,10.0,2.8
2007/2/26,8.5,15.7,2.3
2007/2/27,10.4,15.8,5.4
2007/2/28,9.1,14.7,5.3
2007/3/1,8.7,17.1,1.8
2007/3/2,11.5,17.7,6.1
2007/3/3,13.8,18.4,10.3
2007/3/4,16.2,21.1,12.1
2007/3/5,13.6,18.4,8.9
2007/3/6,5.6,9.2,2.1
2007/3/7,4.0,9.0,0.5
2007/3/8,4.6,9.1,1.1
2007/3/9,5.7,11.2,0.8
2007/3/10,5.9,9.9,1.9
2007/3/11,6.9,9.4,5.2
2007/3/12,6.8,12.1,2.7
2007/3/13,7.0,13.5,1.9
2007/3/14,7.2,12.3,1.7
2007/3/15,5.3,7.6,3.9
2007/3/16,7.5,12.8,3.6
2007/3/17,7.0,13.2,1.9
2007/3/18,6.4,13.7,0.7
2007/3/19,6.6,12.5,1.5
2007/3/20,7.5,13.9,3.3
2007/3/21,8.1,14.7,2.0
2007/3/22,10.4,16.4,4.2
2007/3/23,11.6,17.7,4.8
2007/3/24,12.7,16.0,11.0
2007/3/25,15.8,20.6,9.5
2007/3/26,13.1,19.8,5.8
2007/3/27,11.8,13.6,9.4
2007/3/28,13.3,18.0,9.2
2007/3/29,15.9,20.8,10.4
2007/3/30,15.3,19.1,10.0
2007/3/31,13.1,19.8,7.5
2007/4/1,15.9,18.8,13.3
2007/4/2,14.5,18.8,10.9
2007/4/3,10.5,14.4,7.4
2007/4/4,7.2,11.0,4.9
2007/4/5,8.9,16.6,2.7
2007/4/6,11.8,17.6,6.0
2007/4/7,13.3,18.1,8.9
2007/4/8,12.7,17.9,6.7
2007/4/9,13.3,19.6,7.6
2007/4/10,13.4,19.8,6.6
2007/4/11,14.8,21.1,8.9
2007/4/12,14.9,21.0,8.2
2007/4/13,16.4,20.2,13.2
2007/4/14,15.7,21.5,11.4
2007/4/15,14.6,19.8,9.9
2007/4/16,11.5,14.3,9.8
2007/4/17,12.7,18.1,9.2
2007/4/18,8.9,10.6,7.1
2007/4/19,11.5,17.4,4.8
2007/4/20,14.9,21.8,7.6
2007/4/21,19.1,23.3,16.2
2007/4/22,17.5,18.6,16.3
2007/4/23,15.4,20.6,11.6
2007/4/24,13.6,19.5,9.1
2007/4/25,15.8,21.7,11.7
2007/4/26,16.1,24.7,8.7
2007/4/27,14.9,19.0,9.8
2007/4/28,17.7,24.4,12.2
2007/4/29,15.9,23.0,8.2
2007/4/30,18.0,25.1,11.0
2007/5/1,16.8,20.0,12.6
