ダウンロードした時刻：2017/07/24 15:37:24

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,-1.0,3.1,-5.2
2016/1/2,2.3,6.3,-2.5
2016/1/3,4.5,7.8,1.5
2016/1/4,1.9,5.2,0.0
2016/1/5,0.7,3.7,-1.3
2016/1/6,1.0,3.3,-1.5
2016/1/7,0.9,3.4,-0.4
2016/1/8,0.5,3.6,-1.2
2016/1/9,0.1,3.5,-1.7
2016/1/10,-0.4,3.7,-1.9
2016/1/11,-2.3,0.1,-3.7
2016/1/12,-2.2,0.5,-5.7
2016/1/13,-1.7,2.7,-6.4
2016/1/14,-1.5,1.6,-5.3
2016/1/15,-4.1,1.1,-8.3
2016/1/16,-3.9,1.2,-8.1
2016/1/17,-2.5,1.9,-6.7
2016/1/18,-1.2,1.2,-4.4
2016/1/19,0.1,1.8,-1.5
2016/1/20,-0.7,2.6,-2.8
2016/1/21,-0.1,2.9,-2.7
2016/1/22,-1.8,1.6,-5.5
2016/1/23,-3.2,0.8,-6.9
2016/1/24,-2.8,1.0,-6.2
2016/1/25,-2.3,0.5,-5.8
2016/1/26,-0.2,2.6,-3.4
2016/1/27,2.3,5.1,0.5
2016/1/28,1.9,4.9,-2.7
2016/1/29,-2.3,0.8,-5.9
2016/1/30,-1.2,2.2,-3.2
2016/1/31,-0.8,2.4,-3.3
2016/2/1,-2.5,0.6,-5.2
2016/2/2,-2.9,1.1,-5.5
2016/2/3,-1.4,3.2,-5.7
2016/2/4,-0.8,3.3,-6.3
2016/2/5,1.0,3.3,-0.9
2016/2/6,-1.0,3.2,-5.4
2016/2/7,-3.5,1.1,-8.8
2016/2/8,-1.2,3.2,-5.5
2016/2/9,0.7,4.4,-2.6
2016/2/10,-0.6,2.4,-2.4
2016/2/11,-0.3,4.1,-4.4
2016/2/12,-0.2,5.2,-7.7
2016/2/13,3.0,5.2,0.4
2016/2/14,6.3,12.2,2.8
2016/2/15,-0.3,5.2,-4.3
2016/2/16,-2.3,0.3,-5.5
2016/2/17,-1.4,2.1,-3.7
2016/2/18,0.3,4.8,-3.8
2016/2/19,3.3,5.8,0.9
2016/2/20,3.0,4.8,0.6
2016/2/21,3.1,8.3,-0.4
2016/2/22,-0.1,3.4,-2.5
2016/2/23,0.1,4.1,-3.2
2016/2/24,-1.7,1.4,-4.4
2016/2/25,-2.3,2.5,-4.9
2016/2/26,-2.0,2.0,-6.8
2016/2/27,-0.7,3.7,-4.0
2016/2/28,-0.3,4.1,-4.9
2016/2/29,2.5,5.2,0.3
2016/3/1,-1.2,2.2,-3.2
2016/3/2,-1.1,3.1,-5.9
2016/3/3,0.1,5.0,-3.9
2016/3/4,0.8,6.6,-3.6
2016/3/5,2.2,8.0,-5.6
2016/3/6,4.8,7.0,2.8
2016/3/7,9.1,14.9,5.2
2016/3/8,6.6,10.9,3.2
2016/3/9,2.5,6.1,-1.7
2016/3/10,0.6,5.9,-3.5
2016/3/11,0.2,4.6,-3.5
2016/3/12,0.0,6.4,-5.7
2016/3/13,2.0,8.4,-6.3
2016/3/14,5.4,11.7,-1.2
2016/3/15,3.4,7.8,-0.2
2016/3/16,6.3,12.5,0.6
2016/3/17,9.6,15.4,3.1
2016/3/18,9.8,20.1,1.1
2016/3/19,10.0,13.6,6.4
2016/3/20,5.5,10.4,2.3
2016/3/21,2.9,6.9,-1.5
2016/3/22,4.0,10.4,-1.6
2016/3/23,3.0,7.3,-0.3
2016/3/24,1.1,7.6,-2.2
2016/3/25,1.4,5.8,-3.1
2016/3/26,3.3,8.7,-1.3
2016/3/27,4.5,12.7,-3.7
2016/3/28,6.0,13.6,-1.5
2016/3/29,7.8,16.4,-1.2
2016/3/30,7.8,15.2,3.1
2016/3/31,7.2,13.2,1.3
2016/4/1,6.6,14.5,-1.4
2016/4/2,6.0,9.3,1.4
2016/4/3,9.8,14.6,5.9
2016/4/4,4.5,9.2,-0.5
2016/4/5,7.1,15.8,-2.1
2016/4/6,9.0,14.9,2.3
2016/4/7,5.6,9.0,0.7
2016/4/8,10.1,14.5,5.1
2016/4/9,10.3,17.5,2.8
2016/4/10,7.8,15.2,2.5
2016/4/11,2.6,7.0,-0.4
2016/4/12,5.7,11.4,-1.6
2016/4/13,9.6,15.3,2.6
2016/4/14,15.0,21.5,10.3
2016/4/15,7.9,11.7,5.8
2016/4/16,9.9,15.4,3.2
2016/4/17,10.7,15.7,5.7
2016/4/18,12.0,16.1,9.6
2016/4/19,10.2,14.4,6.4
2016/4/20,10.0,15.5,4.2
2016/4/21,13.6,21.4,7.4
2016/4/22,14.0,18.6,10.2
2016/4/23,13.6,18.4,9.7
2016/4/24,13.0,19.6,6.4
2016/4/25,12.8,21.4,2.3
2016/4/26,13.8,21.4,7.2
2016/4/27,11.7,20.5,3.9
2016/4/28,8.8,10.7,7.5
2016/4/29,6.8,11.2,4.0
2016/4/30,8.1,13.6,4.5
2016/5/1,6.4,8.4,3.1
