ダウンロードした時刻：2017/07/24 15:40:54

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,3.4,8.8,-1.8
1981/1/2,3.5,8.4,1.3
1981/1/3,2.2,5.8,-0.4
1981/1/4,1.7,5.3,-0.7
1981/1/5,1.8,5.5,-1.3
1981/1/6,1.3,5.4,-1.0
1981/1/7,0.6,2.9,-0.9
1981/1/8,2.0,7.1,-2.7
1981/1/9,3.5,8.7,-1.4
1981/1/10,4.3,9.1,0.6
1981/1/11,0.2,2.5,-1.8
1981/1/12,0.4,5.2,-3.3
1981/1/13,-0.2,2.6,-1.5
1981/1/14,0.5,3.6,-1.6
1981/1/15,1.9,5.4,-0.6
1981/1/16,2.0,7.2,-1.1
1981/1/17,1.1,6.1,-2.8
1981/1/18,1.0,6.2,-3.6
1981/1/19,2.1,6.6,-1.9
1981/1/20,1.6,5.8,-1.5
1981/1/21,1.2,4.7,-1.9
1981/1/22,1.1,5.5,-1.4
1981/1/23,2.0,7.5,-2.6
1981/1/24,1.5,4.0,-2.0
1981/1/25,5.0,9.9,1.7
1981/1/26,2.2,6.8,-1.0
1981/1/27,0.9,5.5,-3.1
1981/1/28,1.6,6.5,-1.6
1981/1/29,1.4,6.6,-2.6
1981/1/30,1.9,6.6,-1.4
1981/1/31,2.9,9.1,-3.2
1981/2/1,1.3,3.2,-0.4
1981/2/2,2.8,6.7,-0.6
1981/2/3,2.8,8.0,-1.0
1981/2/4,1.3,5.1,-1.1
1981/2/5,2.1,8.3,-3.1
1981/2/6,2.9,7.6,-2.5
1981/2/7,3.8,10.1,-1.4
1981/2/8,4.5,8.6,0.1
1981/2/9,5.7,10.1,0.9
1981/2/10,4.2,8.6,1.8
1981/2/11,1.6,5.5,0.0
1981/2/12,4.6,9.6,-2.6
1981/2/13,6.8,8.9,4.9
1981/2/14,8.5,13.8,5.0
1981/2/15,9.4,16.0,2.5
1981/2/16,10.8,16.0,8.4
1981/2/17,4.6,9.1,0.9
1981/2/18,4.4,9.2,-1.3
1981/2/19,5.6,10.3,2.4
1981/2/20,3.5,7.0,-0.4
1981/2/21,3.8,8.6,0.6
1981/2/22,3.3,7.6,-1.4
1981/2/23,2.7,5.4,0.5
1981/2/24,5.0,9.9,2.3
1981/2/25,1.3,5.4,-1.2
1981/2/26,-2.7,0.5,-5.6
1981/2/27,-2.4,2.5,-6.2
1981/2/28,-0.4,4.5,-6.1
1981/3/1,1.8,4.7,-1.6
1981/3/2,4.5,10.0,0.7
1981/3/3,4.6,9.8,-1.5
1981/3/4,7.6,12.1,4.4
1981/3/5,6.0,11.5,2.5
1981/3/6,4.5,9.7,-0.6
1981/3/7,5.2,10.6,-0.9
1981/3/8,7.6,14.1,1.1
1981/3/9,5.8,7.4,4.4
1981/3/10,5.0,9.5,1.5
1981/3/11,4.9,10.7,-0.1
1981/3/12,7.5,15.0,-0.4
1981/3/13,10.0,15.5,4.5
1981/3/14,10.8,12.2,8.7
1981/3/15,8.8,13.1,3.1
1981/3/16,5.1,9.5,0.9
1981/3/17,7.4,12.9,1.6
1981/3/18,9.2,16.9,2.1
1981/3/19,12.0,19.4,3.5
1981/3/20,14.1,21.1,8.8
1981/3/21,10.4,12.2,9.5
1981/3/22,12.2,19.4,8.6
1981/3/23,10.2,14.7,6.2
1981/3/24,11.1,15.9,5.0
1981/3/25,13.4,15.7,10.5
1981/3/26,10.3,17.5,4.5
1981/3/27,7.0,12.1,4.2
1981/3/28,7.9,13.4,2.5
1981/3/29,9.7,15.6,3.0
1981/3/30,10.4,14.7,7.3
1981/3/31,7.7,8.6,6.8
1981/4/1,8.2,9.8,6.7
1981/4/2,9.1,14.4,5.6
1981/4/3,10.2,16.6,2.6
1981/4/4,9.0,10.7,6.7
1981/4/5,8.2,9.5,5.4
1981/4/6,12.0,18.3,9.3
1981/4/7,13.1,19.8,7.7
1981/4/8,12.8,17.4,5.9
1981/4/9,13.6,15.8,11.0
1981/4/10,13.9,19.7,10.3
1981/4/11,16.2,22.4,11.4
1981/4/12,15.8,22.1,9.7
1981/4/13,13.8,19.5,9.6
1981/4/14,12.6,17.7,7.6
1981/4/15,13.0,18.3,5.5
1981/4/16,11.6,15.8,9.8
1981/4/17,12.6,18.1,8.4
1981/4/18,14.0,20.2,7.5
1981/4/19,12.0,13.6,10.3
1981/4/20,10.8,14.8,7.4
1981/4/21,12.1,17.8,6.8
1981/4/22,14.1,22.1,5.3
1981/4/23,17.5,25.9,8.5
1981/4/24,17.5,25.4,10.7
1981/4/25,13.5,16.4,10.1
1981/4/26,14.5,22.0,6.4
1981/4/27,17.6,25.6,8.4
1981/4/28,17.8,25.0,11.8
1981/4/29,17.6,22.7,11.2
1981/4/30,16.1,22.0,13.4
1981/5/1,19.2,28.1,11.6
