ダウンロードした時刻：2017/07/24 15:37:24

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2014/1/1,0.4,1.9,-0.7
2014/1/2,-2.4,-0.5,-4.7
2014/1/3,-0.3,0.8,-3.3
2014/1/4,-1.2,1.5,-5.3
2014/1/5,-3.8,0.6,-6.6
2014/1/6,-3.5,1.3,-7.4
2014/1/7,-1.9,2.3,-7.5
2014/1/8,0.8,3.0,-0.7
2014/1/9,-1.4,2.3,-6.3
2014/1/10,-5.6,-2.1,-9.4
2014/1/11,-5.0,0.2,-9.6
2014/1/12,-4.2,-1.5,-8.2
2014/1/13,-5.7,-2.8,-9.0
2014/1/14,-4.4,-0.8,-8.7
2014/1/15,-3.4,0.2,-8.0
2014/1/16,-2.3,1.1,-6.0
2014/1/17,-2.4,0.5,-4.8
2014/1/18,-4.0,-1.4,-6.9
2014/1/19,-2.4,2.4,-5.5
2014/1/20,-2.9,-1.2,-6.9
2014/1/21,-0.6,3.0,-3.4
2014/1/22,-3.0,0.5,-7.0
2014/1/23,-3.4,-0.3,-8.1
2014/1/24,-2.3,4.1,-8.8
2014/1/25,5.7,8.6,1.9
2014/1/26,1.2,4.9,-3.4
2014/1/27,-2.5,0.4,-5.0
2014/1/28,-2.2,2.5,-5.2
2014/1/29,-2.5,-0.2,-4.6
2014/1/30,-0.3,5.0,-7.6
2014/1/31,-1.0,4.0,-3.9
2014/2/1,-0.2,2.9,-5.5
2014/2/2,1.0,6.1,-1.0
2014/2/3,4.3,8.0,-0.9
2014/2/4,-2.5,0.0,-6.9
2014/2/5,-6.5,-2.9,-10.1
2014/2/6,-6.0,-1.3,-11.5
2014/2/7,-5.1,-0.7,-9.4
2014/2/8,-6.0,-2.1,-10.5
2014/2/9,-2.0,-0.7,-3.5
2014/2/10,-2.7,2.8,-9.1
2014/2/11,-1.3,1.3,-3.9
2014/2/12,-2.3,2.1,-7.5
2014/2/13,-3.0,2.3,-8.2
2014/2/14,-2.9,0.6,-7.7
2014/2/15,-0.2,3.6,-3.0
2014/2/16,1.4,4.7,-1.2
2014/2/17,-0.9,3.0,-3.5
2014/2/18,-2.3,0.1,-4.0
2014/2/19,-2.2,1.8,-5.6
2014/2/20,-2.4,1.6,-7.9
2014/2/21,-2.3,1.6,-6.0
2014/2/22,-3.2,2.3,-8.9
2014/2/23,-2.6,3.0,-7.1
2014/2/24,-1.2,5.6,-7.9
2014/2/25,0.3,3.7,-5.5
2014/2/26,2.0,8.2,-3.7
2014/2/27,4.1,8.4,-0.8
2014/2/28,4.8,8.7,-1.0
2014/3/1,1.6,6.9,-2.5
2014/3/2,1.2,5.8,-1.1
2014/3/3,-1.3,3.2,-4.7
2014/3/4,1.2,5.2,-2.8
2014/3/5,0.3,2.3,-2.5
2014/3/6,-2.5,2.0,-5.3
2014/3/7,-3.5,-0.3,-6.4
2014/3/8,-2.5,0.4,-4.5
2014/3/9,-0.2,4.3,-3.7
2014/3/10,-1.9,1.6,-6.0
2014/3/11,-0.7,3.3,-4.5
2014/3/12,-0.1,2.0,-1.8
2014/3/13,0.9,3.0,-1.0
2014/3/14,0.9,4.3,-1.5
2014/3/15,0.6,4.3,-2.9
2014/3/16,0.9,4.4,-1.2
2014/3/17,3.3,7.7,-0.3
2014/3/18,3.7,6.6,0.2
2014/3/19,4.1,7.9,0.9
2014/3/20,0.6,1.3,-0.6
2014/3/21,0.6,3.2,-1.3
2014/3/22,1.6,5.7,-2.5
2014/3/23,2.8,8.8,-1.0
2014/3/24,5.7,13.4,-1.9
2014/3/25,8.7,14.9,0.7
2014/3/26,11.0,16.5,5.9
2014/3/27,10.0,18.3,3.5
2014/3/28,7.8,13.6,1.7
2014/3/29,11.2,18.5,3.8
2014/3/30,4.8,8.2,-0.1
2014/3/31,6.0,11.6,-0.3
2014/4/1,7.7,13.5,2.0
2014/4/2,8.7,16.8,-1.4
2014/4/3,12.1,19.2,4.5
2014/4/4,9.4,11.2,6.0
2014/4/5,3.1,7.2,0.4
2014/4/6,3.0,7.8,-0.9
2014/4/7,6.8,11.3,3.5
2014/4/8,8.9,14.8,2.6
2014/4/9,8.0,16.9,-0.4
2014/4/10,6.1,12.1,0.5
2014/4/11,5.2,10.2,-0.5
2014/4/12,6.8,13.2,-0.5
2014/4/13,7.2,15.1,-1.9
2014/4/14,8.4,17.9,-1.4
2014/4/15,8.4,17.4,-0.7
2014/4/16,8.7,13.9,3.7
2014/4/17,8.7,16.4,0.1
2014/4/18,7.9,15.6,0.6
2014/4/19,6.2,12.4,1.2
2014/4/20,7.0,14.7,-0.5
2014/4/21,9.1,12.4,5.7
2014/4/22,12.1,18.6,7.6
2014/4/23,10.7,16.9,4.9
2014/4/24,11.5,20.8,2.0
2014/4/25,13.1,22.7,3.0
2014/4/26,15.7,25.4,4.6
2014/4/27,16.1,24.9,6.7
2014/4/28,13.1,16.1,7.4
2014/4/29,11.5,18.3,4.3
2014/4/30,12.3,14.1,11.0
2014/5/1,15.1,20.9,13.4
