ダウンロードした時刻：2017/07/24 15:47:58

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,11.4,13.6,8.6
2001/1/2,15.0,18.6,12.0
2001/1/3,11.3,13.2,9.8
2001/1/4,11.1,13.2,9.4
2001/1/5,10.6,12.8,8.4
2001/1/6,11.8,14.5,7.3
2001/1/7,16.1,18.4,11.5
2001/1/8,15.8,18.0,13.8
2001/1/9,17.7,21.6,14.4
2001/1/10,13.3,17.0,11.2
2001/1/11,12.1,14.9,10.9
2001/1/12,11.3,13.3,9.4
2001/1/13,9.9,13.4,6.7
2001/1/14,7.2,9.3,5.5
2001/1/15,6.2,8.3,4.1
2001/1/16,7.1,9.0,5.7
2001/1/17,7.9,9.9,6.2
2001/1/18,10.3,14.1,4.6
2001/1/19,11.4,14.9,7.1
2001/1/20,15.7,19.5,12.8
2001/1/21,13.1,15.8,9.5
2001/1/22,12.4,14.7,9.4
2001/1/23,12.8,15.5,11.0
2001/1/24,13.3,16.0,10.5
2001/1/25,17.0,19.9,12.9
2001/1/26,14.9,16.7,14.0
2001/1/27,13.5,16.0,11.5
2001/1/28,12.8,16.1,8.6
2001/1/29,8.8,11.1,7.4
2001/1/30,10.3,14.6,5.2
2001/1/31,12.2,15.2,7.6
2001/2/1,13.6,15.9,10.0
2001/2/2,10.4,13.7,7.7
2001/2/3,11.7,14.2,8.4
2001/2/4,13.2,14.7,11.8
2001/2/5,15.8,17.6,13.8
2001/2/6,17.1,19.7,14.7
2001/2/7,14.7,16.1,12.1
2001/2/8,10.8,12.8,7.8
2001/2/9,10.2,13.1,7.4
2001/2/10,11.2,13.0,9.0
2001/2/11,11.7,14.5,8.7
2001/2/12,12.0,14.3,10.1
2001/2/13,11.2,13.1,10.1
2001/2/14,9.1,11.2,6.6
2001/2/15,9.3,12.9,6.0
2001/2/16,10.1,14.0,6.3
2001/2/17,8.3,12.8,1.8
2001/2/18,14.3,19.7,8.6
2001/2/19,15.4,18.5,12.7
2001/2/20,15.2,18.2,11.8
2001/2/21,17.9,22.4,12.2
2001/2/22,18.7,21.8,15.9
2001/2/23,19.9,25.1,15.0
2001/2/24,18.4,21.4,13.0
2001/2/25,11.7,13.8,9.6
2001/2/26,11.3,14.0,9.6
2001/2/27,14.7,18.2,10.5
2001/2/28,17.4,19.3,15.9
2001/3/1,14.6,17.0,12.3
2001/3/2,12.7,15.8,10.2
2001/3/3,14.2,18.8,8.1
2001/3/4,11.4,15.3,7.6
2001/3/5,11.5,14.2,9.4
2001/3/6,15.0,18.9,11.2
2001/3/7,13.0,17.9,9.8
2001/3/8,8.4,10.7,4.3
2001/3/9,7.2,9.4,5.1
2001/3/10,11.5,15.6,6.3
2001/3/11,13.9,16.9,11.7
2001/3/12,12.2,15.4,9.5
2001/3/13,11.5,15.5,8.7
2001/3/14,16.0,20.6,9.2
2001/3/15,17.5,21.6,13.7
2001/3/16,14.5,17.4,11.1
2001/3/17,17.6,19.9,15.0
2001/3/18,15.9,17.8,14.2
2001/3/19,16.4,20.1,13.3
2001/3/20,16.1,17.9,14.5
2001/3/21,18.2,21.7,16.1
2001/3/22,19.2,22.9,16.5
2001/3/23,18.5,21.0,15.3
2001/3/24,16.8,19.7,15.1
2001/3/25,17.2,18.3,15.7
2001/3/26,18.0,21.4,14.2
2001/3/27,15.7,18.6,10.9
2001/3/28,18.2,23.2,15.7
2001/3/29,13.0,16.1,10.2
2001/3/30,14.4,18.2,10.7
2001/3/31,14.2,17.9,11.0
2001/4/1,13.3,17.5,10.0
2001/4/2,16.2,21.5,11.1
2001/4/3,17.9,21.6,16.7
2001/4/4,15.0,17.9,12.6
2001/4/5,16.4,20.9,12.2
2001/4/6,19.0,22.2,16.9
2001/4/7,19.3,22.0,15.5
2001/4/8,20.3,22.8,18.1
2001/4/9,19.0,21.4,17.5
2001/4/10,19.7,22.3,18.0
2001/4/11,20.0,24.3,16.4
2001/4/12,15.3,17.4,13.3
2001/4/13,17.1,21.0,14.2
2001/4/14,18.7,22.3,13.6
2001/4/15,18.5,22.1,15.7
2001/4/16,18.4,23.0,13.5
2001/4/17,17.7,20.5,16.2
2001/4/18,17.3,19.0,14.2
2001/4/19,18.9,23.6,13.7
2001/4/20,19.5,23.1,17.0
2001/4/21,17.1,18.6,14.8
2001/4/22,18.5,22.1,14.8
2001/4/23,18.9,23.4,15.4
2001/4/24,19.2,22.4,16.9
2001/4/25,17.8,19.4,17.1
2001/4/26,17.5,20.9,13.9
2001/4/27,18.7,22.5,14.3
2001/4/28,17.7,19.9,14.9
2001/4/29,19.7,22.9,15.2
2001/4/30,20.7,22.2,18.8
2001/5/1,19.9,21.8,18.6
