ダウンロードした時刻：2017/07/24 15:46:05

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,8.2,11.6,4.9
1989/1/2,6.3,11.6,3.0
1989/1/3,8.3,12.9,2.8
1989/1/4,6.8,10.3,4.7
1989/1/5,4.8,9.1,2.2
1989/1/6,5.8,10.8,0.6
1989/1/7,10.0,14.5,5.2
1989/1/8,15.3,19.9,12.8
1989/1/9,11.6,13.5,10.6
1989/1/10,11.6,15.0,8.7
1989/1/11,8.9,11.0,5.3
1989/1/12,10.2,12.1,6.8
1989/1/13,6.5,9.2,5.0
1989/1/14,7.2,9.5,5.4
1989/1/15,5.0,7.9,2.1
1989/1/16,5.3,11.7,0.1
1989/1/17,6.5,12.1,2.8
1989/1/18,9.0,15.2,3.2
1989/1/19,17.4,22.5,14.4
1989/1/20,13.8,17.5,11.2
1989/1/21,10.3,12.9,7.7
1989/1/22,7.9,9.6,6.6
1989/1/23,8.7,12.8,5.5
1989/1/24,8.7,11.5,6.7
1989/1/25,6.8,11.4,3.0
1989/1/26,5.6,7.2,3.4
1989/1/27,5.1,9.2,1.9
1989/1/28,3.2,7.0,1.5
1989/1/29,3.6,7.6,1.6
1989/1/30,5.7,10.4,1.5
1989/1/31,7.7,11.8,1.0
1989/2/1,7.2,10.4,3.2
1989/2/2,3.7,7.7,1.4
1989/2/3,5.2,9.6,1.6
1989/2/4,5.5,9.7,1.8
1989/2/5,5.7,10.6,1.9
1989/2/6,6.5,12.4,1.1
1989/2/7,7.2,11.1,4.4
1989/2/8,8.8,13.8,4.2
1989/2/9,11.6,14.3,9.0
1989/2/10,6.5,9.0,3.6
1989/2/11,5.3,8.7,2.2
1989/2/12,6.6,11.0,3.8
1989/2/13,6.2,10.5,2.5
1989/2/14,6.8,10.6,2.9
1989/2/15,9.6,15.7,0.1
1989/2/16,15.5,18.2,13.0
1989/2/17,10.7,14.1,9.3
1989/2/18,9.3,12.6,7.5
1989/2/19,7.6,11.2,3.8
1989/2/20,7.7,12.1,3.0
1989/2/21,8.3,9.8,7.4
1989/2/22,7.6,9.8,5.6
1989/2/23,5.4,6.5,4.0
1989/2/24,7.1,8.9,4.0
1989/2/25,11.6,18.5,8.1
1989/2/26,7.8,12.1,3.4
1989/2/27,7.6,11.4,1.8
1989/2/28,10.3,15.3,5.8
1989/3/1,9.5,13.5,5.2
1989/3/2,8.6,13.0,2.4
1989/3/3,13.7,17.2,10.8
1989/3/4,14.6,19.4,8.5
1989/3/5,8.7,12.0,6.5
1989/3/6,7.4,12.0,3.1
1989/3/7,6.7,11.5,3.0
1989/3/8,5.7,9.7,3.6
1989/3/9,6.2,10.8,1.3
1989/3/10,7.1,12.2,2.9
1989/3/11,7.9,13.3,2.2
1989/3/12,10.8,15.0,4.6
1989/3/13,10.8,11.8,9.5
1989/3/14,14.8,19.6,10.7
1989/3/15,11.6,16.5,7.9
1989/3/16,9.2,14.0,4.8
1989/3/17,8.5,11.2,6.0
1989/3/18,8.3,12.9,5.2
1989/3/19,8.8,14.3,4.0
1989/3/20,8.6,13.4,4.8
1989/3/21,8.9,14.1,3.7
1989/3/22,9.0,13.0,5.7
1989/3/23,9.2,13.7,4.0
1989/3/24,12.0,15.2,7.8
1989/3/25,11.1,14.2,6.9
1989/3/26,8.9,11.6,5.9
1989/3/27,7.8,8.8,6.6
1989/3/28,9.7,15.3,6.8
1989/3/29,10.2,15.8,5.2
1989/3/30,12.0,16.0,5.7
1989/3/31,13.6,16.9,10.5
1989/4/1,13.6,18.0,7.8
1989/4/2,15.0,19.4,9.3
1989/4/3,15.4,18.4,13.9
1989/4/4,13.1,17.3,9.9
1989/4/5,13.8,20.2,7.8
1989/4/6,13.9,18.9,10.0
1989/4/7,14.5,20.1,7.5
1989/4/8,14.3,17.1,12.6
1989/4/9,14.9,20.1,10.9
1989/4/10,13.3,15.7,11.2
1989/4/11,13.6,18.9,9.7
1989/4/12,12.6,16.8,7.8
1989/4/13,14.7,21.6,8.1
1989/4/14,15.9,20.2,9.2
1989/4/15,16.9,19.6,14.7
1989/4/16,17.8,22.9,14.2
1989/4/17,16.1,22.5,12.3
1989/4/18,16.9,22.5,10.7
1989/4/19,18.5,24.1,12.7
1989/4/20,18.4,24.7,12.7
1989/4/21,19.2,25.4,13.2
1989/4/22,16.9,19.0,15.6
1989/4/23,15.3,16.2,14.2
1989/4/24,14.0,16.0,11.8
1989/4/25,14.6,19.9,9.6
1989/4/26,14.9,19.6,9.7
1989/4/27,17.7,26.7,10.6
1989/4/28,13.3,16.7,10.3
1989/4/29,12.8,16.9,7.5
1989/4/30,13.3,17.5,9.2
1989/5/1,14.5,17.6,12.6
