ダウンロードした時刻：2017/07/24 15:37:05

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,0.0,1.0,-1.2
1985/1/2,-2.0,0.1,-4.6
1985/1/3,-3.4,-1.3,-6.3
1985/1/4,-3.9,-1.3,-5.4
1985/1/5,-4.3,-2.7,-7.2
1985/1/6,-5.6,-3.9,-6.7
1985/1/7,-5.1,-2.5,-8.0
1985/1/8,-3.6,-1.7,-5.4
1985/1/9,-2.2,1.5,-5.0
1985/1/10,1.4,5.2,-3.9
1985/1/11,-0.9,1.3,-4.4
1985/1/12,-1.3,3.9,-7.7
1985/1/13,-2.4,1.4,-4.8
1985/1/14,-5.0,-3.8,-6.9
1985/1/15,-3.8,-1.6,-6.9
1985/1/16,-2.6,2.9,-6.0
1985/1/17,-5.7,-4.7,-6.8
1985/1/18,-3.6,-1.8,-6.3
1985/1/19,-2.0,0.8,-4.5
1985/1/20,1.8,5.4,-1.2
1985/1/21,-0.6,1.9,-1.9
1985/1/22,-1.0,1.1,-2.7
1985/1/23,-1.4,0.5,-3.6
1985/1/24,-4.0,-2.4,-5.9
1985/1/25,-5.4,-3.9,-6.2
1985/1/26,-6.1,-4.7,-7.8
1985/1/27,-3.7,-1.1,-6.5
1985/1/28,0.6,3.7,-2.0
1985/1/29,-2.7,-1.0,-5.0
1985/1/30,-4.1,-2.7,-6.2
1985/1/31,-1.2,1.6,-5.0
1985/2/1,1.2,4.2,-2.8
1985/2/2,-2.1,-0.5,-5.0
1985/2/3,-0.9,3.3,-4.9
1985/2/4,1.5,3.4,-1.8
1985/2/5,-1.7,2.8,-7.8
1985/2/6,1.2,7.1,-5.6
1985/2/7,0.6,4.3,-3.9
1985/2/8,-1.9,2.7,-6.1
1985/2/9,1.2,6.0,-5.8
1985/2/10,4.2,5.9,2.8
1985/2/11,0.8,3.3,-0.8
1985/2/12,0.0,2.7,-2.5
1985/2/13,0.1,4.1,-2.3
1985/2/14,-2.7,-0.9,-4.3
1985/2/15,-1.8,-0.5,-3.7
1985/2/16,-0.2,1.3,-1.0
1985/2/17,1.6,3.7,-1.8
1985/2/18,1.9,4.0,0.1
1985/2/19,2.1,5.1,0.5
1985/2/20,5.0,6.5,1.3
1985/2/21,0.9,4.9,-1.2
1985/2/22,-0.7,1.0,-2.5
1985/2/23,1.3,2.1,0.6
1985/2/24,1.9,4.8,0.4
1985/2/25,0.6,2.5,-0.6
1985/2/26,0.2,2.1,-1.7
1985/2/27,-0.3,1.1,-2.0
1985/2/28,-0.5,2.3,-4.3
1985/3/1,3.9,5.6,0.1
1985/3/2,3.2,4.7,2.0
1985/3/3,0.0,2.2,-2.1
1985/3/4,-0.4,1.9,-1.6
1985/3/5,2.3,6.5,-2.1
1985/3/6,-0.5,1.7,-2.8
1985/3/7,-0.5,4.1,-4.1
1985/3/8,3.2,8.0,-3.0
1985/3/9,2.9,8.2,0.0
1985/3/10,-1.4,0.3,-3.8
1985/3/11,-1.4,1.3,-3.7
1985/3/12,0.8,3.2,-3.3
1985/3/13,0.9,5.8,-2.4
1985/3/14,-0.5,1.4,-2.8
1985/3/15,0.8,2.7,-1.8
1985/3/16,2.1,8.2,-3.8
1985/3/17,5.3,10.0,0.8
1985/3/18,4.6,8.6,0.4
1985/3/19,3.4,7.7,-1.2
1985/3/20,4.2,9.1,-1.0
1985/3/21,6.1,11.8,2.4
1985/3/22,2.6,6.9,-1.0
1985/3/23,1.5,6.5,-3.4
1985/3/24,3.4,10.5,-3.9
1985/3/25,7.2,12.3,1.4
1985/3/26,4.9,9.5,0.0
1985/3/27,2.9,7.0,-1.3
1985/3/28,4.7,5.9,3.2
1985/3/29,5.7,10.5,2.5
1985/3/30,3.4,7.4,1.3
1985/3/31,3.9,7.0,0.2
1985/4/1,5.9,8.9,1.6
1985/4/2,8.2,12.0,4.2
1985/4/3,10.5,17.7,2.1
1985/4/4,11.3,13.0,9.1
1985/4/5,6.4,9.1,4.8
1985/4/6,8.8,11.2,6.3
1985/4/7,10.1,14.5,4.7
1985/4/8,14.3,19.2,9.4
1985/4/9,9.2,13.8,6.8
1985/4/10,11.5,18.0,5.2
1985/4/11,10.8,16.2,8.3
1985/4/12,9.3,14.3,4.3
1985/4/13,11.0,19.5,2.0
1985/4/14,11.3,18.0,3.7
1985/4/15,7.7,10.2,6.7
1985/4/16,7.1,8.5,6.4
1985/4/17,7.9,10.8,5.9
1985/4/18,9.1,15.0,3.5
1985/4/19,12.0,18.4,6.8
1985/4/20,9.3,11.7,6.4
1985/4/21,7.8,11.2,5.2
1985/4/22,14.2,22.4,4.8
1985/4/23,15.1,17.8,12.5
1985/4/24,10.1,17.8,6.7
1985/4/25,8.9,12.6,5.6
1985/4/26,15.3,21.3,6.6
1985/4/27,10.6,16.7,8.5
1985/4/28,10.6,15.1,6.2
1985/4/29,11.6,17.3,5.0
1985/4/30,13.4,20.4,5.9
1985/5/1,15.1,21.2,8.4
