ダウンロードした時刻：2017/07/24 15:39:40

,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,5.3,10.1,2.6
1998/1/2,6.5,11.3,3.7
1998/1/3,7.1,13.4,2.0
1998/1/4,6.7,11.1,4.1
1998/1/5,3.2,6.6,0.6
1998/1/6,4.4,5.8,2.3
1998/1/7,4.9,7.6,2.9
1998/1/8,3.0,4.1,2.2
1998/1/9,3.8,7.0,0.4
1998/1/10,3.4,8.1,0.1
1998/1/11,4.2,7.2,1.5
1998/1/12,4.6,6.8,3.1
1998/1/13,4.3,9.0,1.9
1998/1/14,4.8,9.9,1.2
1998/1/15,3.4,5.3,2.3
1998/1/16,5.6,9.3,2.4
1998/1/17,5.4,10.5,1.1
1998/1/18,7.2,8.5,5.8
1998/1/19,2.2,7.9,-0.6
1998/1/20,1.1,3.0,-0.4
1998/1/21,2.2,5.9,0.4
1998/1/22,1.2,3.0,0.2
1998/1/23,1.4,2.3,0.3
1998/1/24,1.0,4.3,-2.0
1998/1/25,0.0,1.4,-2.5
1998/1/26,0.9,2.2,0.3
1998/1/27,1.9,4.7,0.2
1998/1/28,1.6,4.1,0.0
1998/1/29,1.2,4.2,-0.4
1998/1/30,3.3,7.8,-0.8
1998/1/31,2.9,4.8,0.9
1998/2/1,2.0,5.0,-0.4
1998/2/2,2.3,8.2,-2.5
1998/2/3,4.3,9.1,0.4
1998/2/4,2.1,4.5,0.1
1998/2/5,2.0,6.2,-0.7
1998/2/6,3.7,8.3,0.3
1998/2/7,5.6,9.9,2.1
1998/2/8,2.8,8.4,0.0
1998/2/9,2.2,4.5,1.1
1998/2/10,1.8,4.9,0.2
1998/2/11,3.0,9.3,-2.5
1998/2/12,7.8,15.2,2.4
1998/2/13,6.9,15.2,1.5
1998/2/14,6.5,10.0,4.5
1998/2/15,4.8,8.1,3.3
1998/2/16,5.3,11.3,-0.5
1998/2/17,4.4,6.8,1.5
1998/2/18,4.3,8.3,1.1
1998/2/19,8.4,16.7,-0.9
1998/2/20,11.4,13.2,9.0
1998/2/21,7.1,9.7,3.8
1998/2/22,4.3,9.6,-0.6
1998/2/23,5.4,11.7,-0.8
1998/2/24,7.0,10.5,3.9
1998/2/25,8.2,10.1,6.2
1998/2/26,7.9,9.2,7.1
1998/2/27,7.9,12.8,4.3
1998/2/28,6.3,15.3,2.7
1998/3/1,5.8,8.2,3.9
1998/3/2,6.3,10.9,2.3
1998/3/3,6.1,14.2,-0.5
1998/3/4,7.4,14.0,1.8
1998/3/5,5.7,7.1,4.0
1998/3/6,7.1,11.8,2.3
1998/3/7,5.6,8.1,3.0
1998/3/8,5.1,10.2,0.9
1998/3/9,7.0,14.2,0.9
1998/3/10,6.1,10.4,3.1
1998/3/11,8.3,15.8,0.3
1998/3/12,9.4,12.1,7.1
1998/3/13,8.5,12.9,4.2
1998/3/14,9.9,16.1,4.3
1998/3/15,3.5,8.3,1.0
1998/3/16,4.2,10.8,-0.6
1998/3/17,4.5,10.6,0.9
1998/3/18,4.8,9.7,0.4
1998/3/19,11.0,18.2,1.0
1998/3/20,10.8,16.7,6.6
1998/3/21,7.0,11.4,4.0
1998/3/22,6.0,11.2,3.6
1998/3/23,5.9,10.6,2.6
1998/3/24,7.5,13.4,2.7
1998/3/25,8.9,14.4,5.1
1998/3/26,10.4,16.0,2.6
1998/3/27,12.0,14.7,11.0
1998/3/28,12.5,17.8,8.8
1998/3/29,13.9,23.6,6.0
1998/3/30,14.1,22.8,7.0
1998/3/31,9.7,12.9,6.1
1998/4/1,4.2,6.6,2.6
1998/4/2,5.8,10.3,3.6
1998/4/3,6.2,11.7,2.0
1998/4/4,10.0,19.6,1.1
1998/4/5,13.5,21.6,5.8
1998/4/6,13.4,15.5,11.7
1998/4/7,13.7,17.5,12.2
1998/4/8,13.1,15.5,11.2
1998/4/9,12.7,13.5,11.8
1998/4/10,13.5,18.9,9.7
1998/4/11,14.1,20.4,8.4
1998/4/12,19.6,26.7,9.7
1998/4/13,24.0,28.3,19.8
1998/4/14,16.7,21.2,14.0
1998/4/15,14.3,16.0,13.0
1998/4/16,13.0,16.9,9.9
1998/4/17,15.1,23.4,9.0
1998/4/18,15.8,22.2,13.4
1998/4/19,16.1,21.2,13.2
1998/4/20,19.6,29.3,10.9
1998/4/21,20.7,27.6,14.9
1998/4/22,23.0,28.7,17.2
1998/4/23,21.4,24.3,19.3
1998/4/24,22.3,26.7,19.3
1998/4/25,15.7,19.9,12.3
1998/4/26,12.5,16.4,9.8
1998/4/27,13.6,19.6,8.9
1998/4/28,18.4,23.6,13.0
1998/4/29,20.3,26.0,15.9
1998/4/30,18.5,23.6,14.4
1998/5/1,20.8,24.7,15.5
