ダウンロードした時刻：2017/07/24 15:39:19

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,2.9,8.9,-1.1
1982/1/2,1.9,5.2,0.2
1982/1/3,1.5,6.4,-1.7
1982/1/4,8.2,16.2,-2.1
1982/1/5,5.5,10.1,2.0
1982/1/6,1.8,5.0,-1.5
1982/1/7,0.4,5.2,-1.8
1982/1/8,-0.9,3.9,-4.3
1982/1/9,4.8,8.1,-4.0
1982/1/10,2.4,5.3,-1.3
1982/1/11,4.6,9.8,0.2
1982/1/12,7.9,12.2,3.8
1982/1/13,3.8,7.8,1.9
1982/1/14,1.7,6.0,-0.8
1982/1/15,0.0,1.4,-0.7
1982/1/16,-1.2,2.9,-4.5
1982/1/17,-0.9,2.3,-5.2
1982/1/18,0.6,5.5,-5.5
1982/1/19,0.3,2.0,-0.6
1982/1/20,0.6,3.7,-2.9
1982/1/21,5.6,9.0,-0.9
1982/1/22,3.8,7.0,1.8
1982/1/23,2.6,4.5,1.3
1982/1/24,2.6,5.9,-1.5
1982/1/25,3.6,6.6,0.2
1982/1/26,3.2,6.7,0.1
1982/1/27,2.9,8.6,0.0
1982/1/28,-0.9,1.2,-2.7
1982/1/29,-1.8,0.2,-3.7
1982/1/30,-2.0,0.0,-3.8
1982/1/31,0.4,4.8,-6.2
1982/2/1,0.9,2.7,-0.8
1982/2/2,-0.7,2.0,-2.9
1982/2/3,2.0,7.0,-4.6
1982/2/4,0.7,4.2,-1.0
1982/2/5,-0.4,1.6,-3.0
1982/2/6,0.2,4.1,-3.3
1982/2/7,-0.7,0.3,-2.6
1982/2/8,-0.6,1.1,-2.0
1982/2/9,0.6,2.6,-2.0
1982/2/10,0.1,2.1,-2.8
1982/2/11,0.2,6.0,-5.0
1982/2/12,2.2,4.8,-0.3
1982/2/13,2.1,6.1,-0.9
1982/2/14,1.0,3.3,0.1
1982/2/15,0.2,3.8,-2.7
1982/2/16,1.9,6.0,-1.5
1982/2/17,2.1,6.5,-2.3
1982/2/18,1.9,6.4,-1.3
1982/2/19,4.5,9.4,-1.2
1982/2/20,6.1,11.0,2.8
1982/2/21,4.0,7.8,1.7
1982/2/22,3.5,6.6,1.7
1982/2/23,3.2,6.1,-0.4
1982/2/24,1.6,4.7,-1.7
1982/2/25,0.9,4.7,-0.6
1982/2/26,0.3,2.2,-1.8
1982/2/27,2.6,7.7,-1.5
1982/2/28,6.2,12.5,-1.1
1982/3/1,3.9,6.6,2.3
1982/3/2,1.8,3.5,-0.3
1982/3/3,2.1,6.3,-0.5
1982/3/4,5.4,12.0,-1.8
1982/3/5,9.3,13.1,4.3
1982/3/6,2.6,6.7,0.4
1982/3/7,1.3,3.3,-0.2
1982/3/8,1.5,7.3,-5.0
1982/3/9,3.0,8.5,-1.1
1982/3/10,5.5,12.7,-0.7
1982/3/11,7.8,15.3,1.2
1982/3/12,8.1,15.9,0.1
1982/3/13,8.0,13.9,4.5
1982/3/14,6.7,13.9,0.6
1982/3/15,13.0,16.2,4.1
1982/3/16,9.7,14.1,4.0
1982/3/17,5.7,9.0,3.4
1982/3/18,3.7,6.7,0.8
1982/3/19,5.8,12.2,-0.9
1982/3/20,8.9,14.2,4.0
1982/3/21,8.2,10.3,6.8
1982/3/22,9.9,15.7,3.8
1982/3/23,12.4,21.0,3.1
1982/3/24,4.2,9.5,2.4
1982/3/25,2.5,6.0,0.3
1982/3/26,0.7,5.0,-0.7
1982/3/27,2.1,6.6,-1.1
1982/3/28,2.8,9.0,-2.9
1982/3/29,5.2,12.9,-1.5
1982/3/30,11.5,20.5,0.0
1982/3/31,11.1,15.9,7.0
1982/4/1,7.5,12.0,2.2
1982/4/2,12.7,19.8,1.0
1982/4/3,7.7,15.6,3.9
1982/4/4,4.7,8.9,0.1
1982/4/5,7.0,14.6,-0.2
1982/4/6,12.0,18.9,1.6
1982/4/7,13.1,19.8,5.4
1982/4/8,11.0,13.9,8.8
1982/4/9,11.5,17.1,4.6
1982/4/10,4.7,6.8,2.9
1982/4/11,6.5,13.0,0.1
1982/4/12,9.2,15.7,0.0
1982/4/13,13.9,21.0,5.7
1982/4/14,14.7,21.6,7.5
1982/4/15,11.7,13.6,10.2
1982/4/16,10.9,15.6,6.4
1982/4/17,8.0,13.2,1.7
1982/4/18,10.0,15.7,3.0
1982/4/19,10.5,17.9,3.0
1982/4/20,14.3,22.2,4.2
1982/4/21,10.6,14.4,8.6
1982/4/22,10.7,16.0,6.3
1982/4/23,10.9,17.0,3.3
1982/4/24,16.0,24.4,6.9
1982/4/25,11.9,18.1,6.9
1982/4/26,14.6,25.0,5.6
1982/4/27,14.5,19.9,8.9
1982/4/28,19.1,24.4,11.9
1982/4/29,18.3,24.8,14.2
1982/4/30,16.4,21.0,13.8
1982/5/1,16.4,19.5,14.6
