ダウンロードした時刻：2017/07/24 15:37:32

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,3.1,6.1,0.4
1981/1/2,4.1,5.6,1.5
1981/1/3,4.2,5.7,1.9
1981/1/4,2.1,5.0,0.2
1981/1/5,2.3,3.7,-0.7
1981/1/6,-0.4,1.6,-1.7
1981/1/7,-1.7,0.1,-3.0
1981/1/8,0.3,1.8,-2.0
1981/1/9,3.3,4.8,0.5
1981/1/10,2.3,4.0,-0.4
1981/1/11,0.1,1.5,-1.9
1981/1/12,-0.6,0.5,-2.1
1981/1/13,-1.6,0.1,-3.6
1981/1/14,-4.7,-0.2,-10.4
1981/1/15,-1.9,0.5,-4.3
1981/1/16,-3.5,0.0,-8.9
1981/1/17,-0.7,2.1,-5.4
1981/1/18,1.3,3.5,-0.3
1981/1/19,0.6,2.1,-1.0
1981/1/20,-0.7,1.7,-3.0
1981/1/21,-2.8,-1.2,-4.2
1981/1/22,-1.3,1.0,-4.7
1981/1/23,1.4,3.5,-1.7
1981/1/24,2.8,5.0,0.2
1981/1/25,-0.4,2.0,-2.8
1981/1/26,-1.7,-0.1,-3.1
1981/1/27,-1.8,0.3,-3.5
1981/1/28,-0.8,0.9,-3.4
1981/1/29,-0.1,1.1,-2.1
1981/1/30,0.5,2.5,-2.4
1981/1/31,2.3,3.7,0.4
1981/2/1,0.3,3.1,-3.3
1981/2/2,2.0,3.6,-0.3
1981/2/3,0.5,4.0,-2.8
1981/2/4,1.5,3.3,-2.1
1981/2/5,2.2,3.7,-1.9
1981/2/6,2.8,4.6,1.0
1981/2/7,2.5,5.2,-1.2
1981/2/8,1.7,3.3,-0.6
1981/2/9,1.2,2.2,-0.2
1981/2/10,1.6,4.3,0.4
1981/2/11,0.1,2.4,-1.7
1981/2/12,3.0,6.7,0.1
1981/2/13,3.4,7.4,1.5
1981/2/14,3.4,7.9,-0.1
1981/2/15,2.7,6.7,-2.6
1981/2/16,5.6,8.7,2.0
1981/2/17,1.5,3.6,-0.5
1981/2/18,3.0,6.3,-0.3
1981/2/19,1.9,5.2,-1.3
1981/2/20,-0.4,2.2,-2.8
1981/2/21,-0.9,1.5,-4.6
1981/2/22,-0.2,2.1,-4.1
1981/2/23,-0.6,2.4,-5.8
1981/2/24,1.4,4.7,-1.3
1981/2/25,0.0,4.3,-1.4
1981/2/26,-2.5,0.1,-4.9
1981/2/27,-2.8,0.7,-9.2
1981/2/28,-1.7,0.9,-3.7
1981/3/1,-0.1,2.0,-4.6
1981/3/2,1.7,3.8,-3.4
1981/3/3,3.1,6.6,-1.7
1981/3/4,3.3,7.0,-5.3
1981/3/5,2.8,5.4,-0.3
1981/3/6,-0.3,2.4,-2.2
1981/3/7,2.3,7.5,-4.4
1981/3/8,1.2,3.1,-0.8
1981/3/9,1.2,4.5,-1.4
1981/3/10,0.9,3.7,-0.6
1981/3/11,0.4,3.3,-3.4
1981/3/12,3.2,11.0,-4.3
1981/3/13,6.4,14.2,-0.9
1981/3/14,7.4,10.2,4.8
1981/3/15,6.2,10.8,1.6
1981/3/16,1.8,2.8,0.5
1981/3/17,2.8,4.8,0.5
1981/3/18,4.8,10.4,-1.1
1981/3/19,6.8,14.8,-1.2
1981/3/20,9.4,15.0,3.2
1981/3/21,8.1,12.9,5.0
1981/3/22,8.0,12.9,4.5
1981/3/23,5.3,7.8,4.0
1981/3/24,5.4,8.4,2.9
1981/3/25,5.6,10.7,3.1
1981/3/26,7.9,12.9,2.2
1981/3/27,3.8,5.4,1.8
1981/3/28,3.5,6.7,-1.3
1981/3/29,3.9,8.7,-1.6
1981/3/30,3.2,8.0,-1.9
1981/3/31,2.8,8.9,-3.1
1981/4/1,5.4,11.6,-3.3
1981/4/2,5.7,7.5,4.4
1981/4/3,8.2,11.0,4.3
1981/4/4,7.8,14.8,0.6
1981/4/5,9.7,15.2,1.9
1981/4/6,8.6,10.3,7.6
1981/4/7,7.8,10.7,6.4
1981/4/8,5.7,11.3,-0.9
1981/4/9,11.4,19.9,1.8
1981/4/10,11.2,15.4,8.1
1981/4/11,9.4,10.0,8.7
1981/4/12,9.6,13.1,7.7
1981/4/13,6.6,9.7,-0.3
1981/4/14,6.0,11.9,-1.4
1981/4/15,7.7,13.0,-0.9
1981/4/16,8.8,12.7,5.9
1981/4/17,7.3,11.2,2.5
1981/4/18,5.9,9.1,0.5
1981/4/19,8.3,15.0,-1.1
1981/4/20,8.6,11.1,6.9
1981/4/21,7.9,9.8,6.7
1981/4/22,10.0,17.4,1.4
1981/4/23,13.1,20.2,3.8
1981/4/24,13.8,22.0,6.0
1981/4/25,10.6,12.9,7.8
1981/4/26,11.3,15.1,7.8
1981/4/27,11.7,17.0,6.7
1981/4/28,9.3,15.0,3.2
1981/4/29,15.0,22.9,4.6
1981/4/30,14.2,19.0,10.8
1981/5/1,10.6,13.8,8.3
