ダウンロードした時刻：2017/07/24 15:42:27

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/1/1,6.2,10.3,1.8
2013/1/2,10.1,13.6,5.5
2013/1/3,5.5,9.5,1.9
2013/1/4,3.1,7.0,0.4
2013/1/5,3.0,5.2,1.1
2013/1/6,4.8,9.5,-0.5
2013/1/7,5.2,7.6,3.1
2013/1/8,6.2,10.8,2.0
2013/1/9,6.5,9.9,4.2
2013/1/10,5.4,8.3,3.3
2013/1/11,4.8,9.1,1.1
2013/1/12,5.3,12.9,0.6
2013/1/13,7.9,12.7,1.9
2013/1/14,3.4,9.3,0.3
2013/1/15,4.6,7.5,2.5
2013/1/16,3.9,6.7,1.9
2013/1/17,4.4,8.5,0.7
2013/1/18,3.5,7.2,0.4
2013/1/19,5.0,9.8,0.0
2013/1/20,5.7,10.9,1.6
2013/1/21,6.5,9.9,2.9
2013/1/22,5.6,9.2,2.8
2013/1/23,6.3,8.7,2.9
2013/1/24,5.7,9.0,2.1
2013/1/25,7.0,12.2,2.9
2013/1/26,3.7,8.3,0.7
2013/1/27,4.5,9.1,0.2
2013/1/28,5.4,11.2,0.8
2013/1/29,6.6,11.8,2.1
2013/1/30,7.7,14.5,2.9
2013/1/31,5.4,8.5,1.4
2013/2/1,7.5,12.4,2.1
2013/2/2,15.1,20.3,11.7
2013/2/3,9.2,12.0,6.0
2013/2/4,9.6,15.0,6.1
2013/2/5,8.7,10.8,5.6
2013/2/6,3.4,8.9,1.7
2013/2/7,7.6,14.7,3.0
2013/2/8,4.6,7.6,1.8
2013/2/9,4.3,8.6,1.2
2013/2/10,5.5,10.3,1.7
2013/2/11,5.1,9.6,2.0
2013/2/12,3.7,6.5,0.7
2013/2/13,6.6,12.7,1.1
2013/2/14,6.9,9.5,4.7
2013/2/15,4.9,6.3,3.0
2013/2/16,3.1,6.2,0.6
2013/2/17,4.0,7.8,0.1
2013/2/18,4.1,8.4,2.0
2013/2/19,3.8,8.6,0.8
2013/2/20,3.8,7.3,1.3
2013/2/21,3.9,8.0,0.3
2013/2/22,4.8,9.9,0.7
2013/2/23,5.5,8.9,2.7
2013/2/24,4.0,9.3,0.2
2013/2/25,3.2,8.7,-0.4
2013/2/26,4.9,9.0,0.0
2013/2/27,5.2,8.5,2.3
2013/2/28,9.2,14.2,3.6
2013/3/1,13.9,17.4,10.0
2013/3/2,8.7,12.6,5.0
2013/3/3,6.3,8.9,3.6
2013/3/4,6.6,9.8,4.4
2013/3/5,7.9,13.3,3.0
2013/3/6,10.6,18.3,4.3
2013/3/7,13.3,18.7,7.7
2013/3/8,17.5,22.4,13.3
2013/3/9,16.8,22.4,12.7
2013/3/10,13.9,23.8,5.5
2013/3/11,7.9,12.4,3.6
2013/3/12,10.6,16.7,4.6
2013/3/13,17.0,21.0,12.7
2013/3/14,7.8,17.6,5.8
2013/3/15,9.6,14.3,5.3
2013/3/16,12.1,18.4,6.9
2013/3/17,12.2,16.8,6.9
2013/3/18,18.0,20.9,13.9
2013/3/19,19.2,24.5,15.9
2013/3/20,17.2,21.4,14.9
2013/3/21,11.7,16.7,7.4
2013/3/22,13.2,18.9,7.9
2013/3/23,13.4,18.2,11.2
2013/3/24,11.3,13.8,9.9
2013/3/25,10.0,11.2,7.1
2013/3/26,9.0,12.4,5.0
2013/3/27,8.0,10.1,5.7
2013/3/28,14.2,20.3,8.6
2013/3/29,15.5,20.2,12.5
2013/3/30,9.6,12.5,8.6
2013/3/31,7.7,9.2,6.8
2013/4/1,11.0,15.1,6.7
2013/4/2,9.8,11.6,8.0
2013/4/3,13.0,15.9,11.0
2013/4/4,16.3,21.4,9.5
2013/4/5,17.5,22.6,13.1
2013/4/6,17.2,20.1,15.0
2013/4/7,17.3,22.1,12.1
2013/4/8,14.3,19.3,10.0
2013/4/9,16.5,21.0,10.2
2013/4/10,13.7,17.3,8.4
2013/4/11,9.8,13.1,6.4
2013/4/12,11.4,17.6,6.8
2013/4/13,11.9,16.7,7.4
2013/4/14,16.4,20.6,11.0
2013/4/15,17.8,24.5,12.5
2013/4/16,16.3,21.4,10.9
2013/4/17,20.1,21.9,18.6
2013/4/18,19.3,23.3,15.6
2013/4/19,13.8,18.9,9.9
2013/4/20,8.8,10.8,5.8
2013/4/21,7.3,10.4,5.1
2013/4/22,11.5,16.7,6.8
2013/4/23,13.8,19.0,7.9
2013/4/24,16.4,18.1,15.0
2013/4/25,17.2,21.8,13.2
2013/4/26,17.3,23.1,11.5
2013/4/27,15.1,20.8,9.9
2013/4/28,16.1,21.0,11.3
2013/4/29,17.5,22.1,11.7
2013/4/30,18.8,21.4,16.1
2013/5/1,13.8,17.9,10.6
