ダウンロードした時刻：2017/07/24 15:45:07

,潮岬,潮岬,潮岬
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,10.4,15.6,7.1
1987/1/2,11.1,18.5,7.5
1987/1/3,15.6,19.3,11.1
1987/1/4,9.8,13.0,7.3
1987/1/5,7.6,9.5,5.8
1987/1/6,9.3,12.8,6.3
1987/1/7,9.6,12.5,5.1
1987/1/8,11.1,16.7,8.8
1987/1/9,11.0,13.6,8.1
1987/1/10,8.5,11.2,4.1
1987/1/11,5.3,8.3,2.8
1987/1/12,7.7,10.6,5.1
1987/1/13,3.9,6.8,0.0
1987/1/14,4.6,7.1,2.1
1987/1/15,7.5,12.1,2.1
1987/1/16,11.2,15.8,4.8
1987/1/17,13.5,16.2,8.3
1987/1/18,7.5,9.6,6.0
1987/1/19,6.5,8.8,4.5
1987/1/20,4.7,8.6,2.2
1987/1/21,5.3,9.8,1.5
1987/1/22,8.4,12.2,3.6
1987/1/23,13.6,16.8,9.3
1987/1/24,10.0,17.1,4.5
1987/1/25,3.8,7.7,1.2
1987/1/26,4.0,7.6,0.4
1987/1/27,7.3,11.6,4.1
1987/1/28,8.4,12.2,5.4
1987/1/29,11.1,13.6,5.2
1987/1/30,12.2,14.5,10.5
1987/1/31,7.6,11.0,4.0
1987/2/1,5.6,9.3,2.3
1987/2/2,7.8,11.1,4.1
1987/2/3,3.9,8.3,0.0
1987/2/4,4.3,5.6,3.4
1987/2/5,7.3,11.8,2.6
1987/2/6,9.5,13.2,6.1
1987/2/7,11.2,14.7,8.7
1987/2/8,11.2,14.5,8.6
1987/2/9,11.3,15.2,6.3
1987/2/10,14.7,17.4,10.7
1987/2/11,17.1,19.3,15.6
1987/2/12,16.2,18.3,13.3
1987/2/13,11.6,15.2,9.0
1987/2/14,13.1,16.2,9.7
1987/2/15,9.0,10.8,6.8
1987/2/16,8.5,12.3,4.9
1987/2/17,9.2,13.7,6.2
1987/2/18,10.1,12.1,7.5
1987/2/19,7.6,11.1,5.8
1987/2/20,8.2,11.3,5.2
1987/2/21,7.4,10.7,4.5
1987/2/22,7.2,8.8,5.7
1987/2/23,9.1,13.2,4.5
1987/2/24,11.5,15.3,6.6
1987/2/25,6.1,14.3,2.8
1987/2/26,3.9,6.4,2.6
1987/2/27,4.0,6.5,2.2
1987/2/28,4.1,7.8,0.3
1987/3/1,6.3,9.3,3.0
1987/3/2,4.2,8.1,1.4
1987/3/3,6.7,9.9,2.1
1987/3/4,11.3,14.1,5.9
1987/3/5,14.5,17.2,11.3
1987/3/6,15.2,18.0,11.6
1987/3/7,8.0,11.7,5.0
1987/3/8,7.9,11.7,4.5
1987/3/9,7.5,9.3,4.5
1987/3/10,7.4,10.6,2.5
1987/3/11,8.9,14.1,6.7
1987/3/12,10.2,13.7,5.6
1987/3/13,12.0,13.4,9.9
1987/3/14,14.6,17.2,11.9
1987/3/15,10.4,15.2,6.1
1987/3/16,10.7,13.4,7.3
1987/3/17,9.4,10.9,8.0
1987/3/18,13.1,17.5,9.5
1987/3/19,13.4,16.9,9.0
1987/3/20,15.4,19.0,11.3
1987/3/21,14.4,18.0,10.4
1987/3/22,14.5,16.1,13.8
1987/3/23,15.4,17.4,13.9
1987/3/24,16.8,20.1,13.2
1987/3/25,11.2,16.1,5.1
1987/3/26,6.9,11.4,3.3
1987/3/27,8.6,13.2,3.1
1987/3/28,10.1,13.9,6.9
1987/3/29,9.0,10.5,7.4
1987/3/30,13.1,16.4,9.6
1987/3/31,12.2,16.6,5.1
1987/4/1,8.2,11.6,3.5
1987/4/2,9.2,10.7,7.3
1987/4/3,11.9,15.2,9.5
1987/4/4,13.9,18.1,8.5
1987/4/5,15.2,19.3,11.2
1987/4/6,15.2,17.8,12.8
1987/4/7,13.9,15.9,12.2
1987/4/8,17.1,21.4,13.7
1987/4/9,17.2,19.8,15.7
1987/4/10,17.6,20.3,16.0
1987/4/11,15.6,18.0,11.0
1987/4/12,10.7,14.4,7.9
1987/4/13,8.9,13.8,5.4
1987/4/14,9.0,13.0,4.0
1987/4/15,12.1,16.3,8.1
1987/4/16,14.9,18.6,9.7
1987/4/17,15.1,19.0,11.8
1987/4/18,15.5,20.0,11.8
1987/4/19,16.8,19.9,13.3
1987/4/20,18.3,22.8,13.9
1987/4/21,18.9,21.1,16.9
1987/4/22,19.2,22.9,16.0
1987/4/23,18.0,21.5,14.2
1987/4/24,18.1,21.6,14.3
1987/4/25,15.5,18.6,11.9
1987/4/26,14.4,16.2,13.1
1987/4/27,14.0,17.5,9.7
1987/4/28,16.1,19.2,13.1
1987/4/29,17.0,21.3,13.7
1987/4/30,16.6,19.9,12.3
1987/5/1,16.0,17.3,14.8
