É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:45:48

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1991/1/1,11.8,16.5,9.4
1991/1/2,9.4,11.3,5.8
1991/1/3,6.2,9.5,3.6
1991/1/4,6.3,7.9,4.5
1991/1/5,4.2,5.7,1.2
1991/1/6,4.3,6.8,2.6
1991/1/7,6.0,10.6,2.3
1991/1/8,5.9,8.4,4.7
1991/1/9,4.7,7.7,2.3
1991/1/10,7.2,11.9,1.6
1991/1/11,7.1,10.6,4.9
1991/1/12,6.3,10.0,3.3
1991/1/13,4.6,6.9,2.7
1991/1/14,4.2,7.7,1.9
1991/1/15,4.6,9.0,1.0
1991/1/16,5.3,12.1,-0.8
1991/1/17,7.2,12.1,4.2
1991/1/18,5.5,10.8,1.0
1991/1/19,4.4,11.3,-1.9
1991/1/20,8.6,11.3,4.8
1991/1/21,11.8,15.3,9.2
1991/1/22,10.2,14.6,5.6
1991/1/23,6.1,11.4,0.3
1991/1/24,7.5,13.4,0.2
1991/1/25,8.5,10.9,6.8
1991/1/26,5.7,9.1,2.5
1991/1/27,4.7,10.4,-1.2
1991/1/28,5.0,10.0,0.9
1991/1/29,4.5,10.0,-1.2
1991/1/30,4.8,10.6,0.7
1991/1/31,5.0,11.4,-0.4
1991/2/1,6.5,11.1,2.3
1991/2/2,5.5,11.1,0.6
1991/2/3,5.0,11.7,-0.8
1991/2/4,7.1,10.8,3.7
1991/2/5,5.2,9.4,0.0
1991/2/6,4.3,10.1,-0.8
1991/2/7,6.6,13.1,1.6
1991/2/8,7.7,13.0,0.7
1991/2/9,6.8,12.8,-1.3
1991/2/10,13.6,16.9,10.1
1991/2/11,10.5,14.7,7.7
1991/2/12,8.3,12.3,2.5
1991/2/13,5.0,9.2,0.6
1991/2/14,9.9,12.5,6.0
1991/2/15,11.4,14.1,9.4
1991/2/16,6.7,9.4,4.0
1991/2/17,4.8,8.6,2.3
1991/2/18,4.5,7.6,0.5
1991/2/19,4.6,7.7,0.3
1991/2/20,2.7,7.9,-0.8
1991/2/21,3.7,7.6,0.1
1991/2/22,3.2,11.1,-1.1
1991/2/23,-0.3,2.0,-2.9
1991/2/24,1.3,4.6,-0.5
1991/2/25,1.8,8.0,-3.4
1991/2/26,2.9,11.0,-3.8
1991/2/27,7.2,14.4,-1.3
1991/2/28,12.4,15.5,9.0
1991/3/1,6.8,11.0,2.1
1991/3/2,6.0,13.1,-0.5
1991/3/3,6.0,13.8,-0.4
1991/3/4,8.4,13.0,2.3
1991/3/5,11.1,12.7,10.0
1991/3/6,12.7,18.5,6.9
1991/3/7,10.5,15.9,5.0
1991/3/8,12.3,16.3,10.1
1991/3/9,13.0,17.2,9.8
1991/3/10,10.9,16.2,4.9
1991/3/11,13.1,18.2,9.7
1991/3/12,10.7,15.6,6.8
1991/3/13,10.1,15.7,6.2
1991/3/14,8.6,13.6,5.1
1991/3/15,6.7,11.9,0.7
1991/3/16,7.7,12.2,5.4
1991/3/17,8.8,14.2,3.2
1991/3/18,8.8,16.4,1.3
1991/3/19,13.4,21.7,8.0
1991/3/20,14.7,20.4,10.3
1991/3/21,13.0,17.5,10.7
1991/3/22,13.2,17.2,10.5
1991/3/23,12.1,14.4,9.4
1991/3/24,11.9,18.3,6.9
1991/3/25,11.6,15.9,8.4
1991/3/26,13.4,16.4,12.1
1991/3/27,16.2,23.1,13.0
1991/3/28,12.2,14.8,10.2
1991/3/29,11.0,16.6,4.5
1991/3/30,12.5,15.4,9.7
1991/3/31,10.7,13.8,8.8
1991/4/1,9.3,15.0,4.3
1991/4/2,7.7,15.0,2.3
1991/4/3,7.9,15.3,0.8
1991/4/4,12.0,20.2,3.0
1991/4/5,14.7,18.4,10.9
1991/4/6,15.4,20.3,13.4
1991/4/7,15.5,18.1,13.9
1991/4/8,13.1,16.0,11.1
1991/4/9,14.7,20.4,9.3
1991/4/10,17.3,24.4,12.2
1991/4/11,18.2,21.8,16.4
1991/4/12,19.8,24.3,16.4
1991/4/13,20.6,26.7,17.9
1991/4/14,16.3,20.1,10.5
1991/4/15,15.5,21.4,9.0
1991/4/16,17.0,21.4,13.2
1991/4/17,18.2,21.7,12.8
1991/4/18,18.0,23.6,11.4
1991/4/19,13.4,18.1,9.7
1991/4/20,14.3,21.6,8.6
1991/4/21,13.3,19.8,7.2
1991/4/22,14.2,21.3,6.5
1991/4/23,15.6,22.4,10.4
1991/4/24,15.0,17.3,14.1
1991/4/25,16.8,20.9,13.9
1991/4/26,15.2,19.6,12.5
1991/4/27,15.0,20.9,10.4
1991/4/28,18.1,25.1,11.4
1991/4/29,16.9,22.5,13.7
1991/4/30,14.8,20.1,10.1
1991/5/1,14.1,17.9,10.5
