ダウンロードした時刻：2019/10/10 15:58:16

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,7.0,13.5,0.4
1989/12/2,10.4,16.5,2.8
1989/12/3,9.1,15.8,2.4
1989/12/4,11.9,21.3,5.0
1989/12/5,11.7,18.4,5.1
1989/12/6,11.3,17.1,5.8
1989/12/7,11.3,15.5,8.9
1989/12/8,12.6,17.4,8.2
1989/12/9,7.7,11.4,2.4
1989/12/10,7.2,12.8,0.9
1989/12/11,8.7,14.3,4.5
1989/12/12,9.7,14.9,4.2
1989/12/13,8.8,10.7,5.2
1989/12/14,8.4,9.2,6.3
1989/12/15,9.0,15.4,3.4
1989/12/16,8.6,14.7,2.0
1989/12/17,9.8,15.0,3.7
1989/12/18,10.7,15.0,4.3
1989/12/19,8.2,11.8,5.7
1989/12/20,6.9,10.9,2.6
1989/12/21,6.8,12.2,1.5
1989/12/22,7.8,12.0,1.9
1989/12/23,9.5,14.4,2.9
1989/12/24,8.4,10.5,5.8
1989/12/25,9.3,13.5,4.3
1989/12/26,9.7,13.6,7.6
1989/12/27,9.8,15.2,7.1
1989/12/28,7.9,12.6,4.8
1989/12/29,6.4,10.3,2.9
1989/12/30,6.9,13.0,1.2
1989/12/31,6.0,10.1,0.0
1990/1/1,4.9,10.6,-1.9
1990/1/2,6.9,12.3,-0.1
1990/1/3,6.5,11.5,0.7
1990/1/4,4.2,10.4,-1.2
1990/1/5,4.4,10.5,-1.8
1990/1/6,8.2,15.6,-0.7
1990/1/7,5.0,10.7,-0.8
1990/1/8,6.3,11.2,-0.2
1990/1/9,9.1,15.2,4.2
1990/1/10,11.3,16.9,6.8
1990/1/11,11.0,16.1,4.9
1990/1/12,11.5,15.2,8.6
1990/1/13,10.2,15.6,4.4
1990/1/14,6.1,10.1,0.3
1990/1/15,7.3,10.2,2.7
1990/1/16,4.5,7.7,3.3
1990/1/17,5.2,9.5,2.0
1990/1/18,10.0,16.1,1.4
1990/1/19,11.8,14.4,8.2
1990/1/20,7.1,9.9,4.4
1990/1/21,4.8,9.6,0.8
1990/1/22,6.2,12.7,-0.3
1990/1/23,4.7,7.5,-0.3
1990/1/24,2.9,6.9,-0.9
1990/1/25,2.0,6.4,-1.5
1990/1/26,2.6,7.9,-3.2
1990/1/27,2.4,8.9,-3.1
1990/1/28,3.6,8.4,-3.2
1990/1/29,5.5,7.6,2.8
1990/1/30,9.4,14.1,3.7
1990/1/31,4.5,7.9,3.4
1990/2/1,4.0,4.5,3.1
1990/2/2,5.2,8.1,3.3
1990/2/3,6.6,9.4,4.1
1990/2/4,6.7,8.9,3.7
1990/2/5,7.1,10.0,4.6
1990/2/6,6.9,9.2,4.2
1990/2/7,7.5,10.1,5.6
1990/2/8,8.7,12.9,2.6
1990/2/9,7.5,9.8,5.9
1990/2/10,7.5,9.2,4.7
1990/2/11,12.7,15.9,8.7
1990/2/12,10.0,16.2,4.2
1990/2/13,7.9,12.1,3.5
1990/2/14,7.3,9.8,5.3
1990/2/15,9.8,13.8,5.9
1990/2/16,8.3,10.2,6.3
1990/2/17,8.5,12.8,2.5
1990/2/18,10.4,13.8,5.3
1990/2/19,11.3,13.3,10.3
1990/2/20,13.5,19.2,8.6
1990/2/21,11.4,16.3,5.6
1990/2/22,13.3,18.2,7.0
1990/2/23,13.6,15.5,12.4
1990/2/24,16.7,20.0,12.7
1990/2/25,13.0,16.2,9.7
1990/2/26,11.4,13.5,9.4
1990/2/27,9.7,11.0,7.4
1990/2/28,9.7,13.5,7.0
1990/3/1,9.7,10.9,8.1
1990/3/2,10.1,12.3,9.2
1990/3/3,10.4,13.0,8.7
1990/3/4,11.8,15.0,8.9
1990/3/5,11.3,15.0,8.7
1990/3/6,9.5,13.7,5.5
1990/3/7,8.4,15.0,2.1
1990/3/8,7.5,12.2,2.5
1990/3/9,8.4,14.0,0.4
1990/3/10,10.2,15.1,3.7
1990/3/11,11.4,15.8,4.1
1990/3/12,13.5,18.7,9.2
1990/3/13,8.4,13.8,2.4
1990/3/14,10.2,15.2,2.9
1990/3/15,13.5,21.3,8.1
1990/3/16,10.6,15.8,4.7
1990/3/17,10.0,13.8,5.1
1990/3/18,9.8,14.5,6.0
1990/3/19,10.0,15.6,3.2
1990/3/20,12.0,18.3,4.6
1990/3/21,11.8,15.5,6.8
1990/3/22,12.4,16.1,7.6
1990/3/23,13.5,19.4,6.4
1990/3/24,15.8,20.0,10.0
1990/3/25,12.4,15.9,8.7
1990/3/26,8.1,11.3,6.4
1990/3/27,9.9,13.7,4.5
1990/3/28,11.4,16.0,8.6
1990/3/29,10.8,12.2,9.0
1990/3/30,11.6,13.7,9.6
1990/3/31,12.0,12.5,10.7
