ダウンロードした時刻：2017/07/24 15:41:37

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,4.5,7.7,2.5
1995/1/2,5.5,9.1,2.5
1995/1/3,3.4,6.1,-1.0
1995/1/4,7.8,10.5,4.8
1995/1/5,6.9,9.9,2.9
1995/1/6,3.9,7.1,0.6
1995/1/7,7.1,11.8,2.0
1995/1/8,8.3,13.9,4.3
1995/1/9,6.9,12.3,2.1
1995/1/10,6.4,12.2,3.6
1995/1/11,5.4,8.9,1.2
1995/1/12,5.8,10.4,3.1
1995/1/13,4.9,9.0,1.4
1995/1/14,1.9,5.1,0.3
1995/1/15,3.1,7.3,0.4
1995/1/16,3.4,6.9,0.4
1995/1/17,3.0,8.5,-1.2
1995/1/18,5.4,10.4,-0.1
1995/1/19,4.5,7.1,1.6
1995/1/20,5.8,11.6,0.7
1995/1/21,7.5,10.9,3.5
1995/1/22,6.6,10.1,5.7
1995/1/23,10.6,13.4,8.4
1995/1/24,7.4,10.8,3.6
1995/1/25,4.7,8.8,2.3
1995/1/26,5.8,10.3,2.0
1995/1/27,4.8,8.1,1.9
1995/1/28,5.4,9.9,1.1
1995/1/29,4.3,9.1,0.8
1995/1/30,2.9,7.1,0.5
1995/1/31,2.7,6.4,0.0
1995/2/1,2.4,7.0,-0.1
1995/2/2,4.1,8.4,0.5
1995/2/3,4.6,7.9,2.7
1995/2/4,4.5,7.2,1.1
1995/2/5,4.7,8.6,3.1
1995/2/6,4.1,7.8,1.4
1995/2/7,5.0,9.1,2.1
1995/2/8,5.8,12.8,-0.1
1995/2/9,6.7,9.7,4.3
1995/2/10,3.9,6.0,2.0
1995/2/11,4.1,7.9,0.4
1995/2/12,5.3,8.4,0.7
1995/2/13,8.8,12.9,5.5
1995/2/14,7.1,10.8,3.6
1995/2/15,5.7,10.4,0.7
1995/2/16,5.8,9.4,2.4
1995/2/17,3.5,7.2,0.6
1995/2/18,4.8,8.8,0.0
1995/2/19,6.9,12.3,3.7
1995/2/20,5.5,9.4,3.1
1995/2/21,4.0,7.4,1.6
1995/2/22,4.4,7.5,1.6
1995/2/23,5.2,9.4,0.3
1995/2/24,6.7,10.2,3.5
1995/2/25,6.7,9.7,3.1
1995/2/26,7.6,11.9,5.6
1995/2/27,7.0,10.8,4.2
1995/2/28,5.9,10.1,1.9
1995/3/1,7.3,12.3,4.3
1995/3/2,5.9,9.5,4.0
1995/3/3,5.6,8.6,1.9
1995/3/4,5.9,10.3,2.3
1995/3/5,4.9,8.9,1.4
1995/3/6,7.5,12.5,3.8
1995/3/7,7.6,13.2,2.5
1995/3/8,9.3,15.8,4.4
1995/3/9,9.9,15.4,5.0
1995/3/10,8.8,11.2,5.8
1995/3/11,8.1,9.9,6.3
1995/3/12,7.3,11.6,4.6
1995/3/13,8.8,12.7,5.4
1995/3/14,8.6,13.4,4.9
1995/3/15,8.7,12.2,3.7
1995/3/16,10.8,13.1,9.1
1995/3/17,13.3,19.2,9.0
1995/3/18,8.1,10.4,5.7
1995/3/19,7.0,12.8,3.2
1995/3/20,7.3,12.1,2.0
1995/3/21,8.7,14.5,2.5
1995/3/22,12.5,19.0,6.9
1995/3/23,12.2,16.1,7.6
1995/3/24,12.6,13.5,11.4
1995/3/25,10.4,12.9,6.3
1995/3/26,6.5,11.9,3.3
1995/3/27,7.8,13.4,1.3
1995/3/28,8.4,11.4,5.8
1995/3/29,8.2,11.2,4.0
1995/3/30,10.5,13.0,8.3
1995/3/31,13.7,17.5,10.1
1995/4/1,10.0,13.9,6.1
1995/4/2,7.8,15.2,3.1
1995/4/3,6.7,11.3,3.0
1995/4/4,9.2,15.9,2.2
1995/4/5,10.7,15.6,5.3
1995/4/6,12.4,16.8,7.9
1995/4/7,14.3,18.8,10.6
1995/4/8,12.1,16.6,6.1
1995/4/9,12.5,14.0,10.9
1995/4/10,13.0,17.9,9.5
1995/4/11,10.2,12.5,7.1
1995/4/12,11.8,17.3,8.7
1995/4/13,12.3,16.7,7.1
1995/4/14,11.2,12.4,10.0
1995/4/15,15.5,19.7,11.0
1995/4/16,12.7,15.2,11.7
1995/4/17,16.8,23.8,11.6
1995/4/18,14.5,16.7,12.4
1995/4/19,12.8,18.0,8.3
1995/4/20,11.9,17.7,6.2
1995/4/21,12.5,17.6,5.7
1995/4/22,15.0,16.2,13.7
1995/4/23,16.7,23.2,14.4
1995/4/24,15.6,19.3,10.4
1995/4/25,13.9,15.0,13.2
1995/4/26,15.6,20.1,12.9
1995/4/27,16.2,21.6,11.1
1995/4/28,15.6,18.0,14.3
1995/4/29,15.0,15.7,14.2
1995/4/30,17.1,19.6,15.1
1995/5/1,16.8,17.6,16.0
