ダウンロードした時刻：2017/07/24 15:40:49

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,4.3,7.9,1.6
1998/1/2,6.3,11.9,0.9
1998/1/3,6.3,12.7,0.7
1998/1/4,6.8,10.9,4.3
1998/1/5,5.1,9.6,1.5
1998/1/6,4.2,10.1,1.5
1998/1/7,4.4,9.5,0.8
1998/1/8,3.1,5.0,0.7
1998/1/9,5.7,10.5,1.1
1998/1/10,4.0,8.4,-0.8
1998/1/11,4.3,7.1,0.5
1998/1/12,4.6,6.8,2.4
1998/1/13,5.6,11.3,0.8
1998/1/14,6.1,9.7,1.9
1998/1/15,5.8,6.8,4.5
1998/1/16,7.7,11.9,3.0
1998/1/17,6.3,10.7,0.5
1998/1/18,9.1,11.2,7.1
1998/1/19,3.7,8.4,-0.1
1998/1/20,1.7,5.4,-0.4
1998/1/21,3.4,9.4,0.0
1998/1/22,4.0,7.6,0.9
1998/1/23,4.1,7.2,2.4
1998/1/24,1.4,4.3,-2.2
1998/1/25,0.5,4.7,-4.6
1998/1/26,2.9,8.1,-1.9
1998/1/27,4.5,8.2,1.0
1998/1/28,5.0,10.0,1.9
1998/1/29,2.9,7.1,-0.6
1998/1/30,3.4,9.4,-2.5
1998/1/31,4.6,10.4,-0.3
1998/2/1,4.2,7.4,1.0
1998/2/2,4.4,11.8,-2.6
1998/2/3,5.7,9.8,-0.2
1998/2/4,4.9,8.2,1.6
1998/2/5,3.6,8.8,-0.6
1998/2/6,4.7,11.6,-1.8
1998/2/7,4.8,10.1,0.3
1998/2/8,2.9,9.0,0.0
1998/2/9,3.7,9.0,0.2
1998/2/10,3.5,8.7,0.7
1998/2/11,4.3,10.7,-2.3
1998/2/12,5.7,10.4,1.7
1998/2/13,10.3,19.3,2.2
1998/2/14,9.6,11.9,7.9
1998/2/15,7.1,11.5,4.2
1998/2/16,7.4,13.1,1.1
1998/2/17,5.6,8.8,3.0
1998/2/18,5.8,11.7,1.0
1998/2/19,8.3,14.0,0.7
1998/2/20,10.5,12.1,8.7
1998/2/21,10.5,13.9,4.4
1998/2/22,6.8,13.2,1.8
1998/2/23,9.2,15.1,3.0
1998/2/24,8.5,9.4,7.5
1998/2/25,9.7,13.5,7.5
1998/2/26,10.3,14.9,7.7
1998/2/27,9.8,16.0,3.6
1998/2/28,8.6,15.2,3.4
1998/3/1,8.0,12.2,4.0
1998/3/2,9.0,15.1,5.2
1998/3/3,8.5,16.3,0.8
1998/3/4,10.2,17.0,2.6
1998/3/5,7.4,8.7,6.2
1998/3/6,9.7,15.4,5.0
1998/3/7,6.5,10.0,3.4
1998/3/8,6.7,13.8,-0.3
1998/3/9,9.7,18.1,2.4
1998/3/10,8.7,13.9,5.0
1998/3/11,9.4,12.4,6.2
1998/3/12,10.4,15.1,7.9
1998/3/13,10.0,15.8,5.9
1998/3/14,8.9,14.6,4.1
1998/3/15,5.6,9.6,1.8
1998/3/16,6.2,12.7,-0.5
1998/3/17,7.0,12.5,2.1
1998/3/18,7.2,14.9,1.6
1998/3/19,10.5,16.5,2.1
1998/3/20,12.3,15.2,8.3
1998/3/21,9.6,14.9,6.5
1998/3/22,8.9,13.4,5.3
1998/3/23,8.3,13.5,3.7
1998/3/24,9.4,15.7,4.4
1998/3/25,10.9,16.9,6.8
1998/3/26,12.9,18.0,6.8
1998/3/27,11.1,12.9,9.3
1998/3/28,15.0,20.3,10.8
1998/3/29,16.1,25.2,7.9
1998/3/30,17.3,25.8,8.4
1998/3/31,14.4,20.6,9.5
1998/4/1,7.5,10.1,6.1
1998/4/2,9.2,14.1,6.3
1998/4/3,9.2,15.2,3.5
1998/4/4,11.5,20.0,2.4
1998/4/5,15.5,22.3,6.8
1998/4/6,13.9,16.7,12.5
1998/4/7,16.2,23.0,12.3
1998/4/8,14.9,19.0,9.7
1998/4/9,13.9,14.8,12.3
1998/4/10,17.0,23.5,11.6
1998/4/11,18.5,27.1,9.6
1998/4/12,19.2,25.0,12.1
1998/4/13,21.4,24.8,18.6
1998/4/14,20.5,22.1,17.8
1998/4/15,18.0,23.2,13.8
1998/4/16,16.9,22.7,10.8
1998/4/17,17.3,21.2,14.8
1998/4/18,16.1,18.8,13.7
1998/4/19,18.3,24.6,12.0
1998/4/20,20.6,29.1,11.7
1998/4/21,20.0,24.7,15.4
1998/4/22,21.8,26.8,19.4
1998/4/23,19.0,21.0,16.9
1998/4/24,20.8,23.4,18.1
1998/4/25,20.8,25.7,15.9
1998/4/26,17.3,21.9,13.3
1998/4/27,19.4,25.1,14.9
1998/4/28,20.4,27.5,14.9
1998/4/29,23.1,30.8,17.9
1998/4/30,20.8,26.2,16.6
1998/5/1,18.9,21.0,16.6
