ダウンロードした時刻：2017/07/24 15:47:16

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2016/1/1,7.6,11.5,3.3
2016/1/2,12.3,16.8,7.4
2016/1/3,12.8,16.6,7.9
2016/1/4,11.7,16.7,6.5
2016/1/5,10.4,12.8,8.8
2016/1/6,11.0,13.2,9.8
2016/1/7,9.0,9.9,8.4
2016/1/8,7.4,8.9,5.5
2016/1/9,7.3,10.0,3.8
2016/1/10,7.6,11.6,3.5
2016/1/11,9.3,11.7,5.2
2016/1/12,7.8,9.6,5.5
2016/1/13,6.5,8.2,4.0
2016/1/14,7.1,10.2,3.3
2016/1/15,5.5,10.3,2.0
2016/1/16,7.4,12.7,1.8
2016/1/17,9.7,12.5,5.6
2016/1/18,6.9,11.3,1.0
2016/1/19,2.6,4.7,1.0
2016/1/20,3.2,6.0,1.5
2016/1/21,5.0,7.1,2.0
2016/1/22,6.8,8.5,4.6
2016/1/23,3.8,7.7,-1.1
2016/1/24,-1.5,0.4,-4.0
2016/1/25,2.4,5.2,0.2
2016/1/26,5.3,8.5,1.9
2016/1/27,7.4,11.7,2.9
2016/1/28,12.4,16.8,7.3
2016/1/29,13.7,17.1,10.4
2016/1/30,10.9,13.9,8.7
2016/1/31,9.4,11.6,7.3
2016/2/1,6.1,7.6,4.6
2016/2/2,4.4,7.7,1.7
2016/2/3,4.9,9.0,-0.3
2016/2/4,7.8,10.5,3.6
2016/2/5,8.3,10.4,6.5
2016/2/6,6.2,8.8,4.9
2016/2/7,5.1,8.5,2.4
2016/2/8,8.3,12.2,3.8
2016/2/9,10.3,13.0,6.7
2016/2/10,8.0,14.2,2.3
2016/2/11,11.6,16.2,3.8
2016/2/12,16.6,18.1,15.1
2016/2/13,18.4,21.0,15.1
2016/2/14,8.3,15.1,4.4
2016/2/15,3.4,5.0,1.0
2016/2/16,5.6,8.7,1.0
2016/2/17,6.2,9.3,0.9
2016/2/18,6.5,12.4,0.7
2016/2/19,8.8,13.4,2.8
2016/2/20,10.4,13.2,7.4
2016/2/21,6.1,8.7,2.7
2016/2/22,7.2,10.3,3.1
2016/2/23,9.6,13.6,6.6
2016/2/24,6.1,8.9,4.5
2016/2/25,4.7,7.9,1.3
2016/2/26,5.5,11.6,0.1
2016/2/27,12.0,16.5,4.2
2016/2/28,12.2,17.6,4.7
2016/2/29,5.4,11.7,1.5
2016/3/1,3.6,6.5,1.7
2016/3/2,7.1,12.5,1.7
2016/3/3,11.1,17.9,2.8
2016/3/4,16.3,19.9,11.0
2016/3/5,17.8,20.8,15.4
2016/3/6,17.3,20.0,13.7
2016/3/7,14.8,18.5,11.1
2016/3/8,13.7,18.6,9.4
2016/3/9,10.4,12.6,9.4
2016/3/10,9.1,11.2,6.7
2016/3/11,6.8,8.9,5.2
2016/3/12,6.9,11.5,3.2
2016/3/13,6.9,10.3,2.2
2016/3/14,9.6,13.1,7.0
2016/3/15,9.5,14.2,5.5
2016/3/16,10.3,16.0,4.6
2016/3/17,13.6,18.2,6.0
2016/3/18,16.3,18.0,15.0
2016/3/19,14.7,19.2,9.4
2016/3/20,11.8,16.3,8.1
2016/3/21,11.1,15.6,5.4
2016/3/22,11.0,16.9,3.9
2016/3/23,12.2,16.5,7.0
2016/3/24,10.8,13.4,8.7
2016/3/25,10.2,14.1,6.7
2016/3/26,8.8,11.8,4.7
2016/3/27,9.3,14.0,4.2
2016/3/28,10.8,17.6,4.3
2016/3/29,13.3,17.2,5.7
2016/3/30,17.0,20.4,12.9
2016/3/31,13.3,16.2,11.3
2016/4/1,15.3,19.2,12.1
2016/4/2,16.1,21.2,10.8
2016/4/3,17.6,19.6,15.8
2016/4/4,15.1,17.3,10.7
2016/4/5,14.1,19.1,9.2
2016/4/6,15.7,19.0,11.1
2016/4/7,18.0,21.5,14.3
2016/4/8,15.5,21.1,11.7
2016/4/9,15.6,21.2,10.4
2016/4/10,16.7,21.8,13.2
2016/4/11,14.1,18.3,9.1
2016/4/12,15.4,20.0,7.7
2016/4/13,17.5,19.0,15.4
2016/4/14,17.3,21.1,14.5
2016/4/15,17.6,22.2,12.2
2016/4/16,17.8,20.5,11.8
2016/4/17,15.2,20.5,10.6
2016/4/18,13.9,17.0,9.0
2016/4/19,14.5,20.5,8.5
2016/4/20,15.8,20.6,7.4
2016/4/21,18.8,21.6,16.0
2016/4/22,17.1,21.5,12.8
2016/4/23,14.9,17.6,12.0
2016/4/24,16.1,19.2,13.3
2016/4/25,17.1,21.1,12.3
2016/4/26,18.3,20.7,16.0
2016/4/27,17.8,19.4,16.5
2016/4/28,14.2,16.6,11.4
2016/4/29,14.6,20.6,10.1
2016/4/30,15.6,20.9,8.9
2016/5/1,18.0,23.2,11.4
