ダウンロードした時刻：2017/07/24 15:46:12

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/1/1,3.1,6.2,0.7
2010/1/2,6.1,10.1,1.7
2010/1/3,6.6,8.6,3.5
2010/1/4,7.1,12.2,1.9
2010/1/5,6.6,10.0,3.0
2010/1/6,3.8,6.6,2.3
2010/1/7,4.8,7.8,2.1
2010/1/8,6.0,9.8,3.0
2010/1/9,6.6,10.4,3.1
2010/1/10,7.7,10.7,4.9
2010/1/11,7.0,9.9,3.8
2010/1/12,6.3,8.2,2.2
2010/1/13,0.7,2.7,-1.2
2010/1/14,1.7,4.4,-1.2
2010/1/15,3.4,7.3,-0.7
2010/1/16,5.0,8.8,1.9
2010/1/17,5.5,10.1,1.7
2010/1/18,5.2,9.9,0.1
2010/1/19,7.1,12.1,2.5
2010/1/20,8.6,12.7,2.3
2010/1/21,10.6,17.4,6.4
2010/1/22,7.3,10.6,5.1
2010/1/23,5.4,8.3,3.4
2010/1/24,5.1,9.6,2.1
2010/1/25,5.5,9.6,0.8
2010/1/26,6.4,10.2,2.5
2010/1/27,6.0,11.5,-0.1
2010/1/28,11.5,14.9,8.6
2010/1/29,9.2,12.4,5.6
2010/1/30,7.6,12.9,2.3
2010/1/31,7.4,8.1,6.6
2010/2/1,5.6,7.1,3.8
2010/2/2,7.3,10.3,4.9
2010/2/3,5.3,8.9,2.6
2010/2/4,3.8,8.1,0.4
2010/2/5,4.8,8.7,0.9
2010/2/6,4.4,7.4,2.1
2010/2/7,4.8,8.8,1.6
2010/2/8,6.6,10.9,2.7
2010/2/9,11.4,16.8,6.3
2010/2/10,12.3,16.3,8.0
2010/2/11,7.1,8.3,5.4
2010/2/12,6.0,8.2,3.9
2010/2/13,5.8,9.3,2.3
2010/2/14,6.2,9.4,1.7
2010/2/15,6.3,7.7,5.3
2010/2/16,6.6,9.6,3.7
2010/2/17,3.7,6.1,1.2
2010/2/18,5.4,10.8,1.0
2010/2/19,4.8,8.2,2.6
2010/2/20,6.2,10.7,1.7
2010/2/21,6.2,11.2,1.3
2010/2/22,8.3,13.0,2.2
2010/2/23,10.8,15.7,6.9
2010/2/24,12.8,18.9,6.2
2010/2/25,16.8,21.7,9.9
2010/2/26,17.2,19.2,13.1
2010/2/27,12.1,15.1,9.0
2010/2/28,10.4,15.0,7.9
2010/3/1,11.4,17.1,6.0
2010/3/2,11.5,13.6,9.8
2010/3/3,10.9,13.9,8.1
2010/3/4,11.5,16.9,7.0
2010/3/5,15.6,19.3,12.7
2010/3/6,11.1,13.8,8.9
2010/3/7,7.8,9.1,6.5
2010/3/8,7.6,9.6,6.4
2010/3/9,4.4,6.9,2.6
2010/3/10,5.7,9.3,3.8
2010/3/11,7.0,11.7,3.2
2010/3/12,10.3,17.5,2.0
2010/3/13,12.0,15.8,9.1
2010/3/14,10.8,14.8,7.0
2010/3/15,15.3,19.3,9.2
2010/3/16,13.3,16.9,7.8
2010/3/17,9.5,13.4,6.4
2010/3/18,9.4,16.5,4.0
2010/3/19,9.4,14.3,6.0
2010/3/20,16.0,23.2,6.1
2010/3/21,13.3,19.5,7.4
2010/3/22,8.5,12.5,4.3
2010/3/23,9.0,9.8,8.2
2010/3/24,7.7,8.6,7.1
2010/3/25,7.0,8.3,5.8
2010/3/26,6.9,11.2,3.5
2010/3/27,7.6,13.8,1.5
2010/3/28,9.7,15.4,6.6
2010/3/29,7.3,11.5,4.1
2010/3/30,6.6,10.9,2.6
2010/3/31,11.6,17.5,5.1
2010/4/1,18.7,21.1,13.1
2010/4/2,13.5,19.5,9.1
2010/4/3,10.4,15.4,5.7
2010/4/4,11.6,17.2,5.3
2010/4/5,14.3,18.3,11.4
2010/4/6,16.1,21.2,9.8
2010/4/7,11.0,16.5,6.8
2010/4/8,10.2,15.0,5.4
2010/4/9,12.4,15.0,8.9
2010/4/10,17.2,22.3,11.9
2010/4/11,18.3,21.5,14.8
2010/4/12,17.3,19.3,14.7
2010/4/13,15.9,19.4,12.0
2010/4/14,11.3,14.2,8.9
2010/4/15,7.6,9.6,5.5
2010/4/16,7.5,8.4,6.5
2010/4/17,11.9,17.3,6.8
2010/4/18,12.7,16.2,7.2
2010/4/19,14.6,20.3,11.6
2010/4/20,14.6,17.4,11.5
2010/4/21,17.4,21.2,13.5
2010/4/22,11.8,13.7,10.3
2010/4/23,11.9,13.2,10.3
2010/4/24,12.1,17.2,8.2
2010/4/25,12.2,17.5,6.2
2010/4/26,14.6,21.4,7.6
2010/4/27,14.9,16.9,14.0
2010/4/28,15.4,18.2,10.9
2010/4/29,15.0,19.6,11.2
2010/4/30,15.1,20.7,10.3
2010/5/1,15.1,20.1,9.7
