ダウンロードした時刻：2017/07/24 15:41:35

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,6.6,10.0,5.0
1989/1/2,6.6,10.0,3.2
1989/1/3,8.6,13.3,3.5
1989/1/4,5.1,7.9,2.9
1989/1/5,5.1,8.8,1.8
1989/1/6,6.7,9.5,2.6
1989/1/7,7.3,9.5,5.1
1989/1/8,10.5,13.9,6.9
1989/1/9,10.8,12.2,9.5
1989/1/10,11.4,15.3,8.8
1989/1/11,9.6,11.4,5.9
1989/1/12,9.7,14.0,6.0
1989/1/13,5.7,8.5,3.4
1989/1/14,6.0,9.2,3.5
1989/1/15,4.3,7.5,2.1
1989/1/16,5.0,9.8,-0.1
1989/1/17,7.0,12.6,3.0
1989/1/18,5.5,8.3,0.1
1989/1/19,8.9,10.4,7.3
1989/1/20,11.4,14.7,9.1
1989/1/21,8.7,12.1,5.7
1989/1/22,6.7,10.4,4.3
1989/1/23,8.1,11.0,5.1
1989/1/24,7.0,9.8,4.1
1989/1/25,6.0,11.1,2.3
1989/1/26,4.5,6.0,1.2
1989/1/27,5.9,10.7,1.0
1989/1/28,1.0,4.0,-0.4
1989/1/29,3.1,6.4,0.0
1989/1/30,5.8,11.5,1.3
1989/1/31,7.4,11.0,1.5
1989/2/1,7.3,10.3,3.7
1989/2/2,2.9,6.6,1.3
1989/2/3,3.1,6.8,0.4
1989/2/4,3.5,6.0,1.4
1989/2/5,5.7,10.5,1.6
1989/2/6,7.6,12.8,2.9
1989/2/7,7.0,11.2,3.5
1989/2/8,6.2,8.6,3.2
1989/2/9,10.1,12.9,6.6
1989/2/10,6.1,8.7,2.5
1989/2/11,4.1,7.7,1.2
1989/2/12,4.6,9.2,0.5
1989/2/13,5.0,9.2,1.2
1989/2/14,6.3,10.8,3.0
1989/2/15,6.2,10.4,-0.6
1989/2/16,8.5,9.6,6.8
1989/2/17,11.1,12.9,9.1
1989/2/18,9.6,12.1,7.5
1989/2/19,7.1,11.4,2.6
1989/2/20,6.7,10.5,0.8
1989/2/21,8.7,10.1,7.2
1989/2/22,7.7,12.3,4.6
1989/2/23,6.3,9.2,3.2
1989/2/24,7.4,8.6,5.7
1989/2/25,9.5,12.4,8.0
1989/2/26,7.5,12.8,3.8
1989/2/27,6.3,11.5,2.0
1989/2/28,9.7,12.2,4.0
1989/3/1,9.5,13.1,4.9
1989/3/2,8.1,12.9,3.6
1989/3/3,9.5,11.1,7.4
1989/3/4,11.7,17.2,8.7
1989/3/5,7.7,9.5,5.1
1989/3/6,8.1,12.0,3.7
1989/3/7,7.1,11.0,4.4
1989/3/8,6.0,10.9,2.9
1989/3/9,5.2,10.9,0.9
1989/3/10,7.0,12.5,2.2
1989/3/11,8.3,14.3,2.0
1989/3/12,10.7,15.4,4.3
1989/3/13,9.1,10.8,8.2
1989/3/14,13.0,17.7,9.2
1989/3/15,10.4,15.1,7.3
1989/3/16,8.5,13.1,5.3
1989/3/17,5.8,8.8,1.5
1989/3/18,5.5,9.9,1.1
1989/3/19,7.2,11.6,3.4
1989/3/20,8.0,13.3,4.8
1989/3/21,8.7,13.6,5.8
1989/3/22,7.6,10.6,5.9
1989/3/23,9.1,14.1,5.1
1989/3/24,9.8,12.5,6.6
1989/3/25,10.2,13.0,7.0
1989/3/26,8.9,11.9,5.3
1989/3/27,9.6,11.5,8.3
1989/3/28,9.8,14.7,6.7
1989/3/29,9.7,15.0,5.3
1989/3/30,10.1,15.3,3.9
1989/3/31,11.6,14.3,8.3
1989/4/1,14.0,22.1,8.6
1989/4/2,12.4,17.7,7.3
1989/4/3,13.1,14.7,11.2
1989/4/4,13.1,19.3,8.7
1989/4/5,13.3,19.6,7.1
1989/4/6,14.0,18.3,9.8
1989/4/7,14.5,17.9,11.5
1989/4/8,14.0,16.1,11.7
1989/4/9,15.3,19.6,11.8
1989/4/10,13.5,15.9,11.0
1989/4/11,12.0,19.5,7.5
1989/4/12,11.0,14.8,7.3
1989/4/13,15.2,22.2,9.3
1989/4/14,14.9,19.6,8.5
1989/4/15,14.7,16.6,14.3
1989/4/16,17.0,22.2,14.8
1989/4/17,15.2,20.5,12.2
1989/4/18,15.3,20.1,9.4
1989/4/19,18.8,26.7,12.5
1989/4/20,18.5,21.9,14.7
1989/4/21,16.9,20.2,14.3
1989/4/22,15.9,18.1,15.1
1989/4/23,14.6,15.4,13.5
1989/4/24,14.8,17.2,12.8
1989/4/25,13.2,16.8,10.9
1989/4/26,13.6,17.7,8.3
1989/4/27,15.5,22.1,11.7
1989/4/28,11.3,14.6,8.4
1989/4/29,12.2,17.6,5.9
1989/4/30,13.9,17.0,8.7
1989/5/1,14.0,15.0,12.9
