ダウンロードした時刻：2017/07/24 15:47:53

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,11.8,16.1,4.3
1981/1/2,9.2,13.5,7.0
1981/1/3,7.7,9.5,6.7
1981/1/4,7.5,9.6,6.6
1981/1/5,8.2,9.0,7.1
1981/1/6,8.3,9.3,6.8
1981/1/7,9.4,11.8,6.3
1981/1/8,11.5,15.8,6.6
1981/1/9,11.0,12.3,10.4
1981/1/10,10.3,11.8,8.8
1981/1/11,7.1,9.5,4.4
1981/1/12,9.9,12.7,7.7
1981/1/13,8.8,10.6,7.3
1981/1/14,8.2,10.3,6.5
1981/1/15,11.1,17.3,5.2
1981/1/16,8.2,10.3,5.9
1981/1/17,7.3,10.1,4.0
1981/1/18,11.2,14.4,6.0
1981/1/19,11.5,15.0,9.7
1981/1/20,9.8,12.4,8.4
1981/1/21,9.1,10.6,8.0
1981/1/22,7.1,9.4,4.4
1981/1/23,9.8,13.5,3.1
1981/1/24,16.4,19.7,11.7
1981/1/25,12.4,15.7,10.1
1981/1/26,8.7,11.7,7.3
1981/1/27,8.0,10.7,5.3
1981/1/28,9.8,12.9,5.8
1981/1/29,10.3,12.0,8.9
1981/1/30,11.2,14.8,8.4
1981/1/31,12.7,13.8,11.2
1981/2/1,11.9,15.8,9.5
1981/2/2,10.5,13.3,8.9
1981/2/3,9.8,11.1,7.4
1981/2/4,7.6,10.8,5.9
1981/2/5,9.1,12.2,4.6
1981/2/6,9.8,10.9,8.7
1981/2/7,10.1,12.2,8.6
1981/2/8,11.1,13.3,8.9
1981/2/9,12.5,15.3,10.9
1981/2/10,11.0,12.5,9.9
1981/2/11,10.9,13.2,9.4
1981/2/12,14.8,18.3,9.3
1981/2/13,19.1,21.2,17.8
1981/2/14,16.8,19.8,15.7
1981/2/15,17.4,21.3,14.2
1981/2/16,19.2,23.0,14.4
1981/2/17,14.3,20.3,11.2
1981/2/18,14.3,15.7,12.3
1981/2/19,13.4,15.4,12.4
1981/2/20,12.7,15.2,11.0
1981/2/21,10.1,12.2,7.0
1981/2/22,11.8,14.5,5.9
1981/2/23,17.0,19.1,13.9
1981/2/24,12.1,15.1,8.9
1981/2/25,6.7,9.5,5.0
1981/2/26,3.5,6.2,0.9
1981/2/27,3.5,7.1,1.1
1981/2/28,7.7,10.3,2.8
1981/3/1,13.0,16.9,9.8
1981/3/2,11.6,13.1,9.9
1981/3/3,13.7,16.9,12.3
1981/3/4,12.5,15.0,11.4
1981/3/5,12.0,15.4,10.3
1981/3/6,11.7,15.9,6.9
1981/3/7,11.6,14.6,8.8
1981/3/8,13.7,16.6,10.8
1981/3/9,13.9,17.1,9.5
1981/3/10,10.0,12.9,7.1
1981/3/11,12.0,14.6,7.2
1981/3/12,15.6,17.5,12.9
1981/3/13,18.4,21.1,15.3
1981/3/14,19.5,22.8,15.4
1981/3/15,13.5,16.8,12.1
1981/3/16,12.4,15.1,10.9
1981/3/17,14.1,17.1,11.1
1981/3/18,15.6,18.6,11.4
1981/3/19,15.6,16.6,14.2
1981/3/20,16.3,18.7,15.2
1981/3/21,15.3,17.3,13.9
1981/3/22,17.2,20.2,14.4
1981/3/23,17.2,21.4,13.6
1981/3/24,17.9,20.0,14.3
1981/3/25,18.1,20.7,16.0
1981/3/26,14.6,16.5,11.8
1981/3/27,13.1,15.8,10.4
1981/3/28,14.3,17.1,12.9
1981/3/29,13.2,14.6,12.5
1981/3/30,13.2,14.0,11.8
1981/3/31,14.4,15.6,12.6
1981/4/1,19.2,22.7,14.8
1981/4/2,16.7,21.0,13.8
1981/4/3,15.1,17.3,9.7
1981/4/4,19.0,22.0,16.1
1981/4/5,19.2,22.7,17.3
1981/4/6,16.4,17.8,15.3
1981/4/7,17.2,19.7,14.6
1981/4/8,18.8,20.2,16.8
1981/4/9,18.9,21.8,15.3
1981/4/10,17.0,18.4,16.0
1981/4/11,17.8,21.1,14.6
1981/4/12,16.5,17.8,14.3
1981/4/13,17.0,20.1,14.7
1981/4/14,16.6,20.1,11.0
1981/4/15,18.2,20.2,14.9
1981/4/16,18.1,20.0,16.4
1981/4/17,16.7,20.4,13.5
1981/4/18,17.7,20.8,12.2
1981/4/19,17.2,20.2,14.6
1981/4/20,15.2,17.8,13.8
1981/4/21,15.6,19.8,9.6
1981/4/22,16.7,18.9,14.7
1981/4/23,17.9,21.9,14.5
1981/4/24,18.7,22.7,13.9
1981/4/25,17.7,19.2,15.6
1981/4/26,17.4,21.0,14.8
1981/4/27,17.6,21.7,14.1
1981/4/28,20.1,23.7,16.7
1981/4/29,19.4,20.8,18.0
1981/4/30,18.7,20.8,17.3
1981/5/1,19.6,23.5,13.9
