ダウンロードした時刻：2017/07/24 15:44:00

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,3.2,5.9,0.8
1995/1/2,3.9,6.7,0.0
1995/1/3,2.1,4.6,-1.9
1995/1/4,6.9,8.9,3.9
1995/1/5,5.9,9.5,1.3
1995/1/6,1.6,2.6,0.3
1995/1/7,4.5,7.7,0.7
1995/1/8,5.9,10.6,0.9
1995/1/9,6.4,13.4,0.7
1995/1/10,3.4,7.5,0.8
1995/1/11,2.8,6.0,0.6
1995/1/12,3.5,6.5,0.2
1995/1/13,2.4,5.4,0.4
1995/1/14,-0.1,0.8,-0.8
1995/1/15,0.5,1.8,-1.3
1995/1/16,1.6,4.8,-1.5
1995/1/17,0.9,5.3,-3.9
1995/1/18,2.7,5.5,-0.9
1995/1/19,2.3,4.7,0.3
1995/1/20,2.6,5.9,-0.9
1995/1/21,5.0,8.4,2.4
1995/1/22,4.5,7.0,1.9
1995/1/23,7.5,9.7,5.9
1995/1/24,5.4,8.0,3.7
1995/1/25,4.4,6.9,3.0
1995/1/26,3.8,8.0,1.0
1995/1/27,3.3,6.1,1.0
1995/1/28,3.8,7.4,0.7
1995/1/29,2.1,5.8,-0.7
1995/1/30,0.3,3.3,-1.2
1995/1/31,-0.3,1.0,-2.0
1995/2/1,0.5,3.2,-1.2
1995/2/2,1.6,3.5,-0.2
1995/2/3,3.1,5.0,0.0
1995/2/4,1.5,4.1,-2.0
1995/2/5,1.5,4.0,-0.7
1995/2/6,2.2,5.3,0.5
1995/2/7,2.9,6.3,1.2
1995/2/8,4.0,9.3,-0.5
1995/2/9,4.8,8.9,1.4
1995/2/10,2.9,4.9,0.1
1995/2/11,2.5,7.0,-1.8
1995/2/12,3.6,6.9,-1.0
1995/2/13,7.0,10.0,5.2
1995/2/14,6.0,9.0,1.3
1995/2/15,4.4,8.7,-0.4
1995/2/16,4.6,7.2,2.2
1995/2/17,2.9,5.4,0.0
1995/2/18,3.9,8.1,0.1
1995/2/19,5.5,9.3,3.2
1995/2/20,3.7,6.2,1.9
1995/2/21,2.0,4.0,0.6
1995/2/22,3.1,6.5,0.0
1995/2/23,3.2,8.4,-2.2
1995/2/24,5.3,8.5,2.6
1995/2/25,5.5,8.8,1.2
1995/2/26,5.7,9.1,3.1
1995/2/27,5.5,8.6,4.0
1995/2/28,5.1,11.6,-1.0
1995/3/1,4.7,8.8,2.7
1995/3/2,4.1,6.5,0.6
1995/3/3,3.1,8.2,-1.3
1995/3/4,4.2,7.9,0.6
1995/3/5,3.9,7.1,0.8
1995/3/6,5.2,9.9,1.8
1995/3/7,5.9,11.8,1.0
1995/3/8,5.9,10.3,0.8
1995/3/9,7.7,11.5,2.8
1995/3/10,7.6,10.4,5.2
1995/3/11,5.7,8.2,4.3
1995/3/12,6.6,10.7,3.9
1995/3/13,6.3,8.9,4.6
1995/3/14,7.3,10.4,5.2
1995/3/15,7.7,13.3,1.2
1995/3/16,11.4,13.9,8.8
1995/3/17,12.0,17.6,6.9
1995/3/18,6.5,8.6,4.4
1995/3/19,5.4,9.7,2.9
1995/3/20,6.2,11.8,0.4
1995/3/21,9.0,17.7,2.0
1995/3/22,9.0,12.3,6.0
1995/3/23,9.9,16.6,3.8
1995/3/24,12.3,16.6,9.5
1995/3/25,8.1,10.9,5.2
1995/3/26,5.9,9.7,2.3
1995/3/27,7.4,15.5,0.3
1995/3/28,7.1,9.8,4.0
1995/3/29,8.5,15.9,2.2
1995/3/30,10.3,14.1,8.0
1995/3/31,10.2,12.2,7.2
1995/4/1,7.7,10.6,4.5
1995/4/2,6.2,11.6,1.6
1995/4/3,5.6,9.6,0.7
1995/4/4,7.2,13.7,0.7
1995/4/5,10.6,18.3,3.3
1995/4/6,12.6,19.7,7.4
1995/4/7,11.6,15.1,6.5
1995/4/8,11.3,20.2,4.0
1995/4/9,11.5,12.8,10.5
1995/4/10,10.8,13.7,7.9
1995/4/11,8.8,12.4,5.4
1995/4/12,9.1,12.0,7.2
1995/4/13,10.3,16.3,4.0
1995/4/14,10.3,12.0,8.9
1995/4/15,12.1,15.4,10.0
1995/4/16,12.5,15.1,10.7
1995/4/17,13.6,18.6,10.5
1995/4/18,13.5,20.3,9.4
1995/4/19,11.5,14.3,8.2
1995/4/20,10.6,14.5,6.6
1995/4/21,12.4,20.8,3.8
1995/4/22,15.0,19.1,12.1
1995/4/23,16.1,22.3,12.3
1995/4/24,14.1,17.8,8.5
1995/4/25,13.0,14.3,12.0
1995/4/26,13.5,18.1,11.6
1995/4/27,14.2,19.1,8.6
1995/4/28,15.3,16.6,14.0
1995/4/29,15.1,20.0,12.2
1995/4/30,16.5,21.2,14.1
1995/5/1,15.7,17.7,14.5
