ダウンロードした時刻：2017/07/24 15:37:01

,八戸,八戸,八戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1998/1/1,0.8,4.6,-1.9
1998/1/2,-1.6,1.6,-3.8
1998/1/3,1.0,5.7,-3.7
1998/1/4,0.4,3.1,-2.1
1998/1/5,-2.5,0.2,-4.7
1998/1/6,-3.0,0.3,-5.8
1998/1/7,-6.8,-5.1,-7.7
1998/1/8,-5.5,-3.1,-7.7
1998/1/9,-3.6,-0.8,-6.8
1998/1/10,-1.8,0.6,-4.2
1998/1/11,-1.2,1.6,-3.9
1998/1/12,-1.3,0.9,-4.1
1998/1/13,-1.7,2.7,-6.3
1998/1/14,-3.4,-0.9,-5.7
1998/1/15,-3.3,-0.6,-5.5
1998/1/16,-0.7,0.7,-1.6
1998/1/17,-1.1,1.6,-4.0
1998/1/18,0.0,4.0,-3.9
1998/1/19,-2.3,3.6,-6.7
1998/1/20,-4.4,-2.1,-8.3
1998/1/21,-3.5,0.7,-7.5
1998/1/22,-5.7,-1.7,-10.0
1998/1/23,-5.0,-0.2,-9.6
1998/1/24,-5.1,-1.1,-8.4
1998/1/25,-4.3,-0.8,-7.6
1998/1/26,-4.3,-1.4,-7.8
1998/1/27,-4.9,-1.4,-7.9
1998/1/28,-5.6,-0.9,-9.3
1998/1/29,-4.3,-0.2,-7.4
1998/1/30,-1.0,3.5,-7.3
1998/1/31,-1.8,1.8,-6.2
1998/2/1,-3.3,0.5,-6.4
1998/2/2,-0.3,3.5,-3.6
1998/2/3,1.0,5.0,-2.5
1998/2/4,-4.1,-1.6,-5.5
1998/2/5,-2.6,1.1,-6.3
1998/2/6,-1.0,3.5,-4.9
1998/2/7,-4.1,-1.7,-8.0
1998/2/8,0.8,2.5,-2.4
1998/2/9,-0.5,1.3,-2.5
1998/2/10,-2.2,1.2,-4.9
1998/2/11,-2.8,2.0,-5.5
1998/2/12,2.4,6.5,-5.5
1998/2/13,2.5,6.2,-0.5
1998/2/14,-0.2,2.1,-1.8
1998/2/15,-1.5,1.0,-3.1
1998/2/16,-2.2,1.8,-5.3
1998/2/17,-3.5,-0.2,-6.5
1998/2/18,-2.2,1.4,-5.9
1998/2/19,2.4,7.6,-2.9
1998/2/20,4.6,7.1,2.3
1998/2/21,-3.0,2.4,-6.7
1998/2/22,-2.1,2.9,-8.5
1998/2/23,1.4,8.2,-5.4
1998/2/24,0.5,2.7,-2.7
1998/2/25,2.4,4.8,0.5
1998/2/26,2.5,7.3,-2.8
1998/2/27,3.1,5.7,0.9
1998/2/28,2.5,4.4,1.2
1998/3/1,2.3,4.2,-0.7
1998/3/2,3.9,10.7,-2.6
1998/3/3,7.1,12.8,2.9
1998/3/4,3.9,8.6,-0.5
1998/3/5,1.5,7.4,-3.4
1998/3/6,3.3,9.0,-2.5
1998/3/7,2.4,5.6,-1.4
1998/3/8,2.1,5.9,-2.0
1998/3/9,2.6,7.5,-1.5
1998/3/10,-0.2,4.8,-4.9
1998/3/11,1.0,7.6,-4.2
1998/3/12,3.8,8.4,-2.9
1998/3/13,6.1,9.0,3.3
1998/3/14,5.6,11.2,1.3
1998/3/15,0.2,3.8,-3.5
1998/3/16,-2.5,0.8,-4.4
1998/3/17,0.0,3.8,-4.9
1998/3/18,3.1,6.0,0.0
1998/3/19,8.4,15.5,1.0
1998/3/20,8.7,17.6,2.7
1998/3/21,3.4,7.3,0.6
1998/3/22,2.0,7.1,-1.5
1998/3/23,1.5,5.8,-1.7
1998/3/24,5.0,10.6,-0.8
1998/3/25,7.8,14.1,2.3
1998/3/26,8.6,16.3,1.4
1998/3/27,8.0,12.9,4.2
1998/3/28,9.8,15.8,2.1
1998/3/29,13.9,18.9,9.8
1998/3/30,10.6,17.9,4.3
1998/3/31,4.0,10.8,-1.0
1998/4/1,2.6,6.5,-1.3
1998/4/2,0.5,1.7,-0.6
1998/4/3,4.5,10.2,-1.3
1998/4/4,8.4,14.5,1.3
1998/4/5,11.9,18.5,4.3
1998/4/6,9.1,15.1,5.7
1998/4/7,10.4,17.0,4.7
1998/4/8,8.2,17.5,4.4
1998/4/9,6.4,11.6,3.2
1998/4/10,8.6,14.8,5.7
1998/4/11,11.6,18.1,5.0
1998/4/12,8.5,15.4,0.3
1998/4/13,20.4,25.7,14.8
1998/4/14,11.1,19.6,9.0
1998/4/15,5.4,10.0,3.1
1998/4/16,6.4,9.7,3.1
1998/4/17,6.9,11.5,2.8
1998/4/18,7.5,11.5,4.9
1998/4/19,11.3,19.9,6.0
1998/4/20,20.0,27.3,12.5
1998/4/21,23.0,29.4,17.1
1998/4/22,17.5,23.5,12.6
1998/4/23,13.0,17.7,9.9
1998/4/24,12.9,15.9,10.9
1998/4/25,10.6,16.9,5.5
1998/4/26,5.8,9.3,4.4
1998/4/27,7.7,12.0,3.9
1998/4/28,10.2,15.4,6.9
1998/4/29,15.0,20.9,10.6
1998/4/30,11.1,16.3,4.2
1998/5/1,12.6,19.9,1.8
