É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:40:25

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2015/1/1,2.8,6.3,-1.6
2015/1/2,1.5,7.5,-4.6
2015/1/3,3.3,9.0,-1.3
2015/1/4,2.3,9.6,-3.3
2015/1/5,6.4,13.2,-0.2
2015/1/6,6.4,11.5,2.4
2015/1/7,4.7,10.7,2.0
2015/1/8,4.8,10.3,0.6
2015/1/9,5.5,10.6,2.4
2015/1/10,5.2,10.6,1.0
2015/1/11,5.1,11.1,-0.8
2015/1/12,4.1,8.7,0.4
2015/1/13,5.7,11.1,2.2
2015/1/14,4.8,10.8,-1.9
2015/1/15,4.5,7.2,1.2
2015/1/16,8.2,11.9,4.2
2015/1/17,4.5,10.0,-0.6
2015/1/18,3.2,9.1,-2.2
2015/1/19,4.3,13.2,-2.4
2015/1/20,4.8,9.8,1.0
2015/1/21,1.7,3.9,-1.3
2015/1/22,4.2,5.0,3.5
2015/1/23,6.3,11.5,2.3
2015/1/24,4.9,11.0,0.0
2015/1/25,4.8,11.2,-1.8
2015/1/26,8.6,13.9,4.6
2015/1/27,9.2,16.8,6.2
2015/1/28,4.1,8.5,-0.2
2015/1/29,3.2,7.8,-1.2
2015/1/30,2.1,3.8,0.5
2015/1/31,4.5,9.9,0.8
2015/2/1,3.0,7.8,-0.8
2015/2/2,4.0,8.8,0.5
2015/2/3,4.4,10.5,-0.1
2015/2/4,3.9,9.6,-3.2
2015/2/5,2.7,4.0,0.7
2015/2/6,4.3,12.1,-1.8
2015/2/7,4.9,10.0,-0.8
2015/2/8,3.1,5.6,0.9
2015/2/9,2.3,7.9,-1.7
2015/2/10,2.3,9.0,-3.5
2015/2/11,3.9,11.2,-3.3
2015/2/12,5.1,12.9,-2.1
2015/2/13,3.4,10.0,-1.0
2015/2/14,4.0,10.0,0.0
2015/2/15,4.1,10.3,-1.3
2015/2/16,6.7,14.3,1.7
2015/2/17,3.8,7.2,1.7
2015/2/18,3.6,5.4,2.1
2015/2/19,6.0,13.8,-0.7
2015/2/20,5.7,12.5,-0.2
2015/2/21,4.8,10.8,-2.1
2015/2/22,4.8,6.1,3.6
2015/2/23,10.5,17.3,5.6
2015/2/24,9.0,13.5,4.9
2015/2/25,8.7,12.9,6.2
2015/2/26,6.1,7.1,4.4
2015/2/27,7.0,13.7,2.2
2015/2/28,6.4,12.4,2.0
2015/3/1,5.5,8.6,4.3
2015/3/2,7.7,12.5,3.6
2015/3/3,3.9,6.2,0.1
2015/3/4,10.4,19.4,2.4
2015/3/5,8.2,13.1,4.9
2015/3/6,7.3,12.0,4.3
2015/3/7,6.1,7.8,4.2
2015/3/8,8.5,12.8,5.5
2015/3/9,9.2,11.4,8.0
2015/3/10,7.1,12.5,1.0
2015/3/11,5.3,12.5,-1.2
2015/3/12,6.6,15.0,-1.4
2015/3/13,7.9,14.5,0.6
2015/3/14,8.1,13.6,2.9
2015/3/15,6.9,12.1,2.6
2015/3/16,9.8,15.2,3.0
2015/3/17,14.5,23.3,6.8
2015/3/18,14.3,20.8,8.3
2015/3/19,11.7,13.7,9.3
2015/3/20,12.2,15.5,10.1
2015/3/21,10.8,15.8,6.0
2015/3/22,11.3,20.0,3.5
2015/3/23,9.5,15.7,3.2
2015/3/24,6.8,13.5,1.6
2015/3/25,7.2,13.1,2.9
2015/3/26,9.2,16.4,3.5
2015/3/27,12.0,22.0,0.4
2015/3/28,12.9,21.7,4.9
2015/3/29,13.9,20.0,5.1
2015/3/30,16.5,24.9,9.9
2015/3/31,16.1,25.0,9.2
2015/4/1,14.1,20.6,10.2
2015/4/2,12.0,18.8,6.1
2015/4/3,14.5,20.4,7.1
2015/4/4,12.9,16.9,10.1
2015/4/5,10.4,12.4,8.7
2015/4/6,15.8,23.1,8.6
2015/4/7,10.2,14.4,7.7
2015/4/8,3.3,7.8,0.8
2015/4/9,6.1,9.3,3.5
2015/4/10,7.8,11.8,2.6
2015/4/11,12.1,18.6,8.4
2015/4/12,12.1,18.4,5.3
2015/4/13,9.1,10.7,7.9
2015/4/14,11.7,13.7,8.5
2015/4/15,14.6,23.4,10.2
2015/4/16,14.9,21.7,6.2
2015/4/17,15.2,21.8,9.4
2015/4/18,14.0,21.3,5.1
2015/4/19,13.6,19.2,7.7
2015/4/20,14.6,17.4,11.7
2015/4/21,17.2,20.1,14.1
2015/4/22,16.3,22.2,10.6
2015/4/23,18.4,26.1,11.1
2015/4/24,17.8,25.2,11.9
2015/4/25,17.5,24.7,12.9
2015/4/26,17.5,25.7,10.0
2015/4/27,20.1,29.3,11.0
2015/4/28,21.8,30.9,12.8
2015/4/29,19.7,25.5,14.3
2015/4/30,19.8,26.6,13.1
2015/5/1,21.2,29.3,12.8
