ダウンロードした時刻：2017/07/24 15:45:54

,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,4.6,12.1,-1.1
1985/1/2,6.1,13.2,-0.1
1985/1/3,7.7,12.4,4.4
1985/1/4,7.5,13.3,3.0
1985/1/5,4.3,9.8,1.0
1985/1/6,3.5,10.8,-1.6
1985/1/7,3.4,9.5,-1.5
1985/1/8,4.5,9.1,0.1
1985/1/9,4.9,12.6,-0.7
1985/1/10,6.9,12.5,2.9
1985/1/11,6.0,10.6,1.8
1985/1/12,7.1,13.9,1.1
1985/1/13,4.5,9.4,0.0
1985/1/14,-0.2,4.8,-3.7
1985/1/15,0.9,6.5,-5.2
1985/1/16,3.8,10.8,-1.1
1985/1/17,2.8,9.7,-2.7
1985/1/18,4.7,8.9,0.8
1985/1/19,6.3,12.0,-0.1
1985/1/20,7.7,13.5,3.2
1985/1/21,4.9,11.4,0.1
1985/1/22,6.8,14.7,-1.0
1985/1/23,9.2,14.9,4.5
1985/1/24,5.5,10.8,2.0
1985/1/25,4.5,10.7,-0.3
1985/1/26,3.6,11.2,-2.1
1985/1/27,4.9,11.1,-1.4
1985/1/28,6.6,12.4,1.3
1985/1/29,2.4,7.0,-0.4
1985/1/30,0.2,4.8,-3.5
1985/1/31,1.2,8.2,-5.0
1985/2/1,4.2,10.3,-2.6
1985/2/2,6.8,13.7,0.4
1985/2/3,6.8,15.8,0.4
1985/2/4,7.5,13.9,0.3
1985/2/5,7.6,11.1,6.2
1985/2/6,7.8,9.5,5.8
1985/2/7,10.8,17.1,4.3
1985/2/8,9.5,10.3,8.9
1985/2/9,13.0,16.1,9.7
1985/2/10,9.1,15.3,6.6
1985/2/11,7.2,12.8,2.0
1985/2/12,7.3,12.5,3.2
1985/2/13,6.6,13.1,1.5
1985/2/14,4.6,11.1,-0.8
1985/2/15,4.9,11.2,-1.4
1985/2/16,6.7,11.7,3.5
1985/2/17,7.3,12.1,3.6
1985/2/18,6.6,10.5,2.6
1985/2/19,8.6,13.3,6.6
1985/2/20,7.4,12.8,4.5
1985/2/21,3.8,7.4,1.4
1985/2/22,3.0,8.4,-0.9
1985/2/23,3.8,10.3,0.1
1985/2/24,3.0,8.8,-1.3
1985/2/25,5.3,10.6,-1.1
1985/2/26,6.6,11.1,2.6
1985/2/27,7.2,10.6,4.6
1985/2/28,9.5,11.2,6.4
1985/3/1,13.1,18.2,10.2
1985/3/2,10.9,12.8,9.4
1985/3/3,9.9,13.0,6.6
1985/3/4,9.5,16.3,3.9
1985/3/5,8.4,10.4,5.4
1985/3/6,8.3,14.6,2.5
1985/3/7,9.9,15.4,4.3
1985/3/8,13.2,16.4,10.0
1985/3/9,12.5,17.1,8.8
1985/3/10,10.3,15.6,4.4
1985/3/11,8.7,10.5,7.5
1985/3/12,8.9,13.0,5.2
1985/3/13,8.9,14.8,3.1
1985/3/14,10.1,14.6,7.4
1985/3/15,10.1,14.4,6.5
1985/3/16,9.5,14.5,4.3
1985/3/17,12.2,15.7,9.9
1985/3/18,13.4,20.0,7.0
1985/3/19,12.3,17.3,8.7
1985/3/20,10.6,15.9,5.0
1985/3/21,11.1,16.0,6.8
1985/3/22,11.0,17.6,4.2
1985/3/23,11.6,16.8,7.6
1985/3/24,11.9,19.7,4.5
1985/3/25,13.6,17.5,8.4
1985/3/26,17.9,23.6,14.6
1985/3/27,16.4,20.4,14.2
1985/3/28,15.3,21.0,10.5
1985/3/29,14.0,20.1,9.5
1985/3/30,10.7,15.6,6.5
1985/3/31,7.7,12.4,3.8
1985/4/1,8.9,16.0,1.8
1985/4/2,11.2,17.4,3.8
1985/4/3,14.2,18.1,9.6
1985/4/4,17.6,23.0,11.2
1985/4/5,13.9,21.3,6.9
1985/4/6,12.8,17.8,5.0
1985/4/7,12.1,13.3,11.0
1985/4/8,16.7,23.8,10.9
1985/4/9,16.9,23.5,10.2
1985/4/10,17.4,22.7,11.6
1985/4/11,16.1,17.1,15.4
1985/4/12,14.2,15.9,13.0
1985/4/13,17.7,23.7,13.3
1985/4/14,16.8,19.9,14.6
1985/4/15,16.7,22.2,13.1
1985/4/16,15.4,22.7,10.7
1985/4/17,14.1,20.7,7.7
1985/4/18,14.6,21.2,8.0
1985/4/19,16.6,21.7,9.3
1985/4/20,19.0,24.6,14.3
1985/4/21,17.8,23.4,11.9
1985/4/22,17.6,22.2,14.6
1985/4/23,19.0,23.3,14.0
1985/4/24,18.4,23.4,12.7
1985/4/25,16.7,22.8,9.3
1985/4/26,18.1,21.7,13.6
1985/4/27,17.9,24.4,12.3
1985/4/28,15.3,21.4,9.2
1985/4/29,16.2,22.1,9.8
1985/4/30,17.2,24.2,10.2
1985/5/1,18.4,25.3,12.1
