ダウンロードした時刻：2017/07/24 15:39:59

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,2.8,8.6,-4.8
2002/1/2,-1.9,3.5,-5.4
2002/1/3,-2.9,0.3,-5.7
2002/1/4,1.0,5.7,-5.3
2002/1/5,0.0,3.7,-3.1
2002/1/6,-3.4,2.4,-8.0
2002/1/7,-0.5,6.3,-9.5
2002/1/8,1.9,6.9,-1.4
2002/1/9,0.3,5.2,-3.6
2002/1/10,2.3,8.5,-5.9
2002/1/11,3.9,6.9,-0.3
2002/1/12,2.0,9.4,-2.2
2002/1/13,2.2,5.5,-0.8
2002/1/14,4.4,9.3,-1.4
2002/1/15,8.7,16.0,-0.6
2002/1/16,7.1,13.5,2.8
2002/1/17,1.4,3.7,-1.7
2002/1/18,-0.6,5.0,-5.0
2002/1/19,-1.0,4.3,-4.5
2002/1/20,0.4,7.6,-6.2
2002/1/21,1.0,3.5,0.0
2002/1/22,1.4,5.0,-0.7
2002/1/23,-0.2,2.7,-1.9
2002/1/24,0.7,5.9,-1.9
2002/1/25,-0.4,5.7,-3.8
2002/1/26,-2.1,2.3,-7.2
2002/1/27,0.9,6.0,-1.4
2002/1/28,0.2,4.8,-4.2
2002/1/29,-1.2,2.7,-3.7
2002/1/30,-2.3,2.7,-7.8
2002/1/31,-2.4,2.5,-7.7
2002/2/1,-4.6,1.5,-11.5
2002/2/2,-1.5,4.3,-8.2
2002/2/3,0.5,1.4,-0.5
2002/2/4,1.7,5.6,-1.0
2002/2/5,2.7,7.6,-2.7
2002/2/6,3.7,9.8,-0.8
2002/2/7,2.0,8.2,-2.6
2002/2/8,2.2,8.2,-3.8
2002/2/9,1.0,6.0,-4.9
2002/2/10,-2.8,1.4,-5.2
2002/2/11,-2.1,1.6,-4.5
2002/2/12,-1.6,3.7,-5.7
2002/2/13,-2.2,3.0,-5.8
2002/2/14,-3.0,4.0,-8.8
2002/2/15,-2.7,5.1,-8.7
2002/2/16,-1.6,6.4,-8.6
2002/2/17,1.3,9.2,-5.3
2002/2/18,2.0,6.1,-3.3
2002/2/19,-0.3,5.6,-3.7
2002/2/20,0.8,9.0,-5.6
2002/2/21,2.9,12.0,-5.0
2002/2/22,8.3,14.9,0.9
2002/2/23,2.6,7.9,-0.8
2002/2/24,1.3,7.3,-3.2
2002/2/25,2.6,12.2,-3.8
2002/2/26,4.8,13.6,-1.1
2002/2/27,4.7,12.7,-2.1
2002/2/28,4.3,6.3,1.3
2002/3/1,6.6,11.9,2.7
2002/3/2,3.9,12.6,-0.6
2002/3/3,0.6,7.5,-3.4
2002/3/4,2.1,12.3,-4.8
2002/3/5,1.9,6.7,-2.8
2002/3/6,6.8,16.0,2.4
2002/3/7,3.7,8.3,-0.6
2002/3/8,1.3,8.6,-3.0
2002/3/9,5.8,18.0,-4.8
2002/3/10,7.4,17.3,-1.7
2002/3/11,5.2,12.8,0.7
2002/3/12,4.7,15.8,-2.3
2002/3/13,4.0,13.0,-2.2
2002/3/14,8.0,18.2,-2.8
2002/3/15,11.8,19.5,5.3
2002/3/16,7.2,14.6,2.1
2002/3/17,10.7,19.1,1.7
2002/3/18,6.1,14.4,0.0
2002/3/19,7.1,13.9,-0.4
2002/3/20,7.2,15.6,0.5
2002/3/21,11.6,17.4,1.1
2002/3/22,9.1,14.2,3.1
2002/3/23,4.5,10.5,0.3
2002/3/24,2.4,9.5,-2.4
2002/3/25,5.0,13.5,-2.9
2002/3/26,10.1,19.0,0.1
2002/3/27,7.1,11.6,0.6
2002/3/28,5.8,13.8,-2.0
2002/3/29,11.2,16.4,8.1
2002/3/30,9.8,14.7,4.6
2002/3/31,9.6,20.2,1.9
2002/4/1,12.0,22.7,3.2
2002/4/2,14.7,25.0,5.5
2002/4/3,14.4,25.2,5.4
2002/4/4,9.1,15.1,5.3
2002/4/5,8.3,15.6,0.4
2002/4/6,10.2,20.7,0.9
2002/4/7,15.6,21.0,10.5
2002/4/8,19.0,27.0,12.7
2002/4/9,10.5,14.3,6.0
2002/4/10,8.7,16.0,5.3
2002/4/11,10.0,18.5,4.8
2002/4/12,6.4,9.3,2.2
2002/4/13,7.8,14.7,-1.1
2002/4/14,13.0,24.0,1.6
2002/4/15,19.3,26.9,10.7
2002/4/16,17.2,20.3,15.4
2002/4/17,15.9,22.1,7.1
2002/4/18,9.7,18.6,4.4
2002/4/19,11.0,19.6,1.9
2002/4/20,14.6,21.6,7.5
2002/4/21,10.8,12.9,8.5
2002/4/22,13.7,22.4,7.1
2002/4/23,16.6,24.3,10.1
2002/4/24,17.6,23.0,10.6
2002/4/25,10.1,18.4,6.8
2002/4/26,9.7,15.3,6.2
2002/4/27,12.1,18.3,7.7
2002/4/28,12.5,20.3,7.5
2002/4/29,14.3,24.0,4.9
2002/4/30,16.2,19.5,13.1
2002/5/1,14.3,18.5,8.6
