ダウンロードした時刻：2017/07/24 15:38:03

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,2.8,7.0,-0.4
1992/1/2,3.1,8.4,0.0
1992/1/3,3.2,7.7,-1.3
1992/1/4,4.2,6.9,2.5
1992/1/5,5.2,9.2,1.3
1992/1/6,3.4,7.1,0.5
1992/1/7,2.6,5.8,0.6
1992/1/8,6.9,9.7,4.3
1992/1/9,1.8,4.6,0.5
1992/1/10,2.0,4.5,-0.5
1992/1/11,4.6,8.6,1.1
1992/1/12,2.8,9.6,-2.4
1992/1/13,6.2,10.9,2.5
1992/1/14,2.3,5.9,-1.8
1992/1/15,1.4,5.1,-1.4
1992/1/16,2.0,7.1,-1.7
1992/1/17,5.0,9.7,0.8
1992/1/18,3.2,7.0,0.3
1992/1/19,1.1,4.2,-1.1
1992/1/20,1.2,4.1,-1.5
1992/1/21,1.6,6.9,-3.4
1992/1/22,3.0,10.2,-2.5
1992/1/23,0.9,2.6,-0.9
1992/1/24,0.0,2.9,-2.6
1992/1/25,2.0,7.6,-4.2
1992/1/26,3.8,7.7,-0.7
1992/1/27,3.0,10.3,-2.8
1992/1/28,3.7,7.4,1.5
1992/1/29,2.8,5.7,0.6
1992/1/30,2.9,6.4,-0.6
1992/1/31,0.4,2.7,-1.6
1992/2/1,0.1,3.3,-3.3
1992/2/2,1.3,4.5,-2.7
1992/2/3,3.6,9.8,-0.9
1992/2/4,3.7,8.2,0.8
1992/2/5,1.9,3.9,0.4
1992/2/6,1.9,6.5,-1.7
1992/2/7,2.4,8.6,-1.3
1992/2/8,1.1,4.0,-1.3
1992/2/9,1.0,4.6,-1.9
1992/2/10,2.6,10.2,-4.5
1992/2/11,0.5,3.3,-2.0
1992/2/12,2.8,11.5,-4.7
1992/2/13,4.8,9.9,0.4
1992/2/14,2.8,6.6,-1.1
1992/2/15,5.2,12.6,-2.3
1992/2/16,3.0,11.0,-1.9
1992/2/17,1.2,4.7,-1.6
1992/2/18,3.5,10.7,-2.4
1992/2/19,0.5,3.5,-3.1
1992/2/20,0.0,3.7,-2.7
1992/2/21,0.3,4.3,-2.4
1992/2/22,-0.3,3.1,-2.8
1992/2/23,1.7,5.8,-2.7
1992/2/24,1.7,6.6,-4.0
1992/2/25,2.3,4.9,0.7
1992/2/26,2.2,6.1,-0.7
1992/2/27,5.5,12.0,-2.2
1992/2/28,6.6,14.9,0.8
1992/2/29,9.0,16.2,1.9
1992/3/1,9.7,13.4,5.4
1992/3/2,3.3,5.6,1.0
1992/3/3,2.0,5.4,0.2
1992/3/4,3.2,8.0,-0.4
1992/3/5,-0.2,1.0,-1.9
1992/3/6,2.5,4.8,0.3
1992/3/7,2.3,5.0,-1.3
1992/3/8,2.7,11.1,-4.8
1992/3/9,5.2,14.1,-1.8
1992/3/10,6.7,13.4,2.0
1992/3/11,6.5,10.1,2.1
1992/3/12,4.9,11.9,-0.9
1992/3/13,7.8,15.9,1.0
1992/3/14,9.7,16.8,3.6
1992/3/15,10.7,14.0,7.2
1992/3/16,7.2,10.7,2.5
1992/3/17,3.5,7.1,1.3
1992/3/18,0.9,2.7,0.2
1992/3/19,4.4,10.2,1.2
1992/3/20,6.9,11.3,1.2
1992/3/21,0.7,5.3,-0.7
1992/3/22,2.7,5.8,-0.2
1992/3/23,3.5,7.9,0.4
1992/3/24,2.3,3.9,0.3
1992/3/25,6.1,11.4,2.3
1992/3/26,8.5,13.7,4.7
1992/3/27,7.9,13.0,2.5
1992/3/28,8.1,15.2,0.6
1992/3/29,8.2,11.2,5.2
1992/3/30,10.2,13.1,7.8
1992/3/31,12.0,16.6,8.3
1992/4/1,11.0,14.0,7.9
1992/4/2,13.2,17.2,10.9
1992/4/3,13.7,21.0,7.8
1992/4/4,12.7,20.9,4.8
1992/4/5,10.7,11.9,9.7
1992/4/6,13.0,18.1,8.7
1992/4/7,6.0,8.8,3.2
1992/4/8,8.9,16.1,3.2
1992/4/9,11.8,16.3,7.7
1992/4/10,8.6,13.0,3.9
1992/4/11,6.0,9.1,4.1
1992/4/12,7.8,15.1,2.8
1992/4/13,7.5,12.3,2.8
1992/4/14,6.4,11.2,2.3
1992/4/15,8.0,15.0,1.1
1992/4/16,9.6,13.7,7.0
1992/4/17,9.5,13.4,5.0
1992/4/18,12.6,21.5,2.8
1992/4/19,11.8,15.8,7.4
1992/4/20,10.3,18.7,4.6
1992/4/21,13.6,20.5,6.1
1992/4/22,13.2,17.5,9.6
1992/4/23,14.5,19.8,8.9
1992/4/24,15.3,23.1,6.8
1992/4/25,14.3,18.2,11.0
1992/4/26,15.0,23.8,6.2
1992/4/27,18.3,28.5,7.8
1992/4/28,17.9,28.3,8.5
1992/4/29,15.5,19.8,10.9
1992/4/30,7.2,11.1,3.8
1992/5/1,10.4,15.3,3.6
