É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:41:22

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2012/1/1,2.5,9.2,-2.7
2012/1/2,3.8,10.6,-1.8
2012/1/3,2.9,10.4,-4.3
2012/1/4,2.0,8.8,-2.7
2012/1/5,1.9,7.7,-3.3
2012/1/6,0.5,8.2,-6.3
2012/1/7,2.3,9.4,-4.4
2012/1/8,1.9,7.7,-5.1
2012/1/9,4.3,11.7,-0.8
2012/1/10,2.9,9.8,-4.0
2012/1/11,3.2,12.1,-1.9
2012/1/12,0.4,6.2,-4.7
2012/1/13,2.5,10.1,-5.6
2012/1/14,3.9,10.4,-1.7
2012/1/15,2.4,7.9,-3.1
2012/1/16,2.7,4.7,-0.9
2012/1/17,2.5,7.3,-1.2
2012/1/18,1.1,8.3,-4.5
2012/1/19,3.4,10.2,-2.8
2012/1/20,2.7,5.2,0.3
2012/1/21,3.8,5.4,2.6
2012/1/22,4.5,9.2,1.4
2012/1/23,5.0,12.3,1.2
2012/1/24,1.3,5.3,-2.3
2012/1/25,1.0,8.2,-4.1
2012/1/26,0.1,6.5,-4.5
2012/1/27,0.1,6.7,-6.6
2012/1/28,0.4,7.7,-5.3
2012/1/29,0.2,6.9,-5.1
2012/1/30,0.1,7.6,-6.0
2012/1/31,0.5,9.0,-6.3
2012/2/1,0.6,6.8,-5.9
2012/2/2,-0.3,3.3,-4.4
2012/2/3,-1.9,5.8,-9.0
2012/2/4,1.4,10.5,-7.5
2012/2/5,3.4,10.0,-4.4
2012/2/6,3.1,5.2,-0.7
2012/2/7,6.0,9.7,3.0
2012/2/8,5.4,10.0,1.4
2012/2/9,2.6,8.0,-2.6
2012/2/10,3.0,9.5,-4.0
2012/2/11,3.5,10.2,-2.7
2012/2/12,4.2,11.5,-1.6
2012/2/13,3.3,10.2,-2.4
2012/2/14,4.2,6.0,2.9
2012/2/15,5.5,9.4,3.4
2012/2/16,2.6,4.8,1.2
2012/2/17,2.7,9.1,-2.2
2012/2/18,0.9,5.3,-3.2
2012/2/19,-0.1,7.6,-7.0
2012/2/20,2.1,10.2,-5.3
2012/2/21,4.5,14.1,-3.6
2012/2/22,6.9,13.3,-0.2
2012/2/23,7.4,12.4,4.5
2012/2/24,10.0,15.8,2.8
2012/2/25,8.0,10.9,5.7
2012/2/26,4.8,9.0,1.9
2012/2/27,3.2,10.2,-0.7
2012/2/28,3.0,8.7,-2.4
2012/2/29,2.8,7.1,0.2
2012/3/1,6.6,13.2,0.0
2012/3/2,6.1,7.1,4.1
2012/3/3,8.9,14.9,6.1
2012/3/4,6.3,10.8,5.0
2012/3/5,5.7,7.1,4.4
2012/3/6,12.3,23.1,6.4
2012/3/7,11.7,16.8,6.7
2012/3/8,11.2,16.8,7.5
2012/3/9,7.6,9.2,5.5
2012/3/10,6.2,8.8,4.0
2012/3/11,7.3,12.6,3.8
2012/3/12,5.1,11.1,-0.6
2012/3/13,4.6,10.7,-0.5
2012/3/14,5.4,11.9,0.2
2012/3/15,5.6,13.6,-0.8
2012/3/16,5.7,12.6,-2.1
2012/3/17,7.7,9.4,5.6
2012/3/18,8.9,10.9,6.7
2012/3/19,9.9,15.8,4.8
2012/3/20,8.1,15.1,1.6
2012/3/21,7.3,13.0,2.9
2012/3/22,8.9,18.1,-0.6
2012/3/23,7.3,9.9,6.0
2012/3/24,9.5,18.3,4.1
2012/3/25,6.0,12.7,1.8
2012/3/26,4.9,10.6,-1.1
2012/3/27,6.7,16.0,-2.1
2012/3/28,7.6,15.9,0.4
2012/3/29,9.8,19.4,0.8
2012/3/30,11.6,20.4,3.7
2012/3/31,12.1,16.6,6.1
2012/4/1,8.1,15.8,0.5
2012/4/2,8.6,17.2,0.7
2012/4/3,10.3,16.7,4.0
2012/4/4,9.3,13.9,4.7
2012/4/5,10.6,18.4,2.8
2012/4/6,8.4,14.2,2.8
2012/4/7,7.0,13.4,1.0
2012/4/8,7.8,15.5,0.3
2012/4/9,12.6,22.6,2.8
2012/4/10,14.5,23.7,5.7
2012/4/11,12.4,17.5,10.4
2012/4/12,16.6,25.4,9.2
2012/4/13,16.2,25.8,9.2
2012/4/14,11.2,12.8,7.3
2012/4/15,11.9,19.9,5.3
2012/4/16,13.3,17.7,10.3
2012/4/17,14.4,21.1,10.7
2012/4/18,14.6,23.0,7.3
2012/4/19,15.4,21.9,11.6
2012/4/20,14.4,17.4,12.7
2012/4/21,15.3,22.1,11.9
2012/4/22,12.0,15.3,10.2
2012/4/23,13.9,17.4,10.6
2012/4/24,18.1,28.7,10.6
2012/4/25,18.9,26.2,13.4
2012/4/26,16.7,19.4,14.8
2012/4/27,19.0,25.4,14.7
2012/4/28,21.0,29.9,14.7
2012/4/29,21.5,30.1,16.3
2012/4/30,19.0,23.1,15.8
2012/5/1,19.1,24.1,16.2
