ダウンロードした時刻：2017/07/24 15:37:59

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2015/1/1,0.3,3.2,-2.1
2015/1/2,-0.3,3.0,-3.3
2015/1/3,0.9,3.1,-2.5
2015/1/4,2.3,4.8,0.6
2015/1/5,4.2,9.5,0.8
2015/1/6,4.8,10.3,1.3
2015/1/7,0.5,3.2,-0.7
2015/1/8,3.1,5.7,0.6
2015/1/9,2.6,5.3,-0.7
2015/1/10,1.9,5.1,-0.5
2015/1/11,2.5,6.1,0.4
2015/1/12,2.6,5.8,-1.2
2015/1/13,4.6,7.6,1.8
2015/1/14,5.6,8.7,2.2
2015/1/15,3.6,6.2,1.5
2015/1/16,4.4,7.4,1.4
2015/1/17,1.8,7.4,-3.3
2015/1/18,1.0,4.2,-3.4
2015/1/19,2.4,7.7,-1.5
2015/1/20,1.7,4.1,-0.7
2015/1/21,1.6,4.5,-2.4
2015/1/22,2.7,4.4,0.7
2015/1/23,4.5,8.3,1.8
2015/1/24,2.8,6.6,0.1
2015/1/25,3.4,7.0,0.6
2015/1/26,4.7,5.2,4.1
2015/1/27,5.4,11.8,2.1
2015/1/28,0.4,4.0,-2.0
2015/1/29,1.1,5.8,-3.4
2015/1/30,0.1,1.2,-0.9
2015/1/31,3.0,7.2,-0.4
2015/2/1,1.0,3.0,-0.6
2015/2/2,0.8,3.7,-1.5
2015/2/3,2.2,4.0,0.1
2015/2/4,1.9,4.6,-0.6
2015/2/5,1.3,4.1,-1.7
2015/2/6,3.0,6.9,-0.6
2015/2/7,3.3,7.3,-1.4
2015/2/8,3.5,6.3,1.4
2015/2/9,-1.5,3.3,-3.5
2015/2/10,-0.4,4.0,-4.3
2015/2/11,2.9,7.2,-0.6
2015/2/12,4.5,9.1,0.4
2015/2/13,2.2,4.6,-0.4
2015/2/14,0.7,3.7,-2.3
2015/2/15,1.4,3.9,-1.2
2015/2/16,4.6,8.2,2.5
2015/2/17,2.6,5.3,-0.5
2015/2/18,1.6,2.8,0.8
2015/2/19,2.9,5.6,0.6
2015/2/20,3.3,7.5,0.4
2015/2/21,3.4,7.5,0.0
2015/2/22,5.7,8.8,2.0
2015/2/23,9.1,13.8,5.8
2015/2/24,7.1,12.2,3.6
2015/2/25,4.5,9.3,0.5
2015/2/26,2.8,5.1,-0.1
2015/2/27,4.1,7.4,1.3
2015/2/28,4.7,9.2,0.9
2015/3/1,3.5,6.0,0.5
2015/3/2,4.9,6.9,2.8
2015/3/3,3.8,6.3,-0.2
2015/3/4,6.2,13.6,1.0
2015/3/5,6.3,10.6,3.0
2015/3/6,4.6,9.1,0.7
2015/3/7,5.0,8.2,1.8
2015/3/8,6.1,9.3,3.6
2015/3/9,7.0,8.4,6.1
2015/3/10,5.0,8.9,-1.6
2015/3/11,1.4,5.7,-1.3
2015/3/12,2.6,6.7,0.1
2015/3/13,2.9,6.1,0.2
2015/3/14,4.0,8.7,0.6
2015/3/15,5.3,10.2,-0.7
2015/3/16,7.9,13.7,2.4
2015/3/17,9.1,15.7,5.3
2015/3/18,9.6,17.1,7.3
2015/3/19,9.0,11.2,6.4
2015/3/20,8.6,12.5,5.7
2015/3/21,7.8,12.9,1.9
2015/3/22,9.1,14.4,3.8
2015/3/23,4.3,8.3,0.7
2015/3/24,3.8,7.7,0.2
2015/3/25,5.7,9.3,2.5
2015/3/26,7.2,12.2,1.5
2015/3/27,10.8,18.7,2.1
2015/3/28,11.7,19.2,4.9
2015/3/29,12.9,19.7,6.5
2015/3/30,12.5,18.9,7.8
2015/3/31,10.9,16.2,7.1
2015/4/1,9.2,13.7,4.9
2015/4/2,8.2,13.3,3.6
2015/4/3,13.2,20.5,5.6
2015/4/4,9.6,15.3,6.9
2015/4/5,8.9,10.6,6.5
2015/4/6,12.2,20.3,8.1
2015/4/7,7.3,10.5,3.6
2015/4/8,4.1,7.2,2.7
2015/4/9,5.5,9.9,1.3
2015/4/10,7.3,9.2,3.7
2015/4/11,10.1,13.2,7.3
2015/4/12,9.2,13.7,4.0
2015/4/13,9.1,11.2,7.7
2015/4/14,10.9,14.9,7.9
2015/4/15,12.8,18.5,9.8
2015/4/16,13.6,20.2,7.3
2015/4/17,11.9,18.4,8.3
2015/4/18,13.2,20.6,5.8
2015/4/19,12.7,19.0,7.2
2015/4/20,10.4,12.2,9.0
2015/4/21,13.6,17.8,8.3
2015/4/22,11.9,17.6,4.7
2015/4/23,13.5,21.7,9.2
2015/4/24,14.7,20.1,8.6
2015/4/25,15.4,21.3,10.4
2015/4/26,14.2,19.9,7.6
2015/4/27,17.5,25.2,9.5
2015/4/28,19.9,26.9,13.0
2015/4/29,16.2,22.1,12.8
2015/4/30,16.1,22.1,12.1
2015/5/1,17.4,23.8,10.6
