ダウンロードした時刻：2017/07/24 15:40:10

,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,3.6,9.2,-1.1
2002/1/2,2.3,7.0,-2.0
2002/1/3,0.5,6.8,-4.2
2002/1/4,3.2,9.7,-2.6
2002/1/5,3.4,8.9,-0.5
2002/1/6,2.4,7.9,-1.1
2002/1/7,1.9,6.6,-2.4
2002/1/8,4.5,11.4,0.2
2002/1/9,4.3,9.9,-1.8
2002/1/10,6.4,14.8,-0.7
2002/1/11,7.4,13.9,2.7
2002/1/12,8.8,16.4,2.2
2002/1/13,7.9,12.6,3.8
2002/1/14,6.3,10.9,1.1
2002/1/15,9.6,16.8,2.7
2002/1/16,9.5,11.9,7.1
2002/1/17,6.1,9.9,2.4
2002/1/18,4.2,9.8,-1.0
2002/1/19,3.4,9.7,-0.9
2002/1/20,3.8,7.4,-0.5
2002/1/21,5.7,9.3,2.4
2002/1/22,7.4,13.7,0.6
2002/1/23,3.9,10.8,-0.8
2002/1/24,4.1,11.7,-1.1
2002/1/25,3.4,9.1,-0.8
2002/1/26,1.8,5.9,-2.0
2002/1/27,3.7,9.1,0.1
2002/1/28,4.7,8.5,1.1
2002/1/29,2.3,7.3,-1.0
2002/1/30,2.9,8.5,-3.2
2002/1/31,2.5,7.6,-1.1
2002/2/1,2.4,9.2,-3.6
2002/2/2,5.1,11.3,-0.9
2002/2/3,4.3,6.0,3.1
2002/2/4,6.2,11.4,2.2
2002/2/5,5.8,7.6,4.0
2002/2/6,7.0,13.0,2.0
2002/2/7,6.9,14.0,2.9
2002/2/8,7.8,13.3,3.8
2002/2/9,4.0,8.8,0.2
2002/2/10,1.6,5.7,-1.0
2002/2/11,1.6,7.0,-2.7
2002/2/12,2.4,8.1,-2.3
2002/2/13,2.6,9.0,-1.5
2002/2/14,2.0,8.6,-2.9
2002/2/15,2.7,8.3,-2.6
2002/2/16,4.3,11.9,-3.1
2002/2/17,5.1,8.9,0.7
2002/2/18,4.1,9.2,0.1
2002/2/19,3.6,8.3,-1.7
2002/2/20,6.0,11.5,0.2
2002/2/21,9.4,16.1,1.5
2002/2/22,9.9,18.1,4.3
2002/2/23,7.4,11.4,4.5
2002/2/24,6.0,11.6,1.0
2002/2/25,5.1,11.2,-0.5
2002/2/26,8.2,13.3,2.6
2002/2/27,9.6,12.6,6.9
2002/2/28,8.9,11.1,6.6
2002/3/1,11.5,17.3,7.0
2002/3/2,8.9,14.7,3.7
2002/3/3,5.3,11.4,1.6
2002/3/4,6.4,14.7,-0.9
2002/3/5,5.7,9.5,2.2
2002/3/6,10.6,18.2,4.6
2002/3/7,7.0,13.8,2.4
2002/3/8,5.6,11.4,1.0
2002/3/9,7.0,14.5,-0.1
2002/3/10,11.1,18.9,2.1
2002/3/11,9.7,15.1,5.7
2002/3/12,9.7,18.4,2.5
2002/3/13,8.7,14.9,3.1
2002/3/14,10.7,17.8,2.7
2002/3/15,14.2,24.0,9.2
2002/3/16,12.6,18.9,8.6
2002/3/17,13.3,23.9,6.0
2002/3/18,11.2,18.9,5.5
2002/3/19,11.8,18.6,4.2
2002/3/20,11.0,17.3,6.3
2002/3/21,11.8,18.8,4.3
2002/3/22,12.1,17.7,6.5
2002/3/23,7.4,12.7,4.0
2002/3/24,6.7,12.5,2.4
2002/3/25,7.7,14.2,0.4
2002/3/26,8.3,11.2,4.3
2002/3/27,8.7,12.1,5.1
2002/3/28,9.4,16.9,3.7
2002/3/29,8.8,12.3,5.2
2002/3/30,13.7,19.1,9.3
2002/3/31,10.8,14.2,8.4
2002/4/1,14.0,21.5,5.9
2002/4/2,18.8,27.4,9.9
2002/4/3,16.5,23.5,9.8
2002/4/4,12.5,17.4,9.1
2002/4/5,12.3,18.2,8.5
2002/4/6,12.1,19.6,5.7
2002/4/7,12.6,18.7,6.9
2002/4/8,18.0,25.2,9.9
2002/4/9,15.3,18.7,11.2
2002/4/10,10.7,12.7,9.4
2002/4/11,13.1,18.3,9.0
2002/4/12,11.6,18.0,6.6
2002/4/13,10.0,16.1,4.5
2002/4/14,13.3,20.0,6.0
2002/4/15,18.4,25.9,11.6
2002/4/16,19.5,24.5,15.5
2002/4/17,16.9,23.2,11.9
2002/4/18,13.6,19.8,10.1
2002/4/19,14.8,21.4,8.3
2002/4/20,15.9,19.3,12.0
2002/4/21,13.8,15.9,12.2
2002/4/22,15.9,20.7,11.8
2002/4/23,15.7,21.3,12.4
2002/4/24,17.2,22.9,12.4
2002/4/25,14.9,17.7,10.5
2002/4/26,11.0,12.9,9.7
2002/4/27,12.7,18.5,9.3
2002/4/28,12.7,19.1,7.7
2002/4/29,14.8,22.4,5.9
2002/4/30,15.8,19.8,12.2
2002/5/1,19.2,26.5,14.5
