ダウンロードした時刻：2017/07/24 15:37:26

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,4.2,9.5,-4.4
1988/1/2,5.3,8.0,1.3
1988/1/3,0.2,4.9,-3.1
1988/1/4,1.9,7.4,-4.3
1988/1/5,-0.4,2.1,-2.4
1988/1/6,-0.5,5.5,-5.8
1988/1/7,2.2,7.2,-5.4
1988/1/8,6.5,10.6,1.6
1988/1/9,0.1,4.1,-3.8
1988/1/10,-2.6,1.2,-5.1
1988/1/11,-0.8,2.3,-4.4
1988/1/12,1.8,7.3,-2.2
1988/1/13,5.1,11.2,-1.1
1988/1/14,6.8,10.6,0.2
1988/1/15,6.9,11.1,0.2
1988/1/16,1.4,6.2,-3.1
1988/1/17,0.6,4.9,-2.7
1988/1/18,-1.7,3.7,-6.0
1988/1/19,-0.2,5.9,-5.2
1988/1/20,3.2,11.4,-5.1
1988/1/21,6.3,10.9,-1.3
1988/1/22,10.4,14.9,6.0
1988/1/23,4.4,11.7,-1.6
1988/1/24,-2.1,0.7,-4.0
1988/1/25,-1.9,2.4,-6.7
1988/1/26,-1.6,2.3,-4.8
1988/1/27,-0.7,4.2,-4.1
1988/1/28,-1.9,2.9,-6.0
1988/1/29,-0.3,3.7,-2.7
1988/1/30,-1.4,2.3,-4.9
1988/1/31,-1.7,5.0,-7.7
1988/2/1,-2.3,3.7,-6.7
1988/2/2,2.6,11.1,-5.6
1988/2/3,-5.0,-1.5,-6.8
1988/2/4,-1.6,2.2,-6.3
1988/2/5,0.8,4.9,-1.8
1988/2/6,1.5,5.2,-0.7
1988/2/7,-2.8,0.4,-6.1
1988/2/8,-2.0,3.6,-8.3
1988/2/9,-1.2,4.6,-5.7
1988/2/10,-1.9,4.6,-6.1
1988/2/11,-1.2,2.6,-5.8
1988/2/12,-0.7,4.4,-4.7
1988/2/13,-0.1,5.1,-4.0
1988/2/14,-2.7,0.8,-5.9
1988/2/15,-3.4,3.1,-7.5
1988/2/16,-4.5,1.1,-10.9
1988/2/17,-3.1,1.7,-7.7
1988/2/18,-3.9,2.3,-10.6
1988/2/19,-3.0,1.5,-10.1
1988/2/20,-0.7,4.7,-5.5
1988/2/21,-2.5,2.2,-7.1
1988/2/22,-0.4,4.9,-6.8
1988/2/23,3.2,9.8,-1.0
1988/2/24,0.3,5.6,-3.9
1988/2/25,-0.6,5.9,-5.2
1988/2/26,0.1,5.9,-5.7
1988/2/27,-0.6,5.3,-5.4
1988/2/28,-0.5,4.7,-5.6
1988/2/29,0.4,6.0,-4.2
1988/3/1,1.4,5.9,-0.9
1988/3/2,0.8,1.4,0.4
1988/3/3,1.3,6.8,-1.5
1988/3/4,0.9,5.8,-2.7
1988/3/5,2.1,8.1,-3.5
1988/3/6,-0.7,3.8,-3.5
1988/3/7,0.0,5.3,-4.3
1988/3/8,0.4,4.6,-2.6
1988/3/9,-1.4,3.1,-5.4
1988/3/10,1.5,8.4,-5.7
1988/3/11,5.9,13.0,-2.9
1988/3/12,8.4,16.5,3.0
1988/3/13,8.0,12.6,4.6
1988/3/14,9.2,15.6,3.3
1988/3/15,2.1,7.5,-4.6
1988/3/16,0.7,6.0,-5.4
1988/3/17,2.9,9.2,-1.8
1988/3/18,3.3,7.0,-0.6
1988/3/19,5.0,11.3,-0.3
1988/3/20,3.3,7.8,0.0
1988/3/21,1.9,6.3,-2.3
1988/3/22,4.1,5.7,0.4
1988/3/23,4.4,7.5,2.1
1988/3/24,2.6,6.5,-0.4
1988/3/25,2.1,7.6,-3.7
1988/3/26,2.5,7.9,-2.8
1988/3/27,3.0,6.5,-0.4
1988/3/28,3.0,9.4,-3.0
1988/3/29,4.4,9.7,0.0
1988/3/30,3.1,7.5,1.3
1988/3/31,1.8,6.1,-0.1
1988/4/1,1.7,6.8,-3.0
1988/4/2,5.3,12.4,-2.4
1988/4/3,7.1,12.4,2.0
1988/4/4,5.2,10.7,1.6
1988/4/5,6.4,11.4,0.0
1988/4/6,7.8,14.6,2.8
1988/4/7,4.8,9.3,2.7
1988/4/8,2.1,3.2,-0.1
1988/4/9,4.6,10.7,-2.1
1988/4/10,6.5,13.3,-0.8
1988/4/11,11.8,17.3,4.6
1988/4/12,14.2,19.4,5.9
1988/4/13,13.6,18.3,7.3
1988/4/14,12.2,20.0,3.9
1988/4/15,7.9,12.7,4.5
1988/4/16,6.9,13.5,2.8
1988/4/17,8.8,16.6,1.3
1988/4/18,12.7,19.7,4.8
1988/4/19,11.6,14.3,8.6
1988/4/20,12.9,19.6,7.3
1988/4/21,6.1,11.3,4.0
1988/4/22,6.6,10.4,4.6
1988/4/23,7.9,14.8,4.7
1988/4/24,5.6,14.2,1.8
1988/4/25,6.7,11.1,-0.3
1988/4/26,13.3,20.5,5.1
1988/4/27,13.9,23.3,8.5
1988/4/28,18.6,26.9,9.0
1988/4/29,15.7,21.7,10.7
1988/4/30,16.5,23.2,11.2
1988/5/1,19.4,28.2,9.6
