ダウンロードした時刻：2017/07/24 15:37:22

,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,1.1,4.4,-1.1
2009/1/2,1.2,6.2,-2.0
2009/1/3,0.7,6.8,-4.3
2009/1/4,2.5,4.7,1.1
2009/1/5,-0.2,3.3,-3.2
2009/1/6,-0.6,2.1,-3.3
2009/1/7,-1.0,3.9,-4.4
2009/1/8,-2.3,3.2,-6.5
2009/1/9,-1.0,5.4,-7.1
2009/1/10,0.6,2.9,-2.5
2009/1/11,-2.5,1.3,-7.1
2009/1/12,-3.2,1.3,-8.1
2009/1/13,-2.2,2.9,-7.0
2009/1/14,-1.0,4.2,-5.8
2009/1/15,-4.3,-0.1,-7.2
2009/1/16,-2.2,1.0,-4.5
2009/1/17,-1.6,2.1,-5.1
2009/1/18,0.2,3.0,-4.3
2009/1/19,3.0,6.5,-1.3
2009/1/20,0.1,3.0,-2.3
2009/1/21,-0.1,2.6,-3.4
2009/1/22,1.2,2.9,-0.5
2009/1/23,4.5,7.9,1.8
2009/1/24,-2.2,1.8,-4.8
2009/1/25,-1.1,1.7,-4.7
2009/1/26,0.5,2.7,-1.5
2009/1/27,-0.6,3.4,-6.0
2009/1/28,-3.4,2.8,-9.6
2009/1/29,0.9,8.4,-3.8
2009/1/30,1.4,6.9,-2.6
2009/1/31,-0.4,0.6,-2.0
2009/2/1,-1.8,1.0,-3.8
2009/2/2,-1.2,2.5,-7.1
2009/2/3,-0.8,3.5,-5.2
2009/2/4,-2.8,3.0,-8.2
2009/2/5,-1.0,4.8,-8.1
2009/2/6,0.3,3.7,-4.6
2009/2/7,-1.0,4.0,-6.5
2009/2/8,-0.7,1.9,-1.7
2009/2/9,1.8,5.4,-3.5
2009/2/10,2.6,7.9,-0.7
2009/2/11,0.6,5.6,-4.9
2009/2/12,2.7,7.2,-0.7
2009/2/13,1.3,3.6,-1.2
2009/2/14,5.4,9.6,3.2
2009/2/15,2.3,8.1,-1.2
2009/2/16,-4.1,-1.0,-6.1
2009/2/17,-3.0,3.0,-8.5
2009/2/18,-3.9,0.2,-7.2
2009/2/19,-3.2,0.0,-6.7
2009/2/20,-1.4,4.0,-4.4
2009/2/21,-2.8,0.0,-4.7
2009/2/22,-0.6,3.8,-4.9
2009/2/23,0.4,4.0,-4.4
2009/2/24,-2.5,1.9,-8.1
2009/2/25,2.1,5.8,-0.2
2009/2/26,-0.2,3.4,-4.7
2009/2/27,-1.0,4.2,-5.5
2009/2/28,-0.3,6.7,-6.6
2009/3/1,-1.0,4.4,-8.1
2009/3/2,-1.4,1.9,-3.5
2009/3/3,-1.5,2.6,-7.3
2009/3/4,1.7,7.6,-2.7
2009/3/5,2.3,8.7,-3.5
2009/3/6,2.8,7.1,-1.3
2009/3/7,1.3,5.2,-1.5
2009/3/8,3.3,7.9,-3.1
2009/3/9,4.0,10.9,-3.3
2009/3/10,3.6,11.2,-2.0
2009/3/11,-1.9,1.5,-3.9
2009/3/12,0.3,5.8,-3.1
2009/3/13,2.5,7.8,-3.6
2009/3/14,3.8,8.7,-1.4
2009/3/15,2.6,6.9,-1.1
2009/3/16,4.6,8.4,2.1
2009/3/17,5.0,9.9,-0.4
2009/3/18,8.3,15.9,-1.2
2009/3/19,12.8,15.0,9.8
2009/3/20,6.7,13.5,0.2
2009/3/21,3.5,8.9,-0.4
2009/3/22,5.8,10.3,-1.0
2009/3/23,3.3,9.9,-1.2
2009/3/24,0.8,6.1,-2.9
2009/3/25,-0.7,2.1,-3.7
2009/3/26,0.1,3.4,-2.2
2009/3/27,-0.1,3.7,-2.5
2009/3/28,-0.4,3.8,-4.1
2009/3/29,0.7,7.6,-6.5
2009/3/30,2.5,9.5,-2.8
2009/3/31,3.0,8.2,-1.5
2009/4/1,3.1,8.9,-3.0
2009/4/2,4.9,9.8,0.6
2009/4/3,7.4,12.8,-0.2
2009/4/4,7.8,14.6,0.1
2009/4/5,8.1,12.1,2.7
2009/4/6,7.5,16.0,-0.1
2009/4/7,7.5,14.3,1.6
2009/4/8,8.6,17.1,-1.9
2009/4/9,11.3,19.0,3.4
2009/4/10,12.3,20.5,3.7
2009/4/11,12.0,20.8,5.4
2009/4/12,11.7,17.9,5.6
2009/4/13,14.1,21.3,8.8
2009/4/14,12.4,19.5,7.0
2009/4/15,9.4,15.3,5.8
2009/4/16,7.4,11.6,2.5
2009/4/17,7.3,12.9,2.3
2009/4/18,11.1,18.9,4.9
2009/4/19,11.7,18.6,5.6
2009/4/20,10.7,16.3,5.8
2009/4/21,10.7,12.8,8.7
2009/4/22,12.6,15.9,7.9
2009/4/23,7.4,10.7,4.2
2009/4/24,8.5,13.8,3.6
2009/4/25,7.2,8.5,6.0
2009/4/26,5.5,10.2,2.4
2009/4/27,6.2,9.7,2.8
2009/4/28,7.5,13.6,2.5
2009/4/29,8.4,17.4,-0.5
2009/4/30,11.9,20.4,2.9
2009/5/1,13.0,21.9,4.1
