ダウンロードした時刻：2017/07/24 15:36:18

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,-4.0,-0.3,-7.3
1987/1/2,-6.3,-5.1,-7.9
1987/1/3,-0.5,3.2,-6.1
1987/1/4,-5.3,-0.1,-7.3
1987/1/5,-5.8,-4.4,-7.1
1987/1/6,-4.1,-1.8,-6.2
1987/1/7,-3.2,-1.4,-5.1
1987/1/8,0.3,3.7,-2.6
1987/1/9,-5.5,-2.2,-7.0
1987/1/10,-5.3,-3.4,-6.9
1987/1/11,-4.9,-3.2,-8.4
1987/1/12,-4.7,-3.6,-5.4
1987/1/13,-2.9,-1.0,-4.6
1987/1/14,-4.0,-2.5,-6.5
1987/1/15,-4.5,-2.0,-8.3
1987/1/16,0.0,1.7,-2.4
1987/1/17,2.3,5.6,-1.2
1987/1/18,-2.4,-0.8,-4.0
1987/1/19,-5.5,-3.5,-7.0
1987/1/20,-6.5,-5.3,-7.4
1987/1/21,-5.1,-3.3,-7.6
1987/1/22,-1.6,0.1,-3.9
1987/1/23,2.4,4.4,-2.3
1987/1/24,-0.9,1.4,-3.8
1987/1/25,-4.8,-2.7,-6.9
1987/1/26,-5.0,-3.6,-6.3
1987/1/27,-2.2,-0.2,-4.9
1987/1/28,0.5,1.2,-0.3
1987/1/29,1.4,3.4,-0.2
1987/1/30,-1.8,2.7,-5.3
1987/1/31,-5.7,-3.8,-7.2
1987/2/1,-6.0,-4.9,-7.4
1987/2/2,-4.2,-1.3,-7.5
1987/2/3,-2.8,-1.3,-5.1
1987/2/4,-3.4,-1.7,-4.6
1987/2/5,-1.8,0.6,-3.9
1987/2/6,-1.0,0.5,-2.5
1987/2/7,0.5,3.1,-3.4
1987/2/8,-0.3,1.5,-1.6
1987/2/9,1.1,3.4,-3.4
1987/2/10,2.2,5.4,0.6
1987/2/11,2.8,4.0,1.7
1987/2/12,-3.4,3.2,-6.5
1987/2/13,-5.6,-4.5,-6.5
1987/2/14,-6.7,-3.1,-8.7
1987/2/15,-8.1,-7.0,-9.4
1987/2/16,-7.6,-6.2,-9.0
1987/2/17,-4.2,-2.4,-6.3
1987/2/18,-4.3,-1.6,-6.2
1987/2/19,-4.5,-2.8,-6.2
1987/2/20,-4.8,-2.9,-7.0
1987/2/21,-2.4,-0.9,-5.3
1987/2/22,0.5,3.1,-2.6
1987/2/23,1.2,3.9,-1.0
1987/2/24,0.7,2.3,-1.2
1987/2/25,-0.7,1.3,-2.9
1987/2/26,-3.8,-1.9,-5.0
1987/2/27,-3.0,-2.0,-3.6
1987/2/28,-2.4,0.4,-5.1
1987/3/1,-1.0,0.7,-3.4
1987/3/2,-1.3,1.1,-3.3
1987/3/3,-0.6,1.0,-2.1
1987/3/4,-1.2,0.4,-3.2
1987/3/5,0.1,4.2,-3.0
1987/3/6,-5.0,-2.9,-6.2
1987/3/7,-1.9,0.8,-3.3
1987/3/8,-0.9,1.5,-3.6
1987/3/9,-0.9,1.9,-2.3
1987/3/10,-1.1,0.9,-3.0
1987/3/11,-0.9,1.8,-2.6
1987/3/12,0.3,3.4,-2.0
1987/3/13,1.2,4.1,-2.1
1987/3/14,2.3,4.2,-0.4
1987/3/15,-2.6,-0.2,-4.6
1987/3/16,-1.7,0.8,-3.4
1987/3/17,1.4,4.1,-0.5
1987/3/18,1.5,4.8,-0.3
1987/3/19,2.4,6.1,-1.0
1987/3/20,1.6,4.1,0.4
1987/3/21,1.9,5.5,0.2
1987/3/22,2.9,6.1,0.8
1987/3/23,2.3,3.4,1.3
1987/3/24,3.1,4.7,2.2
1987/3/25,1.8,5.4,-0.3
1987/3/26,-1.3,0.5,-2.6
1987/3/27,0.2,3.0,-2.2
1987/3/28,2.9,5.9,-0.1
1987/3/29,5.6,9.3,2.6
1987/3/30,1.9,4.4,-0.8
1987/3/31,-2.2,-0.1,-3.9
1987/4/1,1.9,4.2,-2.4
1987/4/2,4.2,8.0,2.4
1987/4/3,4.6,8.7,1.4
1987/4/4,4.2,8.3,1.5
1987/4/5,5.3,9.7,1.8
1987/4/6,5.5,9.5,1.5
1987/4/7,2.9,4.6,0.9
1987/4/8,4.7,10.1,1.6
1987/4/9,6.4,10.8,3.7
1987/4/10,4.6,7.7,3.1
1987/4/11,1.1,3.6,0.0
1987/4/12,-0.1,1.9,-1.4
1987/4/13,1.0,3.5,-1.7
1987/4/14,3.8,7.2,0.0
1987/4/15,5.2,9.7,1.9
1987/4/16,7.9,13.4,0.9
1987/4/17,7.3,14.1,2.4
1987/4/18,8.3,13.4,3.8
1987/4/19,6.6,15.2,1.0
1987/4/20,6.6,9.5,2.8
1987/4/21,7.0,11.5,4.1
1987/4/22,6.6,10.2,2.8
1987/4/23,6.1,11.2,1.5
1987/4/24,3.6,6.0,1.7
1987/4/25,2.3,4.0,1.3
1987/4/26,2.3,5.6,0.9
1987/4/27,5.8,10.3,0.9
1987/4/28,7.6,12.4,4.1
1987/4/29,6.6,10.1,2.8
1987/4/30,12.1,19.0,3.3
1987/5/1,14.8,19.2,11.5
