ダウンロードした時刻：2017/07/24 15:37:32

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/1/1,2.8,7.5,-0.9
1982/1/2,0.9,2.9,-0.3
1982/1/3,0.3,3.9,-3.0
1982/1/4,4.3,9.3,-1.6
1982/1/5,5.6,7.4,3.5
1982/1/6,0.9,3.6,-0.3
1982/1/7,-0.4,1.9,-2.7
1982/1/8,-2.1,0.2,-6.0
1982/1/9,1.0,2.1,-6.2
1982/1/10,2.5,3.8,0.7
1982/1/11,1.4,4.7,-3.1
1982/1/12,3.5,9.0,0.3
1982/1/13,-0.3,1.7,-1.9
1982/1/14,-1.4,0.8,-3.1
1982/1/15,-0.8,1.6,-2.1
1982/1/16,-2.7,-0.4,-8.2
1982/1/17,-1.1,1.3,-3.5
1982/1/18,-0.7,2.8,-5.4
1982/1/19,-0.1,2.7,-4.5
1982/1/20,-0.2,2.9,-4.7
1982/1/21,5.2,6.9,2.4
1982/1/22,3.0,5.6,0.6
1982/1/23,1.1,3.5,-1.3
1982/1/24,2.6,5.8,-1.3
1982/1/25,1.5,4.6,-0.4
1982/1/26,1.5,3.7,-0.8
1982/1/27,0.9,3.9,-3.2
1982/1/28,1.4,2.9,-0.1
1982/1/29,0.0,1.4,-1.9
1982/1/30,-1.5,0.1,-3.8
1982/1/31,0.4,3.2,-1.6
1982/2/1,-1.0,0.7,-3.7
1982/2/2,-0.9,1.9,-3.1
1982/2/3,2.4,5.4,0.2
1982/2/4,-0.5,2.2,-2.2
1982/2/5,-2.3,-1.1,-3.6
1982/2/6,-1.9,-0.6,-3.5
1982/2/7,-3.4,-0.8,-5.0
1982/2/8,-3.3,-2.0,-4.9
1982/2/9,-2.4,0.0,-4.6
1982/2/10,-0.9,0.4,-5.1
1982/2/11,1.4,3.1,-1.9
1982/2/12,1.3,3.9,-5.0
1982/2/13,-1.9,0.8,-7.6
1982/2/14,0.8,3.2,-1.5
1982/2/15,0.2,2.1,-2.0
1982/2/16,0.3,4.0,-5.1
1982/2/17,-1.9,3.3,-9.3
1982/2/18,2.1,4.6,-3.2
1982/2/19,1.9,5.4,-3.2
1982/2/20,4.3,6.8,2.0
1982/2/21,4.2,6.5,0.4
1982/2/22,2.8,4.9,-0.1
1982/2/23,2.1,3.8,-0.3
1982/2/24,1.3,3.9,-2.1
1982/2/25,-0.3,1.8,-2.7
1982/2/26,-1.0,0.5,-3.1
1982/2/27,3.0,6.7,-0.1
1982/2/28,4.3,10.4,0.9
1982/3/1,2.4,4.9,0.3
1982/3/2,2.0,5.0,-0.1
1982/3/3,3.2,5.0,0.6
1982/3/4,5.8,9.0,1.8
1982/3/5,5.9,10.6,3.4
1982/3/6,2.4,5.9,-1.4
1982/3/7,-0.3,2.0,-1.6
1982/3/8,0.6,2.0,-1.2
1982/3/9,2.4,5.4,-0.7
1982/3/10,4.9,10.8,-3.5
1982/3/11,5.0,11.0,0.0
1982/3/12,6.7,13.8,-0.4
1982/3/13,5.1,10.1,1.5
1982/3/14,3.9,9.9,-2.2
1982/3/15,8.1,11.4,2.1
1982/3/16,8.2,11.8,4.2
1982/3/17,4.3,6.3,2.5
1982/3/18,3.1,6.3,0.3
1982/3/19,4.5,8.6,0.2
1982/3/20,4.8,7.8,-0.4
1982/3/21,6.6,8.1,4.3
1982/3/22,5.5,10.4,0.2
1982/3/23,8.2,14.1,-0.5
1982/3/24,3.9,9.1,-0.6
1982/3/25,2.2,4.6,-1.0
1982/3/26,1.9,3.8,-1.1
1982/3/27,3.1,5.6,0.2
1982/3/28,5.1,7.5,2.9
1982/3/29,4.6,9.7,-1.1
1982/3/30,8.9,17.9,-0.7
1982/3/31,8.2,9.9,5.7
1982/4/1,6.0,9.6,0.6
1982/4/2,8.4,15.4,-0.2
1982/4/3,6.0,9.1,4.2
1982/4/4,6.1,7.7,4.2
1982/4/5,7.1,11.4,0.8
1982/4/6,7.9,15.6,-0.9
1982/4/7,12.2,19.2,2.0
1982/4/8,10.2,13.0,5.9
1982/4/9,10.8,15.2,5.7
1982/4/10,5.4,10.2,4.2
1982/4/11,7.1,10.5,4.1
1982/4/12,7.8,13.6,0.8
1982/4/13,12.7,19.6,6.3
1982/4/14,13.7,18.7,9.2
1982/4/15,12.2,13.8,10.9
1982/4/16,9.5,11.2,8.2
1982/4/17,7.8,11.0,5.3
1982/4/18,8.5,10.8,5.5
1982/4/19,10.5,12.8,8.2
1982/4/20,10.0,16.9,4.8
1982/4/21,8.4,11.8,6.1
1982/4/22,10.0,15.4,5.1
1982/4/23,9.6,14.4,4.4
1982/4/24,13.6,21.0,6.3
1982/4/25,10.6,15.0,7.7
1982/4/26,13.4,19.7,5.3
1982/4/27,13.5,21.1,7.0
1982/4/28,12.7,18.9,7.5
1982/4/29,15.4,23.0,10.4
1982/4/30,13.7,17.5,11.0
1982/5/1,14.8,16.8,12.8
