ダウンロードした時刻：2017/07/24 15:38:14

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,-0.3,2.9,-2.6
1995/1/2,0.5,4.2,-2.1
1995/1/3,0.5,6.2,-5.6
1995/1/4,2.8,6.6,-1.3
1995/1/5,3.5,8.8,-0.2
1995/1/6,-0.7,2.5,-3.8
1995/1/7,0.8,5.8,-2.4
1995/1/8,2.7,8.3,-2.1
1995/1/9,3.8,10.4,-2.7
1995/1/10,0.5,5.4,-3.7
1995/1/11,-0.2,4.5,-4.2
1995/1/12,-0.6,6.4,-5.7
1995/1/13,-1.1,3.7,-4.6
1995/1/14,-3.3,-0.7,-6.3
1995/1/15,-3.8,-2.0,-5.5
1995/1/16,-2.3,0.3,-5.0
1995/1/17,-2.5,1.0,-5.4
1995/1/18,0.1,4.4,-5.4
1995/1/19,-1.9,0.4,-6.0
1995/1/20,0.5,5.1,-7.5
1995/1/21,1.8,7.8,-2.4
1995/1/22,0.4,1.5,-1.9
1995/1/23,5.7,10.0,1.3
1995/1/24,1.9,5.8,-1.3
1995/1/25,0.2,3.1,-1.5
1995/1/26,1.0,5.9,-3.2
1995/1/27,-1.5,1.4,-5.7
1995/1/28,-1.7,4.7,-6.9
1995/1/29,1.1,6.9,-4.2
1995/1/30,-1.9,0.5,-4.2
1995/1/31,-3.5,-1.1,-5.4
1995/2/1,-0.3,2.7,-4.8
1995/2/2,0.2,3.4,-2.7
1995/2/3,-0.8,3.8,-4.6
1995/2/4,-1.3,3.7,-5.6
1995/2/5,-1.6,2.3,-4.5
1995/2/6,-0.9,3.7,-6.1
1995/2/7,-0.6,2.8,-4.7
1995/2/8,2.6,9.0,-3.8
1995/2/9,1.7,5.7,-0.1
1995/2/10,-1.4,1.9,-4.8
1995/2/11,-0.4,6.9,-6.2
1995/2/12,2.0,10.3,-5.7
1995/2/13,3.4,8.3,0.3
1995/2/14,2.2,7.1,-1.2
1995/2/15,1.1,5.3,-2.2
1995/2/16,1.1,6.5,-1.2
1995/2/17,-0.6,3.2,-2.7
1995/2/18,0.8,4.2,-1.4
1995/2/19,1.7,5.5,-0.7
1995/2/20,1.2,5.2,-1.0
1995/2/21,1.4,5.8,-2.1
1995/2/22,1.4,4.4,-0.7
1995/2/23,2.7,8.3,-2.0
1995/2/24,1.7,5.6,-2.6
1995/2/25,1.5,5.8,-1.9
1995/2/26,2.6,7.2,-0.6
1995/2/27,2.7,8.3,-1.7
1995/2/28,2.6,8.7,-0.8
1995/3/1,2.6,7.1,-0.6
1995/3/2,1.5,4.2,-1.0
1995/3/3,1.7,7.2,-2.7
1995/3/4,-0.9,0.3,-2.9
1995/3/5,-1.2,3.9,-4.9
1995/3/6,-0.1,3.6,-3.5
1995/3/7,1.3,8.7,-5.1
1995/3/8,2.5,8.6,-2.3
1995/3/9,3.0,7.0,-0.9
1995/3/10,0.3,4.4,-2.7
1995/3/11,3.2,5.9,0.8
1995/3/12,2.0,5.5,-0.1
1995/3/13,2.7,7.1,0.1
1995/3/14,4.0,9.3,0.0
1995/3/15,4.4,11.1,-1.0
1995/3/16,5.7,9.4,1.9
1995/3/17,10.8,14.2,6.0
1995/3/18,0.9,6.0,-0.4
1995/3/19,2.1,8.3,-2.7
1995/3/20,4.8,11.0,-1.6
1995/3/21,7.2,14.4,-0.2
1995/3/22,6.5,13.6,0.5
1995/3/23,5.7,11.0,2.7
1995/3/24,8.5,12.8,5.5
1995/3/25,1.9,5.5,-1.3
1995/3/26,-0.8,1.3,-2.6
1995/3/27,2.6,7.8,-4.2
1995/3/28,3.6,6.6,0.8
1995/3/29,3.8,9.6,-3.1
1995/3/30,7.1,9.5,4.5
1995/3/31,10.7,14.5,7.3
1995/4/1,6.2,10.9,2.5
1995/4/2,4.2,10.3,0.6
1995/4/3,2.6,6.1,-0.1
1995/4/4,6.6,14.3,-1.7
1995/4/5,8.4,15.7,-1.0
1995/4/6,10.5,17.1,2.6
1995/4/7,10.1,14.3,7.1
1995/4/8,10.2,16.4,3.5
1995/4/9,11.0,15.5,7.7
1995/4/10,8.3,11.3,4.2
1995/4/11,6.2,12.0,1.9
1995/4/12,7.0,10.8,4.4
1995/4/13,7.9,13.1,3.0
1995/4/14,7.8,12.4,1.5
1995/4/15,10.7,15.8,7.2
1995/4/16,9.0,13.4,6.1
1995/4/17,12.3,18.5,7.4
1995/4/18,11.8,18.0,6.6
1995/4/19,11.7,17.8,3.8
1995/4/20,7.4,12.0,2.7
1995/4/21,10.8,18.2,-0.5
1995/4/22,13.5,16.9,10.8
1995/4/23,15.7,21.1,12.9
1995/4/24,13.3,19.8,9.4
1995/4/25,13.0,17.8,10.3
1995/4/26,12.2,16.8,8.4
1995/4/27,14.4,20.1,8.3
1995/4/28,14.4,20.4,8.6
1995/4/29,15.1,21.1,10.3
1995/4/30,14.6,18.6,12.4
1995/5/1,14.4,18.4,12.4
