ダウンロードした時刻：2017/07/24 15:39:55

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/1/1,3.4,14.9,-8.1
1988/1/2,6.6,13.9,0.7
1988/1/3,2.2,7.4,-2.9
1988/1/4,3.0,10.7,-5.4
1988/1/5,-0.5,2.1,-2.0
1988/1/6,-1.5,3.1,-5.4
1988/1/7,1.3,8.9,-7.9
1988/1/8,5.7,11.8,1.9
1988/1/9,2.9,7.4,-1.7
1988/1/10,-1.8,2.3,-4.4
1988/1/11,-2.1,4.8,-7.3
1988/1/12,-1.8,3.3,-7.9
1988/1/13,0.6,10.5,-6.5
1988/1/14,3.6,13.9,-6.2
1988/1/15,5.7,10.3,1.4
1988/1/16,3.6,9.1,0.6
1988/1/17,0.7,5.2,-3.1
1988/1/18,-0.8,3.1,-6.9
1988/1/19,-3.6,3.7,-9.4
1988/1/20,0.1,10.2,-7.6
1988/1/21,-0.3,7.9,-6.8
1988/1/22,11.9,17.1,1.0
1988/1/23,3.2,10.1,-2.5
1988/1/24,-1.0,2.6,-3.3
1988/1/25,0.8,5.7,-2.7
1988/1/26,1.8,6.9,-2.6
1988/1/27,0.7,7.1,-4.6
1988/1/28,2.5,6.9,-0.7
1988/1/29,5.1,9.7,1.0
1988/1/30,1.2,6.0,-3.8
1988/1/31,1.8,7.4,-3.9
1988/2/1,-0.6,5.1,-4.3
1988/2/2,1.8,6.6,-2.6
1988/2/3,-5.7,-2.6,-7.6
1988/2/4,-0.6,6.2,-10.9
1988/2/5,6.3,9.2,4.0
1988/2/6,2.6,9.1,-1.6
1988/2/7,-3.5,-0.8,-7.1
1988/2/8,-3.6,3.5,-9.0
1988/2/9,-1.4,4.7,-7.9
1988/2/10,-2.2,3.0,-7.4
1988/2/11,-3.9,1.9,-9.7
1988/2/12,0.4,8.1,-4.9
1988/2/13,-0.3,5.7,-4.6
1988/2/14,-2.7,2.7,-6.7
1988/2/15,-4.2,3.1,-8.4
1988/2/16,-4.8,-0.5,-8.3
1988/2/17,-5.4,0.0,-9.9
1988/2/18,-3.9,2.1,-9.5
1988/2/19,-3.1,2.8,-8.0
1988/2/20,-0.9,8.4,-8.5
1988/2/21,-3.4,2.5,-7.6
1988/2/22,-0.3,8.3,-10.6
1988/2/23,4.0,8.5,0.0
1988/2/24,0.2,4.0,-1.4
1988/2/25,0.1,6.0,-3.3
1988/2/26,1.5,7.7,-2.6
1988/2/27,-1.9,0.0,-2.7
1988/2/28,-1.8,4.5,-5.3
1988/2/29,-0.3,6.5,-7.6
1988/3/1,3.3,6.4,0.8
1988/3/2,3.0,4.0,0.6
1988/3/3,1.1,7.1,-3.0
1988/3/4,-1.6,3.9,-5.8
1988/3/5,0.7,6.9,-5.2
1988/3/6,1.7,8.6,-3.5
1988/3/7,0.6,5.2,-4.7
1988/3/8,-1.0,6.3,-7.8
1988/3/9,0.6,8.0,-5.8
1988/3/10,2.4,10.3,-2.1
1988/3/11,6.4,15.8,-5.9
1988/3/12,8.3,15.6,1.3
1988/3/13,6.1,15.2,-2.4
1988/3/14,8.6,17.9,-1.2
1988/3/15,2.7,7.3,-3.1
1988/3/16,-0.7,5.0,-6.2
1988/3/17,-1.2,-0.5,-2.1
1988/3/18,2.1,5.3,-0.8
1988/3/19,3.7,11.1,-0.6
1988/3/20,2.4,7.5,-0.1
1988/3/21,1.0,3.7,-0.3
1988/3/22,0.7,1.7,0.0
1988/3/23,3.2,8.2,-0.7
1988/3/24,0.9,5.9,-2.7
1988/3/25,2.0,9.5,-4.1
1988/3/26,1.2,3.4,0.2
1988/3/27,1.7,6.1,-1.3
1988/3/28,4.7,13.1,-3.7
1988/3/29,3.8,8.0,1.0
1988/3/30,4.4,7.6,2.7
1988/3/31,4.0,7.1,1.5
1988/4/1,6.1,13.4,0.7
1988/4/2,5.7,10.1,0.5
1988/4/3,7.5,16.9,0.8
1988/4/4,7.4,14.9,0.8
1988/4/5,7.6,14.2,1.2
1988/4/6,7.5,15.3,2.3
1988/4/7,1.6,4.5,0.1
1988/4/8,2.1,5.8,0.3
1988/4/9,2.8,9.4,-2.8
1988/4/10,4.5,13.4,-2.5
1988/4/11,8.2,16.4,-2.1
1988/4/12,10.3,12.9,7.3
1988/4/13,10.7,14.2,8.5
1988/4/14,10.4,19.9,3.7
1988/4/15,8.5,15.7,2.2
1988/4/16,7.9,16.4,-0.2
1988/4/17,10.9,19.8,1.6
1988/4/18,11.2,15.6,8.5
1988/4/19,11.8,15.9,7.6
1988/4/20,16.6,23.8,9.2
1988/4/21,14.2,22.3,6.4
1988/4/22,12.1,16.5,6.4
1988/4/23,8.4,16.9,3.5
1988/4/24,6.9,15.0,1.9
1988/4/25,9.4,17.1,-0.3
1988/4/26,14.9,20.8,7.8
1988/4/27,14.3,21.6,8.6
1988/4/28,15.6,25.6,5.0
1988/4/29,13.8,15.1,12.3
1988/4/30,17.1,24.5,11.6
1988/5/1,20.3,27.6,9.8
