ダウンロードした時刻：2017/07/24 15:38:37

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/1/1,3.6,6.4,1.6
2001/1/2,5.3,8.7,1.3
2001/1/3,2.1,4.3,0.4
2001/1/4,1.9,4.0,0.1
2001/1/5,2.8,4.7,0.4
2001/1/6,2.1,3.8,0.1
2001/1/7,2.6,4.3,0.4
2001/1/8,4.0,7.1,1.9
2001/1/9,6.1,9.9,2.1
2001/1/10,5.3,10.7,0.1
2001/1/11,4.4,9.2,0.0
2001/1/12,0.2,2.1,-1.0
2001/1/13,-0.7,0.6,-1.9
2001/1/14,-1.4,0.2,-3.2
2001/1/15,-0.4,0.8,-2.0
2001/1/16,0.2,1.4,-1.9
2001/1/17,-0.2,1.0,-1.6
2001/1/18,1.0,3.8,-1.4
2001/1/19,-0.4,1.2,-2.3
2001/1/20,2.7,5.2,-1.0
2001/1/21,4.0,7.5,1.3
2001/1/22,2.9,3.9,2.2
2001/1/23,1.5,3.5,-0.3
2001/1/24,2.7,4.0,0.3
2001/1/25,3.2,6.3,-0.2
2001/1/26,3.1,4.3,1.4
2001/1/27,3.2,7.6,1.7
2001/1/28,5.0,7.0,2.7
2001/1/29,3.0,5.6,1.1
2001/1/30,3.7,5.3,1.8
2001/1/31,3.2,6.7,0.9
2001/2/1,6.3,9.3,1.0
2001/2/2,0.3,3.2,-1.5
2001/2/3,1.3,4.5,-0.7
2001/2/4,0.5,2.5,-1.3
2001/2/5,5.0,9.1,-0.1
2001/2/6,3.4,5.2,1.2
2001/2/7,2.5,4.6,-0.9
2001/2/8,0.6,4.0,-0.8
2001/2/9,1.7,5.4,-2.9
2001/2/10,2.0,5.7,-0.6
2001/2/11,0.4,5.3,-2.8
2001/2/12,-0.1,2.1,-3.1
2001/2/13,-0.6,1.0,-1.8
2001/2/14,-1.3,0.0,-3.1
2001/2/15,0.6,4.0,-2.8
2001/2/16,1.0,5.1,-2.1
2001/2/17,2.8,7.0,-0.4
2001/2/18,7.4,8.6,5.8
2001/2/19,4.4,6.9,1.3
2001/2/20,2.3,5.4,-1.3
2001/2/21,6.5,11.0,-1.3
2001/2/22,9.1,11.0,5.8
2001/2/23,8.1,11.5,3.4
2001/2/24,2.2,3.5,0.7
2001/2/25,0.7,2.4,-1.4
2001/2/26,2.3,4.5,-0.9
2001/2/27,6.3,9.6,2.8
2001/2/28,8.1,12.1,3.2
2001/3/1,4.4,7.0,2.1
2001/3/2,3.9,5.3,1.6
2001/3/3,6.6,9.4,2.1
2001/3/4,6.7,10.6,2.2
2001/3/5,3.8,6.3,1.0
2001/3/6,6.1,9.0,4.6
2001/3/7,5.6,10.4,1.8
2001/3/8,1.2,2.9,-0.7
2001/3/9,1.0,3.1,-1.4
2001/3/10,-0.1,1.5,-1.7
2001/3/11,0.7,2.3,-1.3
2001/3/12,2.5,5.5,-0.1
2001/3/13,2.2,5.3,-1.9
2001/3/14,8.4,12.8,3.0
2001/3/15,7.4,13.1,3.7
2001/3/16,4.7,7.5,2.5
2001/3/17,7.7,12.8,0.7
2001/3/18,8.5,10.8,6.1
2001/3/19,10.6,13.3,9.1
2001/3/20,12.6,15.6,10.0
2001/3/21,7.7,12.0,3.9
2001/3/22,12.1,18.8,2.6
2001/3/23,8.1,12.0,2.3
2001/3/24,10.4,17.5,4.3
2001/3/25,14.7,19.9,6.6
2001/3/26,8.4,11.5,6.6
2001/3/27,5.6,7.1,3.0
2001/3/28,5.1,9.8,1.7
2001/3/29,3.8,6.9,1.1
2001/3/30,5.1,7.0,3.1
2001/3/31,5.0,7.5,2.1
2001/4/1,6.0,8.5,3.4
2001/4/2,11.1,14.1,7.8
2001/4/3,6.9,11.6,3.0
2001/4/4,6.4,9.3,3.0
2001/4/5,10.0,15.3,4.2
2001/4/6,9.8,13.5,7.0
2001/4/7,10.2,14.1,4.9
2001/4/8,13.3,19.3,7.6
2001/4/9,15.5,20.0,11.5
2001/4/10,15.5,22.5,10.6
2001/4/11,16.1,19.7,13.3
2001/4/12,11.2,16.8,7.7
2001/4/13,10.2,12.5,7.5
2001/4/14,12.2,17.4,7.3
2001/4/15,11.7,15.3,9.5
2001/4/16,12.6,17.0,6.3
2001/4/17,15.3,20.7,10.8
2001/4/18,13.8,19.3,10.0
2001/4/19,13.9,17.6,10.1
2001/4/20,7.7,13.8,3.1
2001/4/21,6.7,9.9,2.4
2001/4/22,8.0,10.8,3.6
2001/4/23,11.4,14.9,8.4
2001/4/24,12.1,15.4,8.4
2001/4/25,9.4,12.7,6.0
2001/4/26,9.3,13.3,4.7
2001/4/27,12.3,16.7,7.5
2001/4/28,14.8,20.4,9.2
2001/4/29,15.2,20.5,9.1
2001/4/30,14.5,19.4,9.5
2001/5/1,12.1,16.7,7.7
