ダウンロードした時刻：2017/07/24 15:41:43

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/1/1,4.4,9.8,0.6
1981/1/2,4.9,7.2,2.5
1981/1/3,3.0,5.8,1.1
1981/1/4,2.5,5.7,0.1
1981/1/5,2.6,6.0,-0.1
1981/1/6,2.4,6.3,-0.4
1981/1/7,2.2,5.3,0.2
1981/1/8,4.3,8.5,0.8
1981/1/9,5.7,9.2,1.0
1981/1/10,5.2,10.0,1.2
1981/1/11,1.6,4.8,-0.7
1981/1/12,2.2,6.6,-2.4
1981/1/13,1.5,4.4,-1.1
1981/1/14,1.5,5.7,-1.3
1981/1/15,3.2,6.6,-0.7
1981/1/16,3.0,8.6,-1.7
1981/1/17,2.6,7.7,-1.3
1981/1/18,3.9,9.6,-1.1
1981/1/19,3.5,7.9,0.3
1981/1/20,3.2,7.1,0.3
1981/1/21,2.8,6.6,-0.8
1981/1/22,2.7,6.6,-0.5
1981/1/23,3.7,9.5,0.0
1981/1/24,5.3,9.8,-0.7
1981/1/25,6.9,11.6,3.2
1981/1/26,3.3,7.8,0.1
1981/1/27,2.4,7.0,-0.8
1981/1/28,3.1,8.0,0.6
1981/1/29,3.4,7.5,-0.8
1981/1/30,3.5,8.2,0.2
1981/1/31,4.4,10.0,-0.3
1981/2/1,3.8,5.5,2.5
1981/2/2,4.1,8.5,1.5
1981/2/3,5.2,9.7,1.9
1981/2/4,2.8,7.1,0.3
1981/2/5,4.0,9.9,-0.4
1981/2/6,4.5,8.7,0.3
1981/2/7,5.4,11.7,0.0
1981/2/8,5.7,9.7,2.1
1981/2/9,6.0,10.5,1.4
1981/2/10,5.4,9.7,2.9
1981/2/11,3.1,6.7,0.8
1981/2/12,6.3,11.1,0.9
1981/2/13,8.0,10.6,5.8
1981/2/14,9.7,13.9,6.7
1981/2/15,11.3,16.4,6.7
1981/2/16,14.2,20.3,9.9
1981/2/17,7.1,11.7,3.6
1981/2/18,6.6,9.9,2.6
1981/2/19,7.6,11.9,4.4
1981/2/20,6.5,11.0,1.9
1981/2/21,5.2,10.6,2.1
1981/2/22,5.0,9.7,1.1
1981/2/23,5.8,8.9,1.8
1981/2/24,6.9,10.5,4.4
1981/2/25,2.6,5.6,-1.1
1981/2/26,-1.8,1.0,-4.9
1981/2/27,-1.2,3.3,-5.4
1981/2/28,1.6,6.0,-2.4
1981/3/1,3.8,7.5,0.4
1981/3/2,4.0,9.6,0.6
1981/3/3,5.8,11.3,-0.5
1981/3/4,9.2,13.6,6.7
1981/3/5,7.9,12.4,3.6
1981/3/6,5.6,10.8,-0.1
1981/3/7,6.3,10.7,0.5
1981/3/8,10.1,15.4,6.2
1981/3/9,8.0,9.7,6.2
1981/3/10,6.3,11.0,2.2
1981/3/11,5.8,10.9,0.8
1981/3/12,8.5,13.6,2.0
1981/3/13,10.7,16.1,4.7
1981/3/14,12.7,14.7,10.0
1981/3/15,11.0,16.9,4.8
1981/3/16,6.0,10.6,2.0
1981/3/17,8.3,13.1,3.9
1981/3/18,8.9,14.9,2.1
1981/3/19,12.1,19.0,4.5
1981/3/20,13.3,18.8,9.7
1981/3/21,12.1,14.0,10.8
1981/3/22,13.5,20.8,9.4
1981/3/23,12.5,18.7,8.9
1981/3/24,11.6,15.3,9.0
1981/3/25,14.6,17.5,10.6
1981/3/26,11.9,17.6,5.9
1981/3/27,8.5,13.6,5.1
1981/3/28,9.2,13.7,4.9
1981/3/29,11.0,14.7,4.0
1981/3/30,11.2,13.7,8.7
1981/3/31,7.3,8.8,5.9
1981/4/1,10.0,12.2,6.5
1981/4/2,11.5,17.3,6.2
1981/4/3,11.3,17.4,5.2
1981/4/4,11.0,15.1,9.3
1981/4/5,11.0,13.2,8.0
1981/4/6,14.9,21.2,11.3
1981/4/7,15.4,22.1,9.5
1981/4/8,13.5,16.7,8.9
1981/4/9,13.4,15.5,11.7
1981/4/10,15.5,21.0,10.9
1981/4/11,17.7,23.2,12.4
1981/4/12,16.4,20.1,12.6
1981/4/13,14.9,19.3,11.6
1981/4/14,13.1,17.8,8.8
1981/4/15,14.1,18.9,7.3
1981/4/16,12.5,15.4,10.6
1981/4/17,13.7,19.3,9.7
1981/4/18,14.3,20.6,9.2
1981/4/19,12.4,16.8,10.6
1981/4/20,12.1,16.8,8.3
1981/4/21,13.5,19.8,8.0
1981/4/22,14.2,19.8,8.2
1981/4/23,16.0,24.9,8.5
1981/4/24,17.0,21.6,10.7
1981/4/25,14.9,18.2,11.2
1981/4/26,13.6,18.9,8.9
1981/4/27,16.5,21.9,8.6
1981/4/28,17.0,23.6,12.3
1981/4/29,16.9,21.0,10.4
1981/4/30,16.8,23.0,13.2
1981/5/1,18.4,23.7,13.0
