ダウンロードした時刻：2017/07/24 15:37:51

,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,4.7,10.5,-0.4
1986/1/2,0.5,4.8,-3.0
1986/1/3,0.5,5.0,-4.2
1986/1/4,3.9,7.3,0.4
1986/1/5,0.9,4.7,-2.4
1986/1/6,-1.3,0.5,-2.9
1986/1/7,2.4,6.9,-3.2
1986/1/8,3.4,8.6,-0.6
1986/1/9,0.9,4.5,-2.8
1986/1/10,-0.4,3.0,-3.9
1986/1/11,-0.2,3.3,-2.8
1986/1/12,-0.9,3.2,-4.7
1986/1/13,0.0,3.2,-4.6
1986/1/14,-1.5,0.9,-2.6
1986/1/15,1.1,4.6,-2.3
1986/1/16,2.1,4.7,-3.1
1986/1/17,3.8,8.2,-0.4
1986/1/18,2.9,7.3,-0.2
1986/1/19,1.5,6.0,-1.9
1986/1/20,2.5,8.5,-3.5
1986/1/21,-1.2,1.9,-4.0
1986/1/22,-4.3,-0.4,-6.4
1986/1/23,-3.4,-0.2,-7.1
1986/1/24,-2.1,0.6,-4.6
1986/1/25,-3.1,-0.6,-4.8
1986/1/26,-3.0,0.0,-5.0
1986/1/27,-2.4,1.0,-6.1
1986/1/28,-1.8,1.5,-4.8
1986/1/29,-1.3,3.1,-6.8
1986/1/30,-0.1,4.0,-5.2
1986/1/31,0.4,5.6,-3.1
1986/2/1,-1.5,2.7,-5.1
1986/2/2,-2.0,4.8,-7.3
1986/2/3,-1.2,1.5,-4.7
1986/2/4,-1.9,1.5,-5.0
1986/2/5,-2.5,2.6,-7.3
1986/2/6,-2.8,1.7,-7.7
1986/2/7,-2.4,2.4,-5.8
1986/2/8,-1.9,3.1,-7.4
1986/2/9,-1.5,3.0,-4.3
1986/2/10,-2.6,1.9,-5.9
1986/2/11,-1.4,3.4,-6.0
1986/2/12,0.6,4.9,-1.9
1986/2/13,3.9,8.2,-3.0
1986/2/14,3.6,7.2,1.6
1986/2/15,0.9,1.8,0.5
1986/2/16,-0.7,2.1,-2.0
1986/2/17,-0.4,2.7,-3.0
1986/2/18,-0.3,3.2,-3.6
1986/2/19,-0.9,0.2,-1.6
1986/2/20,0.3,4.1,-4.8
1986/2/21,0.1,2.6,-3.0
1986/2/22,0.5,4.1,-3.8
1986/2/23,3.3,7.8,-2.4
1986/2/24,0.7,3.8,-2.3
1986/2/25,-1.4,1.0,-3.1
1986/2/26,0.7,4.1,-3.6
1986/2/27,1.7,6.1,-3.8
1986/2/28,1.0,3.3,-0.4
1986/3/1,1.4,4.9,-3.0
1986/3/2,2.7,7.1,-2.2
1986/3/3,0.7,4.0,-2.8
1986/3/4,-0.9,3.0,-5.0
1986/3/5,0.2,2.3,-1.8
1986/3/6,1.0,2.8,-0.7
1986/3/7,4.2,10.1,-2.0
1986/3/8,4.7,10.2,0.0
1986/3/9,6.3,16.3,-1.2
1986/3/10,7.8,12.4,4.4
1986/3/11,4.2,7.8,0.4
1986/3/12,4.1,8.3,0.7
1986/3/13,4.9,9.6,1.9
1986/3/14,3.5,7.5,1.0
1986/3/15,3.0,4.0,1.4
1986/3/16,5.8,13.3,2.7
1986/3/17,3.5,6.8,0.9
1986/3/18,4.1,8.5,1.5
1986/3/19,1.5,3.4,-0.6
1986/3/20,6.2,10.2,3.4
1986/3/21,5.1,8.8,2.4
1986/3/22,4.9,8.9,0.9
1986/3/23,1.3,4.4,0.4
1986/3/24,4.3,6.6,0.9
1986/3/25,4.7,8.0,1.6
1986/3/26,5.0,9.7,-0.9
1986/3/27,8.7,14.5,0.8
1986/3/28,2.7,8.2,0.4
1986/3/29,3.1,6.5,0.4
1986/3/30,4.0,5.9,-0.6
1986/3/31,6.5,10.7,3.9
1986/4/1,6.0,11.5,0.7
1986/4/2,6.5,13.4,0.2
1986/4/3,5.2,8.4,1.9
1986/4/4,7.5,11.8,4.2
1986/4/5,10.2,14.0,6.1
1986/4/6,7.3,11.7,3.1
1986/4/7,5.5,9.3,2.1
1986/4/8,8.7,13.8,2.0
1986/4/9,14.4,19.8,5.2
1986/4/10,10.2,11.8,8.4
1986/4/11,8.2,14.4,3.3
1986/4/12,6.5,10.1,1.7
1986/4/13,11.1,16.2,2.5
1986/4/14,9.5,15.3,5.9
1986/4/15,8.8,11.2,4.2
1986/4/16,7.6,11.4,2.2
1986/4/17,6.1,10.4,0.2
1986/4/18,9.9,15.4,4.3
1986/4/19,10.3,14.5,8.0
1986/4/20,11.0,12.7,10.0
1986/4/21,11.7,15.6,9.3
1986/4/22,11.3,13.8,9.7
1986/4/23,12.2,17.5,9.9
1986/4/24,11.2,17.4,8.7
1986/4/25,11.3,13.9,8.2
1986/4/26,11.0,13.9,8.7
1986/4/27,9.5,10.8,8.3
1986/4/28,11.1,15.5,6.8
1986/4/29,9.2,13.4,4.9
1986/4/30,11.7,18.3,5.6
1986/5/1,12.9,17.2,7.7
