ダウンロードした時刻：2017/07/24 15:42:02

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,5.4,10.1,0.9
1984/1/2,4.4,8.9,0.3
1984/1/3,4.2,7.7,0.9
1984/1/4,6.3,10.9,1.5
1984/1/5,4.4,7.6,1.9
1984/1/6,5.1,9.3,1.3
1984/1/7,4.3,8.7,0.2
1984/1/8,3.6,7.1,-0.2
1984/1/9,4.5,9.7,-0.9
1984/1/10,6.8,11.4,-0.2
1984/1/11,5.3,9.0,3.1
1984/1/12,4.1,7.6,1.3
1984/1/13,4.4,8.7,-1.1
1984/1/14,5.5,9.5,1.6
1984/1/15,7.4,14.6,0.7
1984/1/16,3.5,7.2,0.7
1984/1/17,2.9,7.4,-0.3
1984/1/18,4.0,7.2,0.6
1984/1/19,0.2,2.9,-0.7
1984/1/20,0.6,2.9,-2.0
1984/1/21,-0.6,0.7,-2.5
1984/1/22,2.4,4.7,0.3
1984/1/23,4.4,8.3,0.2
1984/1/24,3.4,6.5,0.8
1984/1/25,2.4,6.1,-1.5
1984/1/26,2.7,6.7,-0.3
1984/1/27,4.1,8.4,-1.3
1984/1/28,3.4,6.9,0.0
1984/1/29,2.7,6.2,0.5
1984/1/30,2.9,5.9,-0.8
1984/1/31,1.1,3.5,-0.1
1984/2/1,4.5,8.2,0.2
1984/2/2,6.3,12.8,-0.2
1984/2/3,2.7,7.3,-1.0
1984/2/4,0.3,2.8,-2.9
1984/2/5,1.1,4.7,-2.1
1984/2/6,0.6,2.3,-1.2
1984/2/7,0.2,3.2,-3.1
1984/2/8,1.1,4.9,-2.8
1984/2/9,1.7,6.2,-3.5
1984/2/10,2.5,5.9,-0.6
1984/2/11,4.0,6.6,1.1
1984/2/12,2.1,4.7,0.4
1984/2/13,3.3,5.6,0.9
1984/2/14,4.4,7.5,2.7
1984/2/15,2.9,6.6,0.9
1984/2/16,2.6,6.7,-0.4
1984/2/17,1.3,4.2,-0.7
1984/2/18,1.8,5.0,-0.9
1984/2/19,2.9,6.2,-1.2
1984/2/20,2.8,5.6,0.4
1984/2/21,4.5,8.5,-0.3
1984/2/22,5.2,8.8,1.8
1984/2/23,2.7,4.5,1.4
1984/2/24,7.2,10.3,3.9
1984/2/25,4.7,7.0,3.2
1984/2/26,2.4,4.9,0.9
1984/2/27,5.4,9.4,2.1
1984/2/28,3.6,6.7,0.7
1984/2/29,3.3,6.9,-0.8
1984/3/1,4.0,7.3,-1.5
1984/3/2,6.0,10.6,0.1
1984/3/3,5.7,10.4,2.0
1984/3/4,4.6,8.3,1.2
1984/3/5,4.5,8.6,1.0
1984/3/6,5.6,9.9,0.8
1984/3/7,5.9,10.2,1.6
1984/3/8,6.4,10.8,2.6
1984/3/9,5.9,9.4,2.6
1984/3/10,3.7,6.1,2.0
1984/3/11,5.5,9.1,3.2
1984/3/12,6.7,12.5,0.4
1984/3/13,5.4,9.5,2.2
1984/3/14,1.8,3.7,0.6
1984/3/15,5.1,8.7,1.4
1984/3/16,2.4,5.6,1.2
1984/3/17,7.5,12.2,3.0
1984/3/18,7.3,12.7,1.5
1984/3/19,3.0,5.7,1.0
1984/3/20,3.1,5.3,0.9
1984/3/21,5.2,9.7,2.2
1984/3/22,4.4,8.3,1.1
1984/3/23,4.2,9.2,0.3
1984/3/24,5.7,10.2,2.2
1984/3/25,9.5,14.1,3.0
1984/3/26,8.6,13.1,5.8
1984/3/27,8.1,13.1,4.2
1984/3/28,4.6,6.5,2.4
1984/3/29,10.6,17.0,2.1
1984/3/30,12.8,19.1,6.8
1984/3/31,8.7,18.8,2.7
1984/4/1,3.2,4.3,1.8
1984/4/2,6.3,11.1,3.4
1984/4/3,6.9,10.4,3.4
1984/4/4,12.1,17.0,5.4
1984/4/5,12.8,15.0,11.5
1984/4/6,13.5,19.7,8.8
1984/4/7,7.8,9.8,5.5
1984/4/8,7.7,12.8,4.3
1984/4/9,8.4,12.5,3.2
1984/4/10,11.0,14.2,7.0
1984/4/11,12.3,17.2,9.0
1984/4/12,12.8,18.6,8.2
1984/4/13,10.9,14.9,8.6
1984/4/14,11.1,15.6,8.1
1984/4/15,11.9,16.0,6.7
1984/4/16,11.5,12.7,10.3
1984/4/17,12.5,16.2,9.6
1984/4/18,17.9,24.0,11.8
1984/4/19,8.7,17.8,5.5
1984/4/20,11.8,17.9,5.6
1984/4/21,11.1,15.0,8.1
1984/4/22,10.5,13.8,7.8
1984/4/23,12.1,18.2,8.3
1984/4/24,13.9,18.6,7.5
1984/4/25,16.2,20.8,11.1
1984/4/26,17.8,21.6,14.3
1984/4/27,16.4,20.6,13.2
1984/4/28,15.7,21.4,11.3
1984/4/29,11.5,15.9,9.2
1984/4/30,12.8,16.6,9.0
1984/5/1,15.5,19.4,11.4
