ダウンロードした時刻：2017/07/24 15:44:59

,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,6.3,8.8,4.1
1995/1/2,5.5,8.1,2.0
1995/1/3,4.6,8.4,0.4
1995/1/4,9.0,10.4,6.5
1995/1/5,6.3,8.9,2.5
1995/1/6,5.2,7.0,2.2
1995/1/7,6.1,10.0,1.5
1995/1/8,8.4,13.6,4.2
1995/1/9,10.8,17.9,3.8
1995/1/10,7.2,12.7,5.0
1995/1/11,6.1,8.3,4.5
1995/1/12,6.3,8.8,5.1
1995/1/13,5.8,8.7,3.8
1995/1/14,3.9,6.5,2.7
1995/1/15,5.2,7.1,2.8
1995/1/16,5.3,8.2,3.0
1995/1/17,4.5,8.5,1.5
1995/1/18,4.9,9.3,-1.2
1995/1/19,5.7,8.3,2.1
1995/1/20,5.4,10.4,1.2
1995/1/21,7.0,12.2,1.6
1995/1/22,11.2,18.1,6.9
1995/1/23,10.8,13.1,9.0
1995/1/24,7.4,9.6,5.1
1995/1/25,5.9,8.6,4.3
1995/1/26,6.5,9.1,3.8
1995/1/27,5.8,9.0,3.4
1995/1/28,4.6,8.6,0.5
1995/1/29,5.1,8.1,2.8
1995/1/30,3.3,5.5,2.2
1995/1/31,3.4,6.9,0.9
1995/2/1,3.3,5.6,1.2
1995/2/2,3.7,6.6,0.0
1995/2/3,4.6,8.4,0.1
1995/2/4,4.2,7.9,0.9
1995/2/5,4.6,8.5,1.3
1995/2/6,5.0,8.0,2.5
1995/2/7,6.1,9.8,1.8
1995/2/8,7.1,14.1,0.9
1995/2/9,7.8,12.3,4.6
1995/2/10,4.8,7.3,3.4
1995/2/11,5.0,11.1,-0.5
1995/2/12,7.5,11.1,3.2
1995/2/13,10.3,14.2,8.0
1995/2/14,8.5,11.9,5.2
1995/2/15,7.3,11.6,3.0
1995/2/16,5.5,9.4,3.6
1995/2/17,4.5,8.3,1.4
1995/2/18,5.2,9.7,0.2
1995/2/19,7.2,11.5,4.5
1995/2/20,5.7,9.9,1.7
1995/2/21,4.4,8.1,2.2
1995/2/22,4.4,8.3,-0.1
1995/2/23,5.3,11.1,-0.2
1995/2/24,6.0,11.1,1.5
1995/2/25,6.3,10.5,1.7
1995/2/26,8.3,12.7,4.7
1995/2/27,7.3,10.7,4.1
1995/2/28,5.7,11.6,0.5
1995/3/1,8.0,11.9,5.2
1995/3/2,6.5,9.1,3.5
1995/3/3,5.1,10.3,1.2
1995/3/4,5.5,8.7,3.6
1995/3/5,6.0,9.6,1.9
1995/3/6,8.4,13.6,4.8
1995/3/7,8.5,14.9,2.8
1995/3/8,8.2,16.0,2.9
1995/3/9,8.9,13.8,2.7
1995/3/10,11.3,13.7,8.3
1995/3/11,9.7,12.1,7.4
1995/3/12,8.6,15.0,4.2
1995/3/13,9.2,12.7,7.1
1995/3/14,8.5,11.6,6.1
1995/3/15,9.4,15.6,2.4
1995/3/16,13.3,16.9,9.6
1995/3/17,12.8,17.0,8.6
1995/3/18,9.0,11.8,7.1
1995/3/19,8.2,12.2,4.1
1995/3/20,8.3,14.3,1.3
1995/3/21,11.9,17.3,4.8
1995/3/22,14.5,19.4,10.0
1995/3/23,14.5,20.3,8.9
1995/3/24,15.3,19.4,12.9
1995/3/25,10.6,14.1,6.5
1995/3/26,8.0,12.5,4.4
1995/3/27,10.1,16.1,3.2
1995/3/28,9.6,12.8,6.8
1995/3/29,9.8,14.3,4.7
1995/3/30,11.7,14.0,9.5
1995/3/31,14.0,17.7,11.1
1995/4/1,11.4,14.2,7.7
1995/4/2,9.0,15.3,3.4
1995/4/3,7.7,12.0,4.3
1995/4/4,9.5,15.2,2.5
1995/4/5,13.2,19.6,6.3
1995/4/6,14.4,19.3,10.4
1995/4/7,14.6,19.0,11.3
1995/4/8,14.8,21.2,6.8
1995/4/9,15.0,18.0,13.2
1995/4/10,13.9,17.6,10.6
1995/4/11,11.1,14.6,8.2
1995/4/12,12.2,15.8,8.1
1995/4/13,12.1,18.4,5.2
1995/4/14,13.9,17.3,10.8
1995/4/15,15.3,18.0,12.4
1995/4/16,15.2,16.8,13.5
1995/4/17,17.8,23.0,14.0
1995/4/18,15.8,18.4,13.3
1995/4/19,14.6,19.2,9.1
1995/4/20,12.0,17.7,5.6
1995/4/21,14.5,19.8,6.5
1995/4/22,19.1,24.0,15.3
1995/4/23,20.3,22.7,15.0
1995/4/24,16.3,20.8,11.2
1995/4/25,14.0,14.9,12.8
1995/4/26,16.2,19.4,13.7
1995/4/27,16.0,20.9,8.8
1995/4/28,16.4,17.7,15.4
1995/4/29,17.0,20.7,15.6
1995/4/30,18.1,21.7,15.6
1995/5/1,20.5,25.4,17.5
