É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:32

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2001/1/1,4.8,8.6,-1.5
2001/1/2,4.4,12.5,-3.6
2001/1/3,4.9,10.0,0.0
2001/1/4,1.8,7.3,-1.8
2001/1/5,1.4,9.2,-4.1
2001/1/6,0.0,6.7,-4.7
2001/1/7,0.2,5.0,-5.3
2001/1/8,1.7,4.3,-0.1
2001/1/9,2.2,5.6,-0.6
2001/1/10,4.0,11.4,0.9
2001/1/11,3.1,8.3,-0.1
2001/1/12,2.1,8.7,-1.9
2001/1/13,-0.8,2.8,-5.0
2001/1/14,-0.9,4.8,-4.4
2001/1/15,-1.9,4.3,-6.6
2001/1/16,-1.6,5.0,-7.4
2001/1/17,-1.3,5.5,-7.2
2001/1/18,-0.3,7.4,-7.1
2001/1/19,-0.4,4.5,-5.4
2001/1/20,0.1,3.9,-3.4
2001/1/21,1.6,9.6,-3.9
2001/1/22,1.4,7.6,-4.4
2001/1/23,1.3,8.5,-3.0
2001/1/24,0.6,7.1,-5.3
2001/1/25,2.0,5.3,-2.1
2001/1/26,3.9,6.5,1.9
2001/1/27,0.9,3.0,-0.8
2001/1/28,2.5,9.0,-2.4
2001/1/29,1.5,7.9,-3.0
2001/1/30,1.5,9.4,-5.3
2001/1/31,2.2,6.0,-3.7
2001/2/1,2.2,4.3,-0.4
2001/2/2,2.4,7.3,-1.9
2001/2/3,2.4,8.4,-3.1
2001/2/4,0.7,6.1,-4.0
2001/2/5,3.4,10.0,-2.2
2001/2/6,5.3,11.6,-1.3
2001/2/7,1.5,4.4,0.3
2001/2/8,2.4,7.7,-1.6
2001/2/9,0.4,6.3,-5.7
2001/2/10,3.0,11.2,-4.1
2001/2/11,2.7,10.7,-3.2
2001/2/12,0.4,4.7,-4.2
2001/2/13,1.0,5.9,-4.1
2001/2/14,0.7,5.8,-2.1
2001/2/15,0.6,7.4,-5.6
2001/2/16,1.9,10.5,-3.2
2001/2/17,1.5,7.8,-5.4
2001/2/18,4.5,11.3,-1.6
2001/2/19,5.9,14.8,-0.6
2001/2/20,3.4,10.4,-2.6
2001/2/21,7.0,13.0,1.1
2001/2/22,9.7,17.6,1.4
2001/2/23,9.8,17.8,1.4
2001/2/24,3.7,8.8,1.9
2001/2/25,2.7,8.0,-1.2
2001/2/26,1.9,8.4,-3.2
2001/2/27,4.1,12.2,-3.8
2001/2/28,5.5,11.1,-0.5
2001/3/1,4.9,7.8,1.6
2001/3/2,3.4,8.7,-0.1
2001/3/3,4.2,8.8,-2.4
2001/3/4,5.2,8.8,0.2
2001/3/5,4.6,10.4,-0.4
2001/3/6,7.5,15.0,-0.4
2001/3/7,6.3,15.9,0.9
2001/3/8,2.9,11.0,-2.2
2001/3/9,1.1,6.8,-3.4
2001/3/10,2.6,10.1,-4.2
2001/3/11,2.9,9.1,-1.7
2001/3/12,3.3,8.3,0.5
2001/3/13,3.1,9.3,-1.3
2001/3/14,5.1,12.2,-2.2
2001/3/15,8.8,20.5,1.0
2001/3/16,6.5,13.6,-0.9
2001/3/17,7.4,12.1,3.6
2001/3/18,10.4,18.4,4.9
2001/3/19,10.9,20.5,1.7
2001/3/20,11.8,19.9,3.4
2001/3/21,12.5,21.6,4.4
2001/3/22,13.0,18.7,7.5
2001/3/23,11.7,18.5,7.7
2001/3/24,13.1,19.8,6.0
2001/3/25,13.5,17.2,10.6
2001/3/26,11.1,16.0,4.0
2001/3/27,8.7,17.1,-0.1
2001/3/28,9.1,14.3,5.7
2001/3/29,4.8,8.2,0.8
2001/3/30,5.4,12.6,1.7
2001/3/31,1.6,3.0,-0.8
2001/4/1,4.3,12.0,-1.1
2001/4/2,8.6,15.7,0.4
2001/4/3,9.4,20.7,4.6
2001/4/4,8.5,15.5,4.4
2001/4/5,10.1,18.7,1.2
2001/4/6,13.2,20.7,6.2
2001/4/7,14.6,21.2,10.9
2001/4/8,14.8,20.8,11.1
2001/4/9,15.9,22.7,10.0
2001/4/10,17.0,24.0,12.4
2001/4/11,17.7,24.9,11.6
2001/4/12,14.1,20.4,8.4
2001/4/13,13.1,20.3,4.6
2001/4/14,14.1,20.7,6.8
2001/4/15,14.1,22.8,6.1
2001/4/16,14.6,23.0,5.3
2001/4/17,16.9,24.5,8.9
2001/4/18,16.7,23.1,10.6
2001/4/19,16.3,22.5,11.9
2001/4/20,15.9,25.9,9.3
2001/4/21,8.9,11.0,7.9
2001/4/22,11.5,20.2,5.3
2001/4/23,11.6,20.2,1.9
2001/4/24,13.9,19.6,8.7
2001/4/25,11.0,12.9,9.6
2001/4/26,12.2,18.1,7.3
2001/4/27,14.2,20.9,6.3
2001/4/28,16.8,23.9,8.7
2001/4/29,17.7,23.4,12.6
2001/4/30,15.0,18.7,10.4
2001/5/1,10.8,16.3,6.3
