ダウンロードした時刻：2017/07/24 15:45:31

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/1/1,6.9,11.8,2.4
2002/1/2,2.2,5.6,-0.6
2002/1/3,3.4,6.6,0.2
2002/1/4,9.0,12.3,5.8
2002/1/5,9.2,11.7,3.4
2002/1/6,5.6,9.7,2.1
2002/1/7,8.2,16.1,1.8
2002/1/8,4.3,6.4,1.6
2002/1/9,6.0,9.1,2.5
2002/1/10,7.8,12.7,2.6
2002/1/11,11.0,15.1,6.2
2002/1/12,9.2,15.1,3.7
2002/1/13,11.1,16.5,7.0
2002/1/14,10.1,12.9,5.9
2002/1/15,12.2,15.9,8.7
2002/1/16,14.3,16.6,11.8
2002/1/17,9.7,12.8,6.3
2002/1/18,6.5,9.7,4.3
2002/1/19,6.4,11.6,2.8
2002/1/20,6.5,11.6,2.0
2002/1/21,8.1,10.3,5.5
2002/1/22,5.2,7.8,3.9
2002/1/23,4.5,6.6,2.4
2002/1/24,5.1,7.8,3.2
2002/1/25,5.0,10.7,-0.1
2002/1/26,6.0,8.0,4.3
2002/1/27,7.9,10.9,6.0
2002/1/28,6.6,9.6,4.2
2002/1/29,3.9,6.4,1.2
2002/1/30,4.6,8.1,1.0
2002/1/31,3.9,8.0,0.1
2002/2/1,5.0,9.8,1.0
2002/2/2,5.5,7.8,2.4
2002/2/3,7.3,10.8,3.0
2002/2/4,5.7,10.5,0.2
2002/2/5,7.9,11.8,4.3
2002/2/6,8.2,13.6,3.3
2002/2/7,8.2,14.3,3.2
2002/2/8,7.8,14.1,1.5
2002/2/9,7.5,12.1,4.0
2002/2/10,4.7,8.7,2.6
2002/2/11,4.9,7.0,2.9
2002/2/12,4.5,8.5,0.4
2002/2/13,4.6,8.9,0.5
2002/2/14,5.2,10.7,0.2
2002/2/15,4.6,10.2,-0.7
2002/2/16,6.5,12.3,0.4
2002/2/17,8.5,10.5,6.2
2002/2/18,8.2,11.2,4.1
2002/2/19,4.8,7.6,2.8
2002/2/20,6.3,10.9,1.1
2002/2/21,9.2,14.3,2.4
2002/2/22,11.8,15.2,7.3
2002/2/23,9.5,14.0,4.1
2002/2/24,10.3,15.1,6.2
2002/2/25,7.9,12.7,2.5
2002/2/26,9.6,12.4,6.2
2002/2/27,10.4,12.2,8.8
2002/2/28,10.7,11.7,9.7
2002/3/1,11.2,16.5,6.2
2002/3/2,10.8,15.4,6.4
2002/3/3,9.0,14.4,4.9
2002/3/4,8.7,13.7,3.2
2002/3/5,8.9,10.1,7.9
2002/3/6,10.1,11.8,8.5
2002/3/7,7.1,9.7,2.8
2002/3/8,6.1,11.6,1.0
2002/3/9,8.4,14.9,1.9
2002/3/10,12.0,18.6,4.0
2002/3/11,12.8,16.7,8.0
2002/3/12,11.5,16.5,5.5
2002/3/13,12.1,17.7,6.3
2002/3/14,12.8,19.1,7.9
2002/3/15,14.4,17.9,11.2
2002/3/16,13.2,18.6,9.7
2002/3/17,13.0,17.9,8.4
2002/3/18,12.1,17.4,6.6
2002/3/19,11.1,17.6,5.0
2002/3/20,14.8,21.2,9.0
2002/3/21,16.2,22.1,11.6
2002/3/22,10.6,12.2,10.0
2002/3/23,10.5,13.5,8.6
2002/3/24,10.1,12.9,7.5
2002/3/25,10.4,15.2,4.9
2002/3/26,12.7,15.8,8.6
2002/3/27,13.2,18.0,8.6
2002/3/28,10.9,17.2,4.1
2002/3/29,12.9,16.4,10.2
2002/3/30,14.3,19.8,9.4
2002/3/31,14.1,18.3,10.0
2002/4/1,15.0,20.4,9.3
2002/4/2,17.0,23.3,10.8
2002/4/3,15.9,20.8,11.6
2002/4/4,13.1,21.1,7.3
2002/4/5,14.2,22.5,6.7
2002/4/6,14.0,19.7,10.0
2002/4/7,16.7,22.6,12.2
2002/4/8,17.7,21.9,13.8
2002/4/9,14.2,17.0,9.8
2002/4/10,12.1,16.3,7.7
2002/4/11,10.7,14.9,8.3
2002/4/12,12.0,16.9,6.9
2002/4/13,13.8,20.1,8.0
2002/4/14,16.4,23.4,9.4
2002/4/15,16.5,20.8,13.8
2002/4/16,21.0,26.8,14.1
2002/4/17,16.9,21.3,14.1
2002/4/18,13.1,15.2,9.4
2002/4/19,13.9,20.8,7.1
2002/4/20,15.8,20.9,12.4
2002/4/21,15.9,18.4,13.4
2002/4/22,18.5,23.6,13.2
2002/4/23,17.0,20.3,15.7
2002/4/24,18.0,22.8,15.7
2002/4/25,15.4,19.4,12.2
2002/4/26,15.2,20.8,10.2
2002/4/27,16.4,22.3,10.2
2002/4/28,18.1,21.0,15.3
2002/4/29,19.3,23.3,15.3
2002/4/30,21.8,25.6,16.4
2002/5/1,18.9,21.6,15.8
