ダウンロードした時刻：2017/07/24 15:43:48

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,6.0,11.8,4.2
1987/1/2,5.7,8.7,3.6
1987/1/3,9.3,13.2,6.2
1987/1/4,6.2,11.4,3.3
1987/1/5,3.5,5.1,1.7
1987/1/6,5.2,9.3,1.8
1987/1/7,6.9,11.2,2.0
1987/1/8,7.3,10.2,3.1
1987/1/9,7.0,13.0,1.2
1987/1/10,4.5,7.9,1.3
1987/1/11,1.9,4.5,0.1
1987/1/12,1.3,2.1,0.0
1987/1/13,1.3,3.5,-0.4
1987/1/14,1.7,6.1,-2.2
1987/1/15,4.4,8.8,2.0
1987/1/16,5.6,11.6,0.2
1987/1/17,9.0,14.1,5.4
1987/1/18,4.7,8.9,1.6
1987/1/19,3.9,8.6,1.5
1987/1/20,2.2,5.4,0.5
1987/1/21,2.7,7.2,0.2
1987/1/22,4.0,10.7,-1.7
1987/1/23,8.6,13.6,2.6
1987/1/24,6.5,11.6,1.6
1987/1/25,1.2,3.7,-1.0
1987/1/26,1.9,6.4,-1.5
1987/1/27,4.2,10.0,-0.1
1987/1/28,4.5,10.4,-0.4
1987/1/29,6.1,12.4,0.0
1987/1/30,6.8,15.1,3.3
1987/1/31,3.3,7.0,1.3
1987/2/1,1.7,5.3,-0.9
1987/2/2,0.8,4.3,-1.5
1987/2/3,2.0,4.1,0.6
1987/2/4,1.5,3.1,0.2
1987/2/5,3.9,7.2,2.0
1987/2/6,6.2,11.6,2.0
1987/2/7,6.8,12.3,2.2
1987/2/8,7.4,13.8,2.4
1987/2/9,7.2,14.7,0.9
1987/2/10,9.4,17.9,2.1
1987/2/11,14.8,20.4,7.1
1987/2/12,11.7,18.8,7.0
1987/2/13,7.3,11.8,4.4
1987/2/14,7.1,13.8,2.8
1987/2/15,5.6,9.1,3.2
1987/2/16,5.2,10.3,1.8
1987/2/17,3.4,6.9,1.6
1987/2/18,6.1,9.2,3.3
1987/2/19,3.3,5.9,1.9
1987/2/20,4.1,9.0,1.5
1987/2/21,4.5,9.3,-0.4
1987/2/22,3.1,5.5,0.5
1987/2/23,5.8,10.9,2.8
1987/2/24,8.5,15.0,2.3
1987/2/25,4.1,9.0,-0.1
1987/2/26,1.8,6.7,-1.4
1987/2/27,2.5,7.3,-1.1
1987/2/28,2.6,8.2,-1.9
1987/3/1,2.0,6.5,-0.3
1987/3/2,1.6,5.5,-0.8
1987/3/3,3.8,9.6,-1.4
1987/3/4,7.5,12.6,0.8
1987/3/5,11.7,18.2,5.8
1987/3/6,10.4,16.7,6.1
1987/3/7,2.9,6.2,0.5
1987/3/8,4.0,6.9,2.3
1987/3/9,4.1,7.4,0.8
1987/3/10,5.4,8.3,3.1
1987/3/11,7.1,11.6,4.1
1987/3/12,7.7,13.6,2.3
1987/3/13,9.8,12.4,6.4
1987/3/14,11.0,13.3,7.2
1987/3/15,7.8,12.0,3.7
1987/3/16,6.5,10.9,2.0
1987/3/17,5.8,7.9,4.3
1987/3/18,9.0,13.4,5.7
1987/3/19,10.8,16.8,3.4
1987/3/20,10.8,13.8,5.7
1987/3/21,12.5,19.0,4.2
1987/3/22,15.5,20.6,11.7
1987/3/23,15.9,19.1,12.6
1987/3/24,15.0,18.3,11.0
1987/3/25,6.8,12.0,2.4
1987/3/26,4.9,9.6,0.7
1987/3/27,7.2,13.8,0.3
1987/3/28,8.9,14.2,2.7
1987/3/29,9.9,12.9,6.8
1987/3/30,11.3,15.4,6.0
1987/3/31,7.5,12.5,3.5
1987/4/1,5.4,9.1,0.6
1987/4/2,7.0,8.2,5.3
1987/4/3,10.2,15.9,5.6
1987/4/4,12.3,20.6,4.9
1987/4/5,15.2,24.3,6.8
1987/4/6,15.3,22.7,9.5
1987/4/7,14.1,14.8,13.3
1987/4/8,16.5,24.5,10.9
1987/4/9,16.9,21.1,10.8
1987/4/10,18.3,23.6,15.2
1987/4/11,11.1,16.4,6.6
1987/4/12,7.9,13.1,4.4
1987/4/13,5.4,10.2,1.8
1987/4/14,8.1,15.1,1.3
1987/4/15,11.0,19.8,4.1
1987/4/16,14.1,21.9,5.2
1987/4/17,16.3,22.6,12.0
1987/4/18,16.5,22.7,9.8
1987/4/19,17.2,24.0,10.2
1987/4/20,19.1,26.3,11.3
1987/4/21,18.2,24.1,12.7
1987/4/22,18.5,23.1,15.1
1987/4/23,18.5,25.4,13.1
1987/4/24,15.9,21.9,10.6
1987/4/25,12.4,17.5,6.9
1987/4/26,11.4,13.8,8.5
1987/4/27,12.4,18.9,7.8
1987/4/28,15.2,22.6,7.0
1987/4/29,18.0,27.0,10.4
1987/4/30,18.5,26.4,11.4
1987/5/1,17.0,18.1,15.5
