ダウンロードした時刻：2017/07/24 15:40:55

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/1/1,4.4,7.8,2.2
1986/1/2,2.4,5.1,0.6
1986/1/3,1.7,4.4,-1.7
1986/1/4,3.5,5.7,1.7
1986/1/5,1.0,4.7,-1.1
1986/1/6,0.6,4.8,-2.2
1986/1/7,1.2,6.4,-3.6
1986/1/8,2.7,8.8,-2.3
1986/1/9,2.1,5.4,-0.3
1986/1/10,1.7,6.4,-2.8
1986/1/11,0.7,5.8,-3.3
1986/1/12,0.8,6.6,-3.3
1986/1/13,0.6,5.2,-3.3
1986/1/14,2.0,7.0,-2.0
1986/1/15,3.7,8.9,-1.4
1986/1/16,5.5,10.6,1.2
1986/1/17,5.5,11.6,2.3
1986/1/18,5.0,10.5,0.7
1986/1/19,5.3,12.0,-0.2
1986/1/20,6.1,11.9,1.2
1986/1/21,5.3,9.9,1.9
1986/1/22,1.3,5.6,-0.9
1986/1/23,1.9,5.3,-0.8
1986/1/24,2.3,5.4,-0.1
1986/1/25,1.7,4.3,0.0
1986/1/26,0.8,3.3,-0.1
1986/1/27,0.5,3.3,-1.0
1986/1/28,1.5,6.6,-3.2
1986/1/29,3.4,8.4,-0.7
1986/1/30,3.3,9.0,-1.9
1986/1/31,4.9,10.3,0.8
1986/2/1,3.8,9.6,-0.4
1986/2/2,2.8,8.2,-0.3
1986/2/3,2.1,7.3,-2.5
1986/2/4,1.9,6.6,-1.0
1986/2/5,1.4,6.2,-1.9
1986/2/6,1.9,6.1,-0.8
1986/2/7,1.4,6.8,-3.5
1986/2/8,1.7,7.0,-2.9
1986/2/9,1.3,6.6,-2.2
1986/2/10,1.6,6.5,-2.1
1986/2/11,1.5,4.8,-1.7
1986/2/12,3.4,9.2,-1.3
1986/2/13,4.8,11.5,-1.9
1986/2/14,5.7,8.2,2.9
1986/2/15,5.2,12.3,0.5
1986/2/16,0.2,4.2,-3.0
1986/2/17,1.9,7.3,-3.5
1986/2/18,0.5,1.6,-1.3
1986/2/19,5.1,9.5,1.3
1986/2/20,4.1,9.4,-0.5
1986/2/21,3.6,8.6,0.2
1986/2/22,3.6,8.6,-0.7
1986/2/23,4.0,9.8,-1.5
1986/2/24,2.0,6.6,-0.7
1986/2/25,0.9,5.5,-1.6
1986/2/26,3.5,8.7,-2.4
1986/2/27,4.3,10.2,0.8
1986/2/28,-0.3,1.4,-1.7
1986/3/1,2.5,8.6,-3.1
1986/3/2,3.0,8.7,-1.3
1986/3/3,4.0,9.1,1.1
1986/3/4,3.8,9.8,-1.6
1986/3/5,2.8,9.9,-1.6
1986/3/6,6.5,14.1,-0.2
1986/3/7,8.3,16.3,1.5
1986/3/8,9.3,17.3,2.0
1986/3/9,11.5,18.9,3.9
1986/3/10,11.8,14.3,9.0
1986/3/11,8.1,9.0,5.5
1986/3/12,7.9,13.1,4.6
1986/3/13,9.2,15.5,1.3
1986/3/14,8.1,10.1,7.2
1986/3/15,12.6,19.1,7.8
1986/3/16,10.3,16.0,4.4
1986/3/17,5.8,10.7,2.8
1986/3/18,6.1,10.3,0.8
1986/3/19,8.3,10.7,5.6
1986/3/20,6.9,11.0,4.2
1986/3/21,7.1,12.4,3.2
1986/3/22,7.8,12.6,2.2
1986/3/23,6.5,8.3,5.1
1986/3/24,6.9,11.3,3.6
1986/3/25,6.5,12.8,1.8
1986/3/26,7.9,15.1,0.0
1986/3/27,10.7,17.3,2.5
1986/3/28,9.7,11.4,8.2
1986/3/29,11.3,15.6,7.6
1986/3/30,10.1,13.9,5.7
1986/3/31,10.0,14.7,5.7
1986/4/1,9.3,16.8,2.0
1986/4/2,11.3,19.3,2.8
1986/4/3,12.3,19.4,4.8
1986/4/4,12.2,13.6,10.5
1986/4/5,12.4,18.2,7.1
1986/4/6,10.4,17.8,3.6
1986/4/7,6.3,10.6,3.2
1986/4/8,9.4,17.6,0.7
1986/4/9,13.5,20.6,7.7
1986/4/10,14.3,17.4,12.1
1986/4/11,11.7,14.7,6.9
1986/4/12,10.0,15.6,4.4
1986/4/13,12.3,20.3,4.3
1986/4/14,15.2,24.1,6.1
1986/4/15,12.5,14.8,11.2
1986/4/16,11.6,17.2,6.2
1986/4/17,12.1,19.2,3.3
1986/4/18,14.6,19.5,11.0
1986/4/19,14.7,19.0,12.1
1986/4/20,17.0,21.9,13.5
1986/4/21,17.6,21.9,14.8
1986/4/22,16.8,20.3,14.6
1986/4/23,17.7,23.8,13.6
1986/4/24,17.0,25.0,9.6
1986/4/25,18.8,25.5,12.9
1986/4/26,20.9,28.2,14.4
1986/4/27,18.7,21.2,17.6
1986/4/28,14.6,18.8,12.7
1986/4/29,16.0,21.7,12.5
1986/4/30,16.3,20.7,12.2
1986/5/1,17.1,22.2,13.4
