É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2017/07/24 15:39:35

,âFìsã{,âFìsã{,âFìsã{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2016/1/1,4.7,10.5,-0.5
2016/1/2,4.2,11.1,-0.5
2016/1/3,6.1,14.8,-1.1
2016/1/4,7.7,14.7,0.7
2016/1/5,7.7,15.4,1.5
2016/1/6,5.3,8.9,2.4
2016/1/7,5.1,12.5,0.2
2016/1/8,3.8,10.0,-1.1
2016/1/9,4.8,10.8,-0.8
2016/1/10,6.0,13.8,-1.1
2016/1/11,4.0,9.8,-0.6
2016/1/12,2.2,4.1,-1.6
2016/1/13,1.2,8.0,-4.1
2016/1/14,3.4,10.8,-3.5
2016/1/15,3.3,9.8,-0.8
2016/1/16,3.5,10.6,-2.3
2016/1/17,3.4,7.8,-2.3
2016/1/18,2.3,6.3,0.5
2016/1/19,2.8,7.2,-0.6
2016/1/20,2.0,7.1,-2.7
2016/1/21,1.9,7.9,-3.4
2016/1/22,2.2,8.6,-2.6
2016/1/23,0.3,4.4,-3.4
2016/1/24,0.8,6.2,-3.1
2016/1/25,-0.1,6.8,-6.2
2016/1/26,1.0,8.2,-5.4
2016/1/27,3.0,11.9,-3.9
2016/1/28,5.1,12.5,-2.4
2016/1/29,3.5,6.5,0.3
2016/1/30,1.6,3.3,0.0
2016/1/31,2.8,8.2,-1.8
2016/2/1,3.1,5.9,1.3
2016/2/2,2.9,8.9,-2.4
2016/2/3,1.8,8.2,-4.3
2016/2/4,2.2,8.8,-2.9
2016/2/5,4.3,12.1,-2.5
2016/2/6,4.6,9.6,2.3
2016/2/7,2.5,7.7,-1.6
2016/2/8,1.4,6.7,-2.5
2016/2/9,3.2,11.8,-3.5
2016/2/10,3.0,8.9,-1.7
2016/2/11,2.9,9.3,-3.5
2016/2/12,4.4,11.0,-2.6
2016/2/13,10.4,17.1,4.7
2016/2/14,14.1,21.5,10.6
2016/2/15,5.0,11.2,-1.0
2016/2/16,2.5,8.3,-2.6
2016/2/17,2.9,11.0,-2.6
2016/2/18,3.3,9.5,-3.4
2016/2/19,8.0,16.8,-0.5
2016/2/20,7.5,11.1,5.9
2016/2/21,8.0,15.1,3.4
2016/2/22,4.7,10.6,-0.6
2016/2/23,5.9,9.7,3.2
2016/2/24,4.6,9.9,-0.6
2016/2/25,2.2,7.9,-1.7
2016/2/26,3.9,11.6,-2.5
2016/2/27,4.8,11.8,-2.0
2016/2/28,5.9,14.4,-0.3
2016/2/29,5.8,11.3,1.8
2016/3/1,3.3,8.3,-0.7
2016/3/2,3.9,11.4,-3.8
2016/3/3,7.2,16.7,-1.5
2016/3/4,7.0,14.1,1.1
2016/3/5,7.9,11.6,4.9
2016/3/6,12.1,16.5,6.4
2016/3/7,13.2,14.9,11.9
2016/3/8,14.3,19.4,10.4
2016/3/9,6.6,13.5,1.9
2016/3/10,5.0,7.9,2.7
2016/3/11,3.2,6.1,1.3
2016/3/12,4.1,8.4,1.3
2016/3/13,5.5,8.2,2.2
2016/3/14,5.0,6.5,4.2
2016/3/15,6.9,13.4,0.7
2016/3/16,6.3,12.5,-1.1
2016/3/17,11.7,20.4,3.1
2016/3/18,13.0,19.9,4.9
2016/3/19,14.4,19.1,12.0
2016/3/20,11.3,17.0,7.1
2016/3/21,7.7,13.7,3.2
2016/3/22,8.4,15.5,0.5
2016/3/23,7.8,14.7,3.5
2016/3/24,5.3,11.2,2.3
2016/3/25,5.0,11.4,-0.8
2016/3/26,6.7,13.3,1.0
2016/3/27,9.2,15.0,5.2
2016/3/28,10.7,17.8,7.5
2016/3/29,10.9,18.0,3.8
2016/3/30,13.4,19.7,6.7
2016/3/31,14.2,20.6,6.0
2016/4/1,12.1,19.5,8.7
2016/4/2,10.3,13.4,7.5
2016/4/3,13.7,18.6,9.9
2016/4/4,13.8,18.1,9.9
2016/4/5,9.5,12.3,6.7
2016/4/6,12.6,20.7,3.5
2016/4/7,11.4,12.2,10.5
2016/4/8,14.4,21.0,8.2
2016/4/9,15.2,23.3,7.3
2016/4/10,14.9,21.4,9.4
2016/4/11,9.7,16.7,4.9
2016/4/12,9.0,14.9,2.9
2016/4/13,11.7,16.0,8.1
2016/4/14,15.4,20.0,12.1
2016/4/15,13.9,19.0,7.2
2016/4/16,12.7,18.8,4.4
2016/4/17,17.8,24.6,11.2
2016/4/18,16.5,22.8,12.7
2016/4/19,13.9,22.3,9.1
2016/4/20,12.5,18.6,6.1
2016/4/21,13.5,18.3,8.7
2016/4/22,16.5,25.4,12.0
2016/4/23,16.6,21.7,12.0
2016/4/24,15.3,20.0,12.4
2016/4/25,16.4,22.3,12.4
2016/4/26,18.6,25.2,11.4
2016/4/27,16.4,21.2,14.1
2016/4/28,13.2,14.3,11.5
2016/4/29,13.5,19.9,8.2
2016/4/30,13.5,21.3,5.1
2016/5/1,17.4,24.7,11.2
