ダウンロードした時刻：2017/07/24 15:47:51

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,4.2,8.3,0.9
2009/1/2,5.7,12.3,0.9
2009/1/3,5.9,13.1,0.2
2009/1/4,8.1,15.6,0.9
2009/1/5,10.1,14.8,6.3
2009/1/6,7.6,13.4,2.6
2009/1/7,9.0,15.9,4.3
2009/1/8,8.9,12.2,6.5
2009/1/9,8.0,12.3,2.5
2009/1/10,4.6,8.7,1.3
2009/1/11,5.2,11.1,-0.9
2009/1/12,5.5,8.0,2.4
2009/1/13,4.4,9.2,-0.1
2009/1/14,4.7,11.2,-1.8
2009/1/15,4.4,9.6,0.5
2009/1/16,5.9,14.1,-1.3
2009/1/17,7.0,15.5,0.5
2009/1/18,10.7,15.7,5.0
2009/1/19,11.3,15.7,6.0
2009/1/20,9.2,14.4,4.5
2009/1/21,11.1,15.1,7.5
2009/1/22,10.4,12.0,9.1
2009/1/23,8.8,13.6,4.6
2009/1/24,3.1,6.9,-0.1
2009/1/25,4.1,10.1,-1.6
2009/1/26,7.4,11.3,2.1
2009/1/27,8.2,12.5,5.5
2009/1/28,8.2,14.1,1.3
2009/1/29,13.7,18.2,9.3
2009/1/30,16.5,18.2,13.8
2009/1/31,12.5,16.8,5.3
2009/2/1,7.2,13.2,1.9
2009/2/2,8.2,14.3,1.8
2009/2/3,10.7,12.5,9.0
2009/2/4,11.2,15.0,9.1
2009/2/5,11.0,16.7,6.0
2009/2/6,10.3,15.3,5.7
2009/2/7,11.0,18.9,4.7
2009/2/8,9.9,15.8,3.9
2009/2/9,10.2,18.2,4.2
2009/2/10,10.6,17.1,6.1
2009/2/11,11.2,18.1,4.5
2009/2/12,11.3,18.6,3.7
2009/2/13,15.3,23.7,7.2
2009/2/14,18.3,23.5,13.7
2009/2/15,14.9,20.0,11.2
2009/2/16,10.8,14.8,5.9
2009/2/17,6.9,11.1,4.2
2009/2/18,7.0,12.9,2.6
2009/2/19,6.0,8.5,2.8
2009/2/20,12.2,18.6,5.3
2009/2/21,7.1,12.3,1.3
2009/2/22,7.7,11.8,2.9
2009/2/23,15.0,18.1,11.5
2009/2/24,13.5,16.7,10.7
2009/2/25,17.2,23.2,14.0
2009/2/26,13.5,15.3,11.2
2009/2/27,11.4,12.9,10.3
2009/2/28,11.8,15.0,9.6
2009/3/1,11.8,15.8,9.2
2009/3/2,10.5,14.6,5.2
2009/3/3,9.7,12.6,7.5
2009/3/4,11.2,17.0,8.7
2009/3/5,11.9,14.0,9.6
2009/3/6,14.9,21.1,9.6
2009/3/7,10.8,13.9,7.9
2009/3/8,10.6,13.8,8.7
2009/3/9,10.2,12.4,8.9
2009/3/10,12.5,20.0,5.0
2009/3/11,11.9,16.3,7.7
2009/3/12,11.4,16.0,5.2
2009/3/13,14.8,16.7,12.3
2009/3/14,7.8,12.3,3.7
2009/3/15,8.4,17.3,0.3
2009/3/16,13.1,21.1,4.6
2009/3/17,15.4,21.6,10.0
2009/3/18,15.2,21.3,8.6
2009/3/19,15.8,19.6,12.8
2009/3/20,17.3,23.2,9.8
2009/3/21,14.5,20.2,7.7
2009/3/22,17.2,21.4,14.8
2009/3/23,14.9,18.3,11.0
2009/3/24,14.6,18.1,11.6
2009/3/25,12.0,16.9,6.4
2009/3/26,8.8,13.6,2.6
2009/3/27,12.1,18.5,5.5
2009/3/28,9.7,11.8,8.1
2009/3/29,10.1,12.8,7.6
2009/3/30,9.6,12.1,7.4
2009/3/31,10.0,12.2,8.1
2009/4/1,10.7,16.6,5.3
2009/4/2,9.6,15.6,3.0
2009/4/3,12.0,17.0,5.6
2009/4/4,15.0,19.3,12.1
2009/4/5,13.1,15.1,9.7
2009/4/6,14.2,20.6,8.0
2009/4/7,14.7,20.7,8.3
2009/4/8,15.9,21.7,9.4
2009/4/9,16.8,22.7,11.2
2009/4/10,16.5,22.7,9.9
2009/4/11,17.5,23.4,11.8
2009/4/12,18.2,23.7,12.8
2009/4/13,19.0,24.7,13.7
2009/4/14,19.6,26.1,15.9
2009/4/15,17.6,22.4,12.6
2009/4/16,19.6,26.4,14.3
2009/4/17,17.7,19.8,14.9
2009/4/18,18.6,23.3,13.8
2009/4/19,19.3,24.8,14.4
2009/4/20,18.3,21.1,14.4
2009/4/21,20.0,24.9,15.5
2009/4/22,17.7,23.7,11.2
2009/4/23,16.3,20.3,12.0
2009/4/24,16.3,20.7,11.3
2009/4/25,17.5,24.6,12.7
2009/4/26,14.6,19.4,11.5
2009/4/27,12.7,17.5,8.5
2009/4/28,13.7,19.2,7.6
2009/4/29,14.9,21.1,7.8
2009/4/30,16.2,22.0,9.1
2009/5/1,16.5,22.1,10.0
