ダウンロードした時刻：2017/07/24 15:41:54

,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,9.2,15.3,4.6
1989/1/2,7.9,15.5,1.4
1989/1/3,7.0,12.9,0.5
1989/1/4,6.6,11.5,0.4
1989/1/5,5.9,11.3,0.9
1989/1/6,5.9,11.5,-0.4
1989/1/7,9.8,14.1,4.5
1989/1/8,11.7,13.6,9.8
1989/1/9,11.5,12.3,10.6
1989/1/10,12.4,15.6,7.5
1989/1/11,11.5,14.4,9.3
1989/1/12,11.4,13.5,8.9
1989/1/13,7.6,10.5,5.6
1989/1/14,7.5,9.5,5.5
1989/1/15,6.9,8.6,4.7
1989/1/16,6.6,10.8,2.4
1989/1/17,7.0,12.8,1.9
1989/1/18,9.2,13.2,2.8
1989/1/19,13.6,17.2,8.8
1989/1/20,16.1,18.3,11.5
1989/1/21,12.2,16.8,7.2
1989/1/22,10.7,14.7,6.2
1989/1/23,8.2,10.6,6.8
1989/1/24,8.4,15.2,3.5
1989/1/25,7.4,13.0,1.0
1989/1/26,9.2,12.1,6.3
1989/1/27,8.1,13.4,3.9
1989/1/28,4.1,8.1,-0.8
1989/1/29,3.9,9.9,-2.6
1989/1/30,6.5,12.6,-0.9
1989/1/31,11.2,16.3,4.5
1989/2/1,10.2,12.7,6.8
1989/2/2,5.1,9.4,0.0
1989/2/3,4.3,10.4,-1.2
1989/2/4,4.8,10.3,-1.3
1989/2/5,6.8,11.5,1.4
1989/2/6,6.3,12.2,0.3
1989/2/7,8.3,14.5,2.1
1989/2/8,8.8,11.5,4.5
1989/2/9,12.8,16.7,9.8
1989/2/10,8.0,11.2,4.1
1989/2/11,5.6,10.0,0.9
1989/2/12,6.5,11.3,0.0
1989/2/13,6.1,10.8,1.9
1989/2/14,6.6,12.2,-0.2
1989/2/15,8.7,13.5,2.0
1989/2/16,11.8,15.5,7.0
1989/2/17,13.0,16.7,9.4
1989/2/18,8.2,9.7,6.9
1989/2/19,8.2,10.3,5.9
1989/2/20,10.5,15.0,7.0
1989/2/21,10.8,16.5,6.0
1989/2/22,8.2,10.1,7.5
1989/2/23,7.2,9.5,5.8
1989/2/24,7.4,8.9,5.1
1989/2/25,7.8,8.8,7.4
1989/2/26,11.4,16.1,6.5
1989/2/27,8.6,12.3,4.0
1989/2/28,12.3,16.4,5.8
1989/3/1,15.2,18.6,11.7
1989/3/2,9.9,14.2,7.1
1989/3/3,11.3,14.8,6.0
1989/3/4,15.0,19.8,10.9
1989/3/5,10.0,15.1,7.2
1989/3/6,8.8,12.7,6.1
1989/3/7,7.6,11.7,4.2
1989/3/8,6.7,12.0,2.2
1989/3/9,6.2,11.0,1.3
1989/3/10,7.0,12.3,1.1
1989/3/11,8.5,13.7,1.3
1989/3/12,10.5,15.4,3.8
1989/3/13,9.4,11.5,6.8
1989/3/14,13.2,17.4,9.2
1989/3/15,12.1,18.0,5.9
1989/3/16,9.7,13.4,6.4
1989/3/17,9.7,14.9,4.8
1989/3/18,8.2,14.1,0.4
1989/3/19,8.6,13.6,2.2
1989/3/20,9.8,16.3,3.3
1989/3/21,9.8,14.7,3.1
1989/3/22,8.0,10.4,5.9
1989/3/23,9.8,15.1,3.6
1989/3/24,9.2,10.2,8.4
1989/3/25,14.5,21.3,8.5
1989/3/26,12.2,15.2,7.6
1989/3/27,11.0,14.4,9.1
1989/3/28,11.9,17.8,8.8
1989/3/29,10.6,14.8,6.7
1989/3/30,10.5,14.9,3.9
1989/3/31,10.9,12.5,8.5
1989/4/1,15.3,23.4,8.0
1989/4/2,12.8,16.3,7.1
1989/4/3,12.6,14.5,11.0
1989/4/4,13.7,18.3,8.7
1989/4/5,15.3,20.5,11.4
1989/4/6,14.2,18.3,11.3
1989/4/7,14.9,20.1,9.4
1989/4/8,14.1,15.6,12.3
1989/4/9,16.7,20.4,13.8
1989/4/10,15.9,18.5,13.8
1989/4/11,14.6,19.1,9.8
1989/4/12,11.3,15.5,7.3
1989/4/13,13.3,19.2,5.9
1989/4/14,15.6,20.5,6.8
1989/4/15,14.6,16.3,13.5
1989/4/16,18.2,22.8,14.4
1989/4/17,17.2,22.8,11.1
1989/4/18,17.9,26.9,7.8
1989/4/19,17.3,22.6,11.3
1989/4/20,17.1,21.6,13.1
1989/4/21,15.7,20.6,12.0
1989/4/22,16.1,19.8,10.9
1989/4/23,14.6,15.7,13.6
1989/4/24,15.6,18.0,12.5
1989/4/25,14.5,18.5,11.5
1989/4/26,15.4,20.1,10.2
1989/4/27,16.6,21.6,10.3
1989/4/28,15.3,19.3,10.1
1989/4/29,12.8,16.6,7.5
1989/4/30,15.0,19.6,8.5
1989/5/1,13.8,16.3,12.0
