ダウンロードした時刻：2017/07/24 15:44:18

,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1987/1/1,6.8,10.3,4.4
1987/1/2,5.9,8.1,3.6
1987/1/3,10.5,15.3,6.6
1987/1/4,7.0,11.3,3.0
1987/1/5,3.5,5.5,2.0
1987/1/6,6.6,11.7,2.2
1987/1/7,6.4,11.1,0.5
1987/1/8,7.5,11.5,3.3
1987/1/9,7.9,13.1,2.5
1987/1/10,4.9,9.5,1.9
1987/1/11,3.1,5.8,1.1
1987/1/12,2.1,4.3,0.0
1987/1/13,1.3,4.8,-1.2
1987/1/14,2.6,6.5,-2.5
1987/1/15,5.8,10.6,2.9
1987/1/16,6.5,11.2,0.7
1987/1/17,8.6,14.6,4.3
1987/1/18,5.4,9.4,0.8
1987/1/19,4.1,8.7,1.4
1987/1/20,2.4,5.9,-0.8
1987/1/21,2.8,8.3,-3.1
1987/1/22,4.0,9.2,-1.3
1987/1/23,6.7,10.8,1.7
1987/1/24,6.1,10.5,2.1
1987/1/25,1.7,5.7,-0.9
1987/1/26,2.2,6.9,-4.1
1987/1/27,4.6,9.9,-0.1
1987/1/28,4.8,10.7,-0.9
1987/1/29,6.5,12.6,-0.2
1987/1/30,8.1,14.9,3.2
1987/1/31,4.2,9.0,0.3
1987/2/1,3.5,6.8,0.1
1987/2/2,1.5,2.7,0.1
1987/2/3,2.6,5.5,-0.6
1987/2/4,3.2,5.9,1.4
1987/2/5,6.0,9.9,1.9
1987/2/6,7.0,11.2,2.1
1987/2/7,8.4,14.2,2.1
1987/2/8,7.9,14.2,2.4
1987/2/9,7.9,15.0,0.7
1987/2/10,9.3,16.9,2.7
1987/2/11,12.4,19.7,5.5
1987/2/12,9.9,13.8,6.4
1987/2/13,6.6,10.5,3.0
1987/2/14,8.0,14.8,2.3
1987/2/15,6.8,11.2,3.5
1987/2/16,6.1,11.7,0.2
1987/2/17,3.7,5.6,2.7
1987/2/18,7.5,12.0,3.8
1987/2/19,4.3,6.3,2.6
1987/2/20,4.5,9.0,-0.2
1987/2/21,4.6,7.3,1.4
1987/2/22,3.9,6.7,0.8
1987/2/23,6.9,12.9,1.4
1987/2/24,8.9,14.7,2.6
1987/2/25,2.9,8.8,-0.3
1987/2/26,1.5,5.7,-0.9
1987/2/27,1.9,6.3,-1.2
1987/2/28,2.9,7.8,-2.9
1987/3/1,3.3,7.5,0.8
1987/3/2,2.7,7.1,-1.7
1987/3/3,5.0,11.3,-2.0
1987/3/4,7.9,13.7,1.3
1987/3/5,11.4,17.4,4.2
1987/3/6,12.3,18.4,7.7
1987/3/7,3.0,7.8,1.0
1987/3/8,5.7,9.1,1.6
1987/3/9,5.5,9.1,3.7
1987/3/10,4.9,7.8,-0.1
1987/3/11,6.5,11.0,1.7
1987/3/12,7.9,12.0,2.5
1987/3/13,9.5,11.3,7.0
1987/3/14,10.2,12.2,6.2
1987/3/15,7.6,12.0,1.8
1987/3/16,8.7,13.9,1.8
1987/3/17,6.6,7.8,5.9
1987/3/18,11.0,15.5,6.1
1987/3/19,10.8,14.8,4.6
1987/3/20,11.8,15.1,7.3
1987/3/21,11.3,18.3,3.5
1987/3/22,14.7,19.3,8.7
1987/3/23,14.6,15.4,13.3
1987/3/24,14.5,18.6,10.9
1987/3/25,7.4,11.4,2.7
1987/3/26,5.4,10.3,0.4
1987/3/27,6.4,12.7,-0.1
1987/3/28,8.5,13.0,2.8
1987/3/29,8.8,11.1,6.4
1987/3/30,8.5,10.4,4.9
1987/3/31,7.7,10.7,3.4
1987/4/1,4.4,7.7,0.0
1987/4/2,5.7,8.2,3.3
1987/4/3,10.5,16.1,5.7
1987/4/4,12.7,19.7,4.9
1987/4/5,14.9,22.2,7.0
1987/4/6,14.3,18.2,10.2
1987/4/7,13.4,13.9,12.5
1987/4/8,16.0,23.2,10.0
1987/4/9,14.7,18.7,10.6
1987/4/10,17.5,22.1,13.9
1987/4/11,12.5,17.4,7.9
1987/4/12,8.6,11.9,5.7
1987/4/13,6.7,11.7,1.9
1987/4/14,8.5,14.1,1.5
1987/4/15,12.3,17.9,6.2
1987/4/16,13.4,19.4,5.0
1987/4/17,16.0,20.9,11.5
1987/4/18,16.7,22.7,10.3
1987/4/19,17.8,25.0,10.9
1987/4/20,18.8,26.0,12.5
1987/4/21,17.8,21.4,13.4
1987/4/22,17.3,21.7,13.7
1987/4/23,18.1,24.5,11.1
1987/4/24,17.3,23.3,12.6
1987/4/25,11.8,15.8,7.9
1987/4/26,12.1,15.6,9.3
1987/4/27,11.8,18.5,5.6
1987/4/28,15.2,23.0,7.1
1987/4/29,18.0,26.3,10.5
1987/4/30,17.0,22.7,11.4
1987/5/1,16.7,18.5,15.4
