ダウンロードした時刻：2017/07/24 15:45:36

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/1/1,4.9,9.2,-0.1
1984/1/2,4.7,11.3,-1.5
1984/1/3,6.1,12.4,-0.1
1984/1/4,4.6,7.2,3.0
1984/1/5,3.1,6.3,0.6
1984/1/6,3.6,8.0,-2.2
1984/1/7,4.2,7.6,-0.3
1984/1/8,3.3,8.1,-0.1
1984/1/9,5.5,9.2,-0.6
1984/1/10,9.1,11.6,5.7
1984/1/11,6.3,10.2,3.0
1984/1/12,4.5,8.2,0.4
1984/1/13,5.4,10.2,0.4
1984/1/14,5.8,10.1,2.2
1984/1/15,5.0,12.0,0.3
1984/1/16,2.3,4.3,0.5
1984/1/17,2.4,5.1,0.8
1984/1/18,1.4,5.2,-2.8
1984/1/19,1.1,2.5,-0.1
1984/1/20,0.5,4.4,-3.8
1984/1/21,1.6,3.1,-0.7
1984/1/22,3.5,8.5,0.6
1984/1/23,2.9,6.5,-0.1
1984/1/24,2.6,6.9,-1.8
1984/1/25,1.5,4.9,-1.0
1984/1/26,0.6,3.1,-0.9
1984/1/27,1.8,5.3,-0.6
1984/1/28,2.0,4.9,0.1
1984/1/29,1.1,5.2,-2.6
1984/1/30,1.5,5.5,-3.5
1984/1/31,1.1,3.1,0.2
1984/2/1,2.6,6.8,-1.4
1984/2/2,2.9,8.8,-2.2
1984/2/3,0.9,4.0,-1.1
1984/2/4,0.0,3.3,-2.7
1984/2/5,2.2,6.2,-2.4
1984/2/6,1.2,4.6,-2.5
1984/2/7,-1.2,1.1,-2.6
1984/2/8,0.3,3.7,-3.4
1984/2/9,1.1,4.9,-1.0
1984/2/10,1.6,5.6,-2.6
1984/2/11,0.4,5.0,-3.4
1984/2/12,0.4,2.5,-3.2
1984/2/13,3.5,8.2,-2.5
1984/2/14,4.2,8.7,0.5
1984/2/15,3.3,7.1,-0.3
1984/2/16,2.9,7.5,-0.6
1984/2/17,1.0,2.4,-0.8
1984/2/18,3.9,6.8,0.2
1984/2/19,2.9,6.7,-0.2
1984/2/20,2.7,8.6,-2.5
1984/2/21,4.2,10.5,-2.1
1984/2/22,4.9,9.8,0.4
1984/2/23,6.5,8.6,4.2
1984/2/24,5.7,8.6,1.7
1984/2/25,4.8,8.6,-0.2
1984/2/26,7.1,9.6,4.7
1984/2/27,3.3,6.1,0.2
1984/2/28,2.6,6.2,-1.0
1984/2/29,1.2,5.5,-1.1
1984/3/1,1.9,6.6,-3.3
1984/3/2,4.6,10.2,-1.7
1984/3/3,1.5,6.5,-1.9
1984/3/4,3.0,7.0,-1.2
1984/3/5,3.4,8.2,-1.7
1984/3/6,3.2,7.1,-1.9
1984/3/7,4.5,8.6,0.4
1984/3/8,5.0,9.7,-0.1
1984/3/9,4.6,8.8,-0.3
1984/3/10,5.3,10.3,2.1
1984/3/11,3.9,8.6,-0.2
1984/3/12,6.7,13.1,-3.2
1984/3/13,6.1,7.9,4.8
1984/3/14,2.0,5.4,0.6
1984/3/15,4.1,8.0,-0.8
1984/3/16,7.3,9.3,4.7
1984/3/17,8.4,11.8,5.7
1984/3/18,8.5,13.5,3.7
1984/3/19,3.0,6.7,0.6
1984/3/20,6.2,11.1,2.8
1984/3/21,2.9,7.3,-0.2
1984/3/22,2.9,7.5,-1.4
1984/3/23,3.4,9.4,-2.6
1984/3/24,4.9,9.9,0.4
1984/3/25,7.9,14.2,2.3
1984/3/26,8.7,14.5,3.3
1984/3/27,8.7,16.6,0.1
1984/3/28,8.8,14.8,4.0
1984/3/29,10.2,18.8,1.0
1984/3/30,11.3,17.5,3.0
1984/3/31,11.8,17.1,8.5
1984/4/1,8.5,10.9,7.1
1984/4/2,9.3,14.6,6.4
1984/4/3,10.5,14.3,5.9
1984/4/4,11.6,14.9,7.5
1984/4/5,14.3,18.9,10.8
1984/4/6,10.9,15.6,7.1
1984/4/7,7.7,14.5,1.8
1984/4/8,8.7,15.0,1.5
1984/4/9,9.8,13.6,3.8
1984/4/10,11.2,13.1,9.1
1984/4/11,12.4,19.0,7.8
1984/4/12,11.0,17.6,4.1
1984/4/13,11.2,17.0,6.0
1984/4/14,11.8,17.9,5.7
1984/4/15,12.9,19.3,5.2
1984/4/16,13.9,17.8,10.9
1984/4/17,15.2,22.8,9.1
1984/4/18,16.8,22.7,10.6
1984/4/19,13.9,17.9,9.7
1984/4/20,11.6,14.9,10.0
1984/4/21,11.1,13.5,9.1
1984/4/22,11.5,15.5,7.7
1984/4/23,12.3,20.2,4.6
1984/4/24,12.7,21.0,3.0
1984/4/25,13.5,18.8,5.8
1984/4/26,17.4,21.0,11.4
1984/4/27,17.1,23.3,10.9
1984/4/28,14.8,20.7,9.0
1984/4/29,17.2,22.7,9.6
1984/4/30,15.6,19.3,13.2
1984/5/1,14.4,18.9,10.7
