ダウンロードした時刻：2017/07/24 15:42:06

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,8.6,12.6,6.0
2000/1/2,6.9,8.8,4.1
2000/1/3,9.2,16.5,4.0
2000/1/4,9.8,14.0,7.2
2000/1/5,9.3,11.6,6.3
2000/1/6,10.5,13.3,8.2
2000/1/7,12.4,16.9,8.8
2000/1/8,9.9,12.2,7.1
2000/1/9,9.1,11.6,4.9
2000/1/10,10.8,15.4,7.4
2000/1/11,8.1,11.5,5.2
2000/1/12,3.8,6.1,2.3
2000/1/13,7.1,10.6,2.8
2000/1/14,11.7,16.6,8.5
2000/1/15,9.1,11.2,7.3
2000/1/16,7.8,9.8,5.1
2000/1/17,5.7,7.9,2.5
2000/1/18,8.2,11.5,6.0
2000/1/19,5.5,7.1,3.5
2000/1/20,7.6,12.2,3.4
2000/1/21,3.9,6.8,1.4
2000/1/22,5.0,8.9,1.1
2000/1/23,6.6,11.6,1.8
2000/1/24,8.5,12.9,4.7
2000/1/25,5.5,8.8,2.6
2000/1/26,4.1,8.0,1.2
2000/1/27,3.1,6.1,0.1
2000/1/28,4.6,9.5,-0.7
2000/1/29,6.8,10.8,0.9
2000/1/30,9.1,15.6,2.8
2000/1/31,6.8,10.4,3.8
2000/2/1,5.7,9.5,3.2
2000/2/2,7.3,11.6,3.4
2000/2/3,7.5,11.4,3.7
2000/2/4,7.3,11.8,4.4
2000/2/5,7.3,10.3,3.2
2000/2/6,7.3,10.1,3.8
2000/2/7,9.4,14.5,4.0
2000/2/8,7.5,13.5,0.7
2000/2/9,5.6,10.0,1.9
2000/2/10,6.1,10.8,2.2
2000/2/11,6.4,11.1,1.0
2000/2/12,8.7,12.7,4.4
2000/2/13,8.6,11.3,5.6
2000/2/14,7.0,9.7,5.1
2000/2/15,5.2,10.2,2.0
2000/2/16,3.0,7.0,0.0
2000/2/17,4.8,8.7,1.1
2000/2/18,4.6,8.6,1.0
2000/2/19,5.4,7.4,2.7
2000/2/20,4.4,6.7,2.4
2000/2/21,5.2,9.0,1.7
2000/2/22,4.6,9.0,1.3
2000/2/23,6.2,9.1,2.3
2000/2/24,5.1,10.5,1.5
2000/2/25,3.3,7.1,0.1
2000/2/26,2.7,4.4,1.8
2000/2/27,5.1,9.2,0.6
2000/2/28,7.1,12.8,2.8
2000/2/29,4.2,8.7,0.9
2000/3/1,6.1,11.2,1.7
2000/3/2,7.8,13.1,1.5
2000/3/3,11.1,15.2,6.0
2000/3/4,11.3,15.9,8.1
2000/3/5,12.2,15.9,8.1
2000/3/6,7.2,10.0,5.6
2000/3/7,10.1,16.5,3.6
2000/3/8,7.7,12.0,4.6
2000/3/9,5.6,10.8,1.9
2000/3/10,5.5,9.4,1.6
2000/3/11,7.4,10.7,2.4
2000/3/12,7.5,9.8,5.1
2000/3/13,8.8,14.9,4.5
2000/3/14,7.1,11.4,3.4
2000/3/15,8.5,11.9,4.4
2000/3/16,7.4,10.2,5.1
2000/3/17,9.3,13.3,5.2
2000/3/18,10.2,14.6,5.1
2000/3/19,12.8,16.2,7.0
2000/3/20,9.9,13.0,5.8
2000/3/21,7.0,9.8,3.6
2000/3/22,8.9,13.1,5.4
2000/3/23,9.9,14.4,5.1
2000/3/24,11.5,15.8,6.5
2000/3/25,8.6,12.4,4.7
2000/3/26,7.2,12.1,4.1
2000/3/27,9.5,14.2,3.2
2000/3/28,12.0,16.7,7.6
2000/3/29,16.1,19.9,12.8
2000/3/30,14.0,18.6,9.6
2000/3/31,13.4,17.0,8.8
2000/4/1,12.7,15.5,10.2
2000/4/2,12.2,15.6,8.3
2000/4/3,10.1,12.6,8.4
2000/4/4,11.8,16.6,6.4
2000/4/5,11.9,14.2,9.7
2000/4/6,14.1,16.6,12.4
2000/4/7,14.8,19.6,10.9
2000/4/8,15.6,20.7,11.5
2000/4/9,13.8,18.6,9.5
2000/4/10,15.9,18.2,13.8
2000/4/11,13.5,17.5,10.6
2000/4/12,15.7,21.1,9.0
2000/4/13,17.2,22.4,12.9
2000/4/14,18.5,23.6,12.7
2000/4/15,12.0,17.3,8.1
2000/4/16,10.2,14.0,7.2
2000/4/17,12.3,17.1,8.0
2000/4/18,14.6,19.5,9.2
2000/4/19,16.6,21.1,12.8
2000/4/20,11.8,14.0,9.8
2000/4/21,14.0,17.4,11.0
2000/4/22,19.1,24.0,14.8
2000/4/23,18.5,24.1,13.1
2000/4/24,14.1,20.2,10.5
2000/4/25,15.1,20.3,9.0
2000/4/26,14.3,16.6,13.0
2000/4/27,15.6,20.3,11.8
2000/4/28,15.8,20.1,12.4
2000/4/29,16.6,22.0,11.5
2000/4/30,16.9,21.4,11.9
2000/5/1,18.3,21.4,16.1
