ダウンロードした時刻：2017/07/24 15:44:08

,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.4,9.5,2.3
1985/1/2,5.9,10.8,1.1
1985/1/3,5.8,9.5,3.0
1985/1/4,4.6,9.1,2.4
1985/1/5,3.8,7.6,0.7
1985/1/6,2.6,7.8,-0.4
1985/1/7,2.7,8.0,-0.7
1985/1/8,3.9,8.8,-0.9
1985/1/9,4.4,9.5,-0.3
1985/1/10,4.9,8.3,1.5
1985/1/11,3.9,9.1,-0.4
1985/1/12,4.3,9.1,0.1
1985/1/13,2.0,6.2,-2.4
1985/1/14,-2.1,0.4,-3.2
1985/1/15,2.2,5.9,-2.6
1985/1/16,4.2,8.1,0.0
1985/1/17,1.9,6.8,-2.0
1985/1/18,2.9,6.6,0.0
1985/1/19,3.7,7.5,-1.1
1985/1/20,5.9,9.8,2.8
1985/1/21,5.2,9.8,1.2
1985/1/22,5.1,9.8,-0.8
1985/1/23,8.3,12.5,5.5
1985/1/24,4.7,9.2,1.9
1985/1/25,3.4,8.9,0.6
1985/1/26,3.4,8.2,0.4
1985/1/27,4.4,8.4,-1.2
1985/1/28,4.6,7.8,1.3
1985/1/29,1.9,6.1,-1.2
1985/1/30,-0.8,4.3,-2.7
1985/1/31,1.9,7.9,-4.8
1985/2/1,7.5,10.3,4.7
1985/2/2,7.4,12.4,2.9
1985/2/3,7.6,14.8,1.4
1985/2/4,7.6,11.8,2.6
1985/2/5,7.6,9.2,6.2
1985/2/6,6.6,8.8,4.7
1985/2/7,8.0,14.1,2.7
1985/2/8,7.7,10.9,5.5
1985/2/9,10.0,12.4,7.7
1985/2/10,6.6,9.5,3.7
1985/2/11,6.7,10.4,2.4
1985/2/12,6.3,10.2,3.1
1985/2/13,5.5,11.2,2.0
1985/2/14,4.2,8.0,1.3
1985/2/15,4.2,9.0,-0.4
1985/2/16,5.7,8.6,3.2
1985/2/17,5.2,8.0,2.8
1985/2/18,4.9,9.3,2.1
1985/2/19,5.3,7.0,3.5
1985/2/20,5.9,10.5,3.1
1985/2/21,2.0,5.3,-0.3
1985/2/22,1.3,3.7,-0.8
1985/2/23,2.4,6.8,-0.1
1985/2/24,1.3,6.2,-1.4
1985/2/25,3.4,8.1,-1.4
1985/2/26,5.1,8.3,1.9
1985/2/27,4.9,7.6,3.7
1985/2/28,5.9,7.3,3.8
1985/3/1,9.0,12.0,6.2
1985/3/2,7.3,8.2,5.7
1985/3/3,7.7,12.0,3.3
1985/3/4,6.4,10.7,1.6
1985/3/5,7.5,10.5,5.3
1985/3/6,6.9,12.5,1.9
1985/3/7,8.0,12.3,3.1
1985/3/8,9.9,13.8,7.2
1985/3/9,8.8,13.0,5.4
1985/3/10,7.7,11.9,3.0
1985/3/11,4.6,7.9,3.6
1985/3/12,6.6,12.7,3.1
1985/3/13,6.3,9.4,2.5
1985/3/14,8.1,11.5,5.4
1985/3/15,8.1,12.3,4.7
1985/3/16,8.1,11.6,2.4
1985/3/17,10.5,11.7,9.1
1985/3/18,12.0,17.4,7.0
1985/3/19,9.2,12.0,7.0
1985/3/20,8.6,12.9,3.9
1985/3/21,10.2,17.4,6.6
1985/3/22,10.2,15.1,5.2
1985/3/23,9.7,13.9,6.8
1985/3/24,10.1,16.6,4.2
1985/3/25,11.5,14.3,7.3
1985/3/26,15.9,21.0,13.7
1985/3/27,11.0,13.9,9.9
1985/3/28,12.9,16.9,10.0
1985/3/29,10.9,15.7,7.3
1985/3/30,8.0,12.3,4.8
1985/3/31,5.9,10.6,2.8
1985/4/1,7.3,12.7,0.9
1985/4/2,9.7,16.3,3.5
1985/4/3,10.7,13.0,7.2
1985/4/4,13.8,17.9,10.6
1985/4/5,11.7,17.3,7.8
1985/4/6,9.8,14.2,3.6
1985/4/7,10.5,11.6,8.8
1985/4/8,14.6,19.8,9.6
1985/4/9,15.8,22.8,9.4
1985/4/10,16.1,21.5,10.2
1985/4/11,13.8,16.3,11.2
1985/4/12,10.9,12.2,9.6
1985/4/13,14.6,20.3,11.1
1985/4/14,13.2,17.0,12.2
1985/4/15,13.2,17.3,9.0
1985/4/16,13.0,18.6,8.1
1985/4/17,12.4,18.5,7.5
1985/4/18,13.5,18.5,8.5
1985/4/19,15.2,20.6,8.4
1985/4/20,16.1,21.0,12.9
1985/4/21,15.4,21.3,9.5
1985/4/22,15.4,18.2,13.5
1985/4/23,17.6,21.6,14.7
1985/4/24,16.5,22.5,12.4
1985/4/25,15.5,22.0,8.6
1985/4/26,16.8,21.5,14.0
1985/4/27,15.7,20.9,10.7
1985/4/28,13.8,19.6,6.8
1985/4/29,15.4,21.4,8.7
1985/4/30,17.3,23.8,10.2
1985/5/1,18.5,25.1,12.2
