ダウンロードした時刻：2017/07/24 15:41:42

,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2012/1/1,3.7,6.9,0.2
2012/1/2,5.4,9.2,2.8
2012/1/3,5.8,9.7,3.9
2012/1/4,5.0,9.0,1.4
2012/1/5,3.9,7.5,1.5
2012/1/6,6.0,10.7,1.8
2012/1/7,4.8,7.6,3.3
2012/1/8,4.4,8.4,1.5
2012/1/9,5.7,11.1,1.4
2012/1/10,6.9,11.6,2.2
2012/1/11,6.5,11.1,1.3
2012/1/12,2.6,6.2,-0.2
2012/1/13,5.5,10.7,-0.7
2012/1/14,6.2,8.1,5.0
2012/1/15,6.3,9.3,3.2
2012/1/16,4.9,6.4,1.6
2012/1/17,4.8,9.6,1.8
2012/1/18,3.8,8.1,-1.1
2012/1/19,4.8,7.3,2.1
2012/1/20,6.8,9.4,4.8
2012/1/21,7.4,9.2,6.6
2012/1/22,8.7,12.8,4.6
2012/1/23,7.8,11.7,3.6
2012/1/24,4.1,8.0,2.2
2012/1/25,3.7,8.0,1.7
2012/1/26,2.5,6.1,-0.1
2012/1/27,4.2,8.5,1.9
2012/1/28,4.4,7.4,2.3
2012/1/29,3.0,7.0,1.1
2012/1/30,3.4,6.5,0.7
2012/1/31,3.9,8.1,0.0
2012/2/1,2.2,7.9,-2.4
2012/2/2,0.2,3.2,-1.6
2012/2/3,1.5,6.5,-2.5
2012/2/4,4.8,9.0,0.3
2012/2/5,5.7,8.3,2.8
2012/2/6,5.1,6.1,4.1
2012/2/7,8.1,10.2,5.5
2012/2/8,3.7,6.6,0.4
2012/2/9,2.5,7.1,-0.3
2012/2/10,4.1,9.1,0.4
2012/2/11,4.5,8.3,1.9
2012/2/12,4.2,7.8,2.2
2012/2/13,3.3,6.3,2.0
2012/2/14,5.7,7.4,3.1
2012/2/15,6.1,8.8,3.1
2012/2/16,5.1,10.3,2.4
2012/2/17,3.9,8.4,1.5
2012/2/18,1.1,4.1,-0.8
2012/2/19,2.0,7.2,-2.7
2012/2/20,4.3,10.0,-0.7
2012/2/21,5.3,11.5,-0.7
2012/2/22,7.9,10.2,5.5
2012/2/23,9.8,13.6,7.7
2012/2/24,9.9,14.5,7.5
2012/2/25,8.6,11.5,6.6
2012/2/26,4.8,7.2,2.0
2012/2/27,3.2,7.8,0.7
2012/2/28,3.9,7.3,-0.8
2012/2/29,7.5,12.6,3.9
2012/3/1,8.7,13.0,4.7
2012/3/2,9.0,10.2,7.9
2012/3/3,9.5,14.4,6.6
2012/3/4,6.1,8.9,4.1
2012/3/5,10.2,12.0,8.8
2012/3/6,15.0,20.4,10.5
2012/3/7,11.0,13.9,8.4
2012/3/8,10.6,14.6,6.3
2012/3/9,7.5,10.1,6.5
2012/3/10,8.2,12.2,5.6
2012/3/11,6.7,14.0,2.8
2012/3/12,3.7,7.5,1.7
2012/3/13,3.9,8.1,1.4
2012/3/14,5.3,10.1,0.1
2012/3/15,6.4,11.0,2.5
2012/3/16,6.7,10.4,0.7
2012/3/17,10.6,12.6,8.5
2012/3/18,12.8,14.4,9.9
2012/3/19,7.1,10.2,3.4
2012/3/20,7.5,14.7,1.6
2012/3/21,6.7,11.2,3.4
2012/3/22,9.2,18.0,1.5
2012/3/23,9.2,10.8,7.9
2012/3/24,10.1,13.6,6.7
2012/3/25,6.4,11.4,3.4
2012/3/26,5.8,9.9,2.3
2012/3/27,9.2,15.9,2.8
2012/3/28,9.4,17.4,4.1
2012/3/29,9.8,14.4,6.6
2012/3/30,11.3,15.7,5.2
2012/3/31,10.0,14.7,5.1
2012/4/1,6.8,13.1,2.3
2012/4/2,9.3,14.1,4.0
2012/4/3,12.2,18.8,7.6
2012/4/4,9.4,14.8,4.7
2012/4/5,11.4,19.5,5.1
2012/4/6,7.7,11.9,3.9
2012/4/7,6.5,10.6,3.5
2012/4/8,8.1,12.9,1.8
2012/4/9,11.9,16.5,5.9
2012/4/10,14.3,19.9,9.9
2012/4/11,14.2,16.3,13.0
2012/4/12,17.1,23.9,12.7
2012/4/13,15.9,21.1,12.5
2012/4/14,12.4,16.1,10.3
2012/4/15,13.0,16.3,7.9
2012/4/16,14.3,15.9,12.5
2012/4/17,14.7,20.8,10.2
2012/4/18,14.8,19.8,8.7
2012/4/19,16.1,20.0,12.6
2012/4/20,14.9,16.1,14.1
2012/4/21,14.9,16.1,13.7
2012/4/22,13.2,14.8,12.3
2012/4/23,16.4,21.0,13.2
2012/4/24,20.3,26.8,14.1
2012/4/25,18.3,21.5,15.1
2012/4/26,16.3,18.9,13.8
2012/4/27,17.9,23.6,12.8
2012/4/28,17.8,24.2,11.0
2012/4/29,19.0,22.2,16.5
2012/4/30,19.0,20.7,18.2
2012/5/1,18.9,21.2,17.5
