ダウンロードした時刻：2017/07/24 15:43:50

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/1/1,6.6,11.8,3.2
1992/1/2,5.9,11.6,1.9
1992/1/3,6.9,12.1,2.2
1992/1/4,6.0,9.9,3.1
1992/1/5,5.8,10.5,0.6
1992/1/6,6.7,7.5,5.6
1992/1/7,9.7,13.5,6.8
1992/1/8,9.0,12.4,6.1
1992/1/9,7.9,9.1,6.0
1992/1/10,6.4,8.8,3.6
1992/1/11,5.9,11.0,1.9
1992/1/12,6.2,13.3,1.5
1992/1/13,7.1,12.0,1.9
1992/1/14,5.1,8.0,1.7
1992/1/15,3.0,6.8,0.5
1992/1/16,3.0,8.5,-1.5
1992/1/17,5.4,10.6,2.0
1992/1/18,3.4,7.3,0.5
1992/1/19,2.7,5.9,0.6
1992/1/20,3.7,6.7,1.1
1992/1/21,4.0,8.2,-0.1
1992/1/22,5.8,11.5,1.1
1992/1/23,4.9,9.5,1.5
1992/1/24,4.6,8.9,1.2
1992/1/25,5.6,12.1,0.5
1992/1/26,7.0,13.5,2.2
1992/1/27,7.4,13.9,1.6
1992/1/28,7.5,13.3,2.3
1992/1/29,9.5,14.4,4.4
1992/1/30,8.3,11.3,5.8
1992/1/31,6.6,9.9,4.2
1992/2/1,2.7,5.0,0.0
1992/2/2,3.1,7.2,0.3
1992/2/3,4.5,6.5,2.4
1992/2/4,7.5,11.3,4.2
1992/2/5,4.6,7.7,1.2
1992/2/6,4.5,10.9,-1.1
1992/2/7,5.7,10.1,2.0
1992/2/8,4.6,9.2,1.7
1992/2/9,3.4,7.4,0.4
1992/2/10,4.6,10.7,-0.8
1992/2/11,3.8,7.0,1.4
1992/2/12,4.9,10.7,-0.9
1992/2/13,6.5,12.1,1.2
1992/2/14,5.5,8.7,2.4
1992/2/15,5.3,8.9,1.2
1992/2/16,5.7,10.0,2.9
1992/2/17,4.3,7.7,1.8
1992/2/18,5.6,11.8,0.2
1992/2/19,4.7,8.3,2.0
1992/2/20,4.0,7.6,1.8
1992/2/21,2.9,6.6,1.0
1992/2/22,2.9,6.7,0.3
1992/2/23,4.4,9.5,-1.1
1992/2/24,4.0,7.7,1.2
1992/2/25,3.0,6.3,1.3
1992/2/26,4.5,9.7,0.1
1992/2/27,7.3,15.2,-0.1
1992/2/28,10.2,15.6,3.0
1992/2/29,12.3,14.4,10.2
1992/3/1,13.8,17.3,9.2
1992/3/2,7.7,11.0,5.8
1992/3/3,6.2,9.6,5.0
1992/3/4,7.6,13.1,3.6
1992/3/5,9.3,11.6,6.7
1992/3/6,7.1,10.3,3.1
1992/3/7,5.2,9.9,2.3
1992/3/8,6.4,12.7,-0.1
1992/3/9,9.5,16.0,2.2
1992/3/10,11.2,16.0,8.1
1992/3/11,9.6,15.3,4.9
1992/3/12,10.7,18.9,3.5
1992/3/13,12.0,18.5,5.4
1992/3/14,13.9,21.3,5.2
1992/3/15,13.8,15.3,11.8
1992/3/16,10.1,12.0,7.4
1992/3/17,6.9,10.6,2.8
1992/3/18,8.3,10.6,7.0
1992/3/19,9.8,14.5,5.6
1992/3/20,9.8,13.8,6.0
1992/3/21,7.1,9.7,4.9
1992/3/22,6.4,10.9,2.6
1992/3/23,7.6,10.8,2.5
1992/3/24,11.4,15.3,9.4
1992/3/25,11.5,15.0,9.3
1992/3/26,10.3,11.9,8.5
1992/3/27,8.7,11.4,6.6
1992/3/28,10.6,14.7,5.7
1992/3/29,12.8,13.6,11.7
1992/3/30,12.5,15.8,7.9
1992/3/31,13.2,20.1,6.3
1992/4/1,13.6,14.8,12.7
1992/4/2,14.1,17.2,9.7
1992/4/3,14.6,21.8,7.1
1992/4/4,14.8,17.0,13.1
1992/4/5,13.3,16.1,11.2
1992/4/6,15.2,21.4,9.4
1992/4/7,12.5,16.7,8.8
1992/4/8,14.6,22.9,6.8
1992/4/9,17.5,23.3,11.5
1992/4/10,15.2,17.2,14.3
1992/4/11,13.1,15.8,8.4
1992/4/12,8.8,15.6,5.7
1992/4/13,7.9,12.5,4.7
1992/4/14,9.3,15.0,3.6
1992/4/15,12.8,20.9,4.9
1992/4/16,12.3,17.3,8.2
1992/4/17,11.8,17.9,6.5
1992/4/18,16.1,22.9,7.5
1992/4/19,13.9,18.3,9.2
1992/4/20,14.6,23.2,7.1
1992/4/21,17.2,25.8,7.9
1992/4/22,15.0,19.2,10.3
1992/4/23,15.6,22.9,7.4
1992/4/24,15.9,21.6,11.6
1992/4/25,15.3,21.6,10.1
1992/4/26,15.0,22.7,6.7
1992/4/27,18.3,26.8,9.6
1992/4/28,20.8,26.8,15.4
1992/4/29,18.1,22.9,14.0
1992/4/30,13.6,16.1,10.2
1992/5/1,13.7,20.0,8.2
