ダウンロードした時刻：2017/07/24 15:37:12

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,2.8,4.4,0.1
2009/1/2,2.6,4.3,0.6
2009/1/3,1.6,3.9,0.3
2009/1/4,4.0,6.0,2.0
2009/1/5,2.2,4.6,0.8
2009/1/6,1.1,3.6,-0.4
2009/1/7,1.3,4.0,0.0
2009/1/8,1.0,5.6,-1.7
2009/1/9,2.4,7.3,-3.2
2009/1/10,1.3,3.6,-2.5
2009/1/11,-2.4,0.2,-4.8
2009/1/12,0.0,3.2,-4.6
2009/1/13,-0.7,1.3,-3.6
2009/1/14,0.7,4.1,-2.8
2009/1/15,-2.2,1.7,-4.1
2009/1/16,0.6,3.5,-2.2
2009/1/17,0.7,3.0,-1.4
2009/1/18,1.7,5.3,-3.1
2009/1/19,4.9,7.4,1.3
2009/1/20,2.8,3.9,1.4
2009/1/21,2.6,3.9,0.7
2009/1/22,4.9,8.5,1.3
2009/1/23,6.3,11.1,-1.2
2009/1/24,-3.1,-1.0,-4.4
2009/1/25,-0.3,2.2,-3.6
2009/1/26,0.9,2.5,-0.3
2009/1/27,0.0,2.6,-1.5
2009/1/28,-1.1,3.1,-5.5
2009/1/29,0.9,6.6,-3.7
2009/1/30,2.3,4.9,-0.6
2009/1/31,1.8,3.2,-0.6
2009/2/1,-0.3,2.3,-2.3
2009/2/2,1.5,4.0,-1.0
2009/2/3,1.9,4.6,0.2
2009/2/4,0.8,2.1,-0.5
2009/2/5,2.4,6.7,-1.0
2009/2/6,1.8,3.7,0.0
2009/2/7,1.3,5.8,-0.9
2009/2/8,1.5,3.9,-0.6
2009/2/9,2.7,5.1,-2.0
2009/2/10,3.4,7.3,1.5
2009/2/11,2.4,7.0,-1.9
2009/2/12,3.9,7.7,0.0
2009/2/13,4.7,8.7,0.6
2009/2/14,6.7,12.2,4.5
2009/2/15,1.9,8.6,-2.5
2009/2/16,-2.9,-1.1,-4.6
2009/2/17,-1.6,1.8,-4.2
2009/2/18,-1.6,1.3,-3.6
2009/2/19,-2.1,0.8,-4.2
2009/2/20,1.2,6.0,-2.8
2009/2/21,-0.8,1.0,-2.8
2009/2/22,1.9,6.5,-3.6
2009/2/23,0.7,3.6,-2.4
2009/2/24,1.1,5.5,-3.7
2009/2/25,3.1,5.5,0.9
2009/2/26,1.8,4.9,0.0
2009/2/27,1.5,6.2,-2.6
2009/2/28,0.8,5.5,-3.0
2009/3/1,0.8,5.8,-4.0
2009/3/2,-0.2,2.0,-2.1
2009/3/3,0.7,3.4,-1.5
2009/3/4,3.0,8.1,-1.3
2009/3/5,3.1,7.7,-0.9
2009/3/6,6.1,7.7,1.1
2009/3/7,3.6,6.5,1.1
2009/3/8,5.4,8.6,1.5
2009/3/9,5.6,13.1,-0.3
2009/3/10,3.8,10.0,-1.1
2009/3/11,-0.3,1.7,-3.0
2009/3/12,1.9,5.4,-1.0
2009/3/13,4.6,9.5,-1.2
2009/3/14,4.4,9.3,0.1
2009/3/15,5.1,8.6,0.8
2009/3/16,7.0,10.8,3.2
2009/3/17,6.5,10.3,2.8
2009/3/18,9.8,15.8,2.2
2009/3/19,13.3,16.0,9.2
2009/3/20,5.2,9.3,2.1
2009/3/21,4.1,7.5,1.7
2009/3/22,7.4,11.6,1.4
2009/3/23,3.0,8.4,0.1
2009/3/24,1.7,7.7,-1.3
2009/3/25,1.6,6.2,-2.3
2009/3/26,1.9,5.6,-0.4
2009/3/27,1.3,5.5,-1.1
2009/3/28,1.8,5.5,-0.7
2009/3/29,2.1,6.4,-2.2
2009/3/30,3.1,7.4,0.0
2009/3/31,3.5,7.5,0.7
2009/4/1,4.4,10.8,-0.7
2009/4/2,5.9,10.0,0.6
2009/4/3,9.1,11.9,6.9
2009/4/4,9.7,16.3,5.7
2009/4/5,8.4,12.2,3.6
2009/4/6,8.4,13.3,1.9
2009/4/7,8.8,12.1,3.3
2009/4/8,8.6,15.8,-0.1
2009/4/9,10.5,13.8,6.2
2009/4/10,12.7,19.3,4.8
2009/4/11,12.4,17.2,8.4
2009/4/12,13.1,21.1,7.2
2009/4/13,11.2,15.2,7.0
2009/4/14,13.3,17.8,9.1
2009/4/15,10.1,12.8,6.9
2009/4/16,6.5,10.4,2.9
2009/4/17,7.5,13.9,0.2
2009/4/18,10.1,16.1,2.8
2009/4/19,10.0,13.7,6.7
2009/4/20,12.8,19.8,5.1
2009/4/21,13.8,15.9,11.9
2009/4/22,12.5,16.1,9.2
2009/4/23,6.9,9.2,5.6
2009/4/24,7.9,12.0,5.0
2009/4/25,9.6,12.6,6.8
2009/4/26,8.1,11.4,4.4
2009/4/27,7.3,9.1,4.8
2009/4/28,8.2,12.2,3.9
2009/4/29,9.0,14.8,2.2
2009/4/30,10.7,16.2,4.8
2009/5/1,12.0,18.2,4.9
