ダウンロードした時刻：2017/07/24 15:37:31

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,3.9,8.4,-1.0
2004/1/2,3.9,7.7,-0.4
2004/1/3,3.3,9.2,0.3
2004/1/4,1.2,5.1,-3.0
2004/1/5,0.6,6.4,-4.7
2004/1/6,-0.6,5.4,-4.9
2004/1/7,-0.5,3.5,-4.5
2004/1/8,1.4,3.6,-0.3
2004/1/9,1.0,5.0,-3.5
2004/1/10,0.3,7.8,-5.3
2004/1/11,0.0,1.9,-2.9
2004/1/12,1.6,5.0,-1.6
2004/1/13,3.2,8.9,-2.6
2004/1/14,1.0,4.6,-2.7
2004/1/15,-0.7,2.1,-2.6
2004/1/16,1.4,6.1,-2.8
2004/1/17,0.0,5.4,-3.6
2004/1/18,0.4,6.7,-4.0
2004/1/19,0.3,2.8,-2.0
2004/1/20,0.8,3.2,-1.0
2004/1/21,0.8,3.9,-1.3
2004/1/22,0.8,5.0,-2.6
2004/1/23,-2.4,-0.2,-4.1
2004/1/24,1.2,5.9,-3.0
2004/1/25,-1.1,4.8,-4.8
2004/1/26,-0.5,4.8,-5.2
2004/1/27,-0.7,3.6,-3.3
2004/1/28,-0.3,4.9,-4.2
2004/1/29,-0.6,3.9,-4.7
2004/1/30,-0.8,5.9,-6.2
2004/1/31,-0.2,5.2,-5.7
2004/2/1,0.0,5.9,-5.4
2004/2/2,0.4,3.5,-2.2
2004/2/3,1.6,6.2,-2.8
2004/2/4,-0.4,3.3,-4.3
2004/2/5,-0.2,3.7,-2.5
2004/2/6,0.1,4.0,-2.4
2004/2/7,-0.6,3.5,-3.3
2004/2/8,-0.6,5.0,-5.4
2004/2/9,-1.5,4.5,-6.3
2004/2/10,-1.9,3.5,-6.5
2004/2/11,-0.4,4.9,-6.7
2004/2/12,2.8,8.1,-1.3
2004/2/13,1.5,7.8,-3.7
2004/2/14,4.5,9.6,-1.3
2004/2/15,5.3,8.0,2.5
2004/2/16,4.3,8.8,0.0
2004/2/17,2.7,8.7,-0.8
2004/2/18,1.5,4.9,-1.4
2004/2/19,-0.4,4.3,-5.2
2004/2/20,0.6,5.4,-3.5
2004/2/21,3.7,11.4,-3.0
2004/2/22,10.6,18.5,4.0
2004/2/23,6.1,14.3,-0.3
2004/2/24,3.9,8.6,-2.0
2004/2/25,7.7,13.1,1.1
2004/2/26,4.5,11.8,-0.4
2004/2/27,-0.3,2.6,-2.7
2004/2/28,2.2,8.1,-5.5
2004/2/29,6.1,13.7,0.1
2004/3/1,0.2,3.8,-2.8
2004/3/2,-1.6,3.4,-5.0
2004/3/3,-2.4,1.7,-5.7
2004/3/4,-1.2,3.2,-5.1
2004/3/5,-1.8,2.9,-6.3
2004/3/6,-2.4,0.4,-5.5
2004/3/7,-2.0,3.3,-5.9
2004/3/8,-1.2,3.9,-7.5
2004/3/9,3.2,8.5,-1.8
2004/3/10,6.5,12.9,0.1
2004/3/11,7.8,15.5,3.5
2004/3/12,4.9,8.9,2.0
2004/3/13,2.8,7.5,-1.6
2004/3/14,2.4,7.5,-2.3
2004/3/15,1.3,5.5,-3.6
2004/3/16,5.9,13.2,-2.3
2004/3/17,14.4,22.6,5.9
2004/3/18,4.6,8.5,-1.3
2004/3/19,1.6,7.4,-3.6
2004/3/20,3.5,10.5,-2.2
2004/3/21,3.0,8.9,-2.3
2004/3/22,2.0,5.9,-1.3
2004/3/23,1.9,5.8,-1.8
2004/3/24,3.7,9.6,-2.0
2004/3/25,8.1,12.7,1.8
2004/3/26,7.6,12.1,4.5
2004/3/27,7.3,12.5,3.4
2004/3/28,6.7,14.9,1.7
2004/3/29,10.2,21.4,1.1
2004/3/30,12.7,19.2,5.8
2004/3/31,9.5,15.3,4.1
2004/4/1,7.7,12.8,2.5
2004/4/2,4.2,11.7,0.1
2004/4/3,2.5,6.9,-0.3
2004/4/4,3.9,9.3,-1.1
2004/4/5,4.5,9.4,-0.5
2004/4/6,11.1,20.4,0.9
2004/4/7,8.7,13.7,4.9
2004/4/8,6.9,12.6,1.6
2004/4/9,9.6,17.9,-0.3
2004/4/10,8.9,19.6,2.2
2004/4/11,7.4,11.0,2.5
2004/4/12,8.1,18.3,4.6
2004/4/13,7.2,10.5,2.9
2004/4/14,8.4,12.2,3.1
2004/4/15,9.0,18.3,2.7
2004/4/16,14.5,23.6,4.5
2004/4/17,8.6,14.9,3.8
2004/4/18,12.0,19.6,0.9
2004/4/19,18.9,23.8,12.3
2004/4/20,15.1,22.2,8.8
2004/4/21,12.1,19.0,6.6
2004/4/22,7.2,9.9,5.0
2004/4/23,4.3,6.7,2.1
2004/4/24,4.7,8.7,1.2
2004/4/25,6.6,11.8,1.3
2004/4/26,7.7,13.2,1.7
2004/4/27,6.5,8.4,5.3
2004/4/28,7.2,9.1,5.5
2004/4/29,11.1,16.0,6.8
2004/4/30,12.0,23.2,5.4
2004/5/1,7.3,10.7,3.0
