ダウンロードした時刻：2017/07/24 15:43:02

,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,2.1,4.0,0.4
2005/1/2,4.5,9.0,0.1
2005/1/3,9.4,13.7,6.0
2005/1/4,5.9,9.4,1.5
2005/1/5,3.5,7.4,0.7
2005/1/6,4.7,11.9,0.4
2005/1/7,5.8,9.2,1.8
2005/1/8,3.5,6.9,0.7
2005/1/9,2.2,4.7,0.2
2005/1/10,2.3,4.8,0.4
2005/1/11,4.6,6.8,1.7
2005/1/12,3.1,4.8,0.7
2005/1/13,3.8,7.1,1.6
2005/1/14,4.8,9.2,2.4
2005/1/15,4.7,10.3,0.8
2005/1/16,5.6,8.4,3.1
2005/1/17,6.2,8.9,2.6
2005/1/18,5.3,10.5,2.5
2005/1/19,5.5,10.3,4.2
2005/1/20,2.9,5.2,0.1
2005/1/21,1.9,4.9,0.2
2005/1/22,3.9,9.5,0.4
2005/1/23,4.9,9.5,1.1
2005/1/24,5.1,13.2,-1.2
2005/1/25,5.3,7.2,4.1
2005/1/26,4.4,7.6,1.8
2005/1/27,4.5,9.9,0.0
2005/1/28,5.3,13.1,0.8
2005/1/29,5.7,14.1,-0.8
2005/1/30,4.5,7.0,2.5
2005/1/31,2.3,5.1,-0.9
2005/2/1,-1.6,2.7,-4.2
2005/2/2,1.4,3.8,-1.1
2005/2/3,2.7,5.9,0.4
2005/2/4,4.7,9.4,0.3
2005/2/5,5.1,9.6,2.1
2005/2/6,4.2,6.5,1.1
2005/2/7,4.3,7.3,1.7
2005/2/8,7.2,11.6,3.6
2005/2/9,9.1,14.9,4.6
2005/2/10,5.0,7.5,0.9
2005/2/11,1.7,4.2,0.2
2005/2/12,2.3,4.2,-0.8
2005/2/13,3.1,9.2,-1.3
2005/2/14,5.1,10.3,-0.7
2005/2/15,5.9,9.8,2.9
2005/2/16,8.3,10.4,6.2
2005/2/17,6.6,8.8,5.0
2005/2/18,6.1,8.2,4.3
2005/2/19,6.2,8.1,4.2
2005/2/20,1.3,6.6,-1.0
2005/2/21,0.8,4.3,-0.8
2005/2/22,4.2,9.2,-0.9
2005/2/23,7.9,11.4,1.9
2005/2/24,2.9,5.6,0.3
2005/2/25,4.9,8.2,2.3
2005/2/26,1.8,4.8,-0.4
2005/2/27,3.4,7.4,0.1
2005/2/28,4.4,10.3,-1.0
2005/3/1,3.8,8.0,1.2
2005/3/2,4.2,8.4,0.6
2005/3/3,4.9,8.2,2.6
2005/3/4,4.7,8.9,1.1
2005/3/5,2.1,6.3,-0.1
2005/3/6,3.5,9.1,-0.1
2005/3/7,8.2,12.9,0.3
2005/3/8,11.4,15.4,8.0
2005/3/9,10.3,12.9,7.5
2005/3/10,12.2,20.8,3.8
2005/3/11,10.2,13.1,6.4
2005/3/12,2.2,6.9,-0.9
2005/3/13,-0.3,1.2,-2.3
2005/3/14,1.4,5.6,-3.4
2005/3/15,3.7,9.8,-1.0
2005/3/16,8.1,16.2,1.3
2005/3/17,10.6,18.8,7.7
2005/3/18,6.6,9.6,1.9
2005/3/19,6.2,13.5,0.9
2005/3/20,7.4,13.5,2.6
2005/3/21,8.6,15.0,1.6
2005/3/22,9.7,11.9,7.5
2005/3/23,7.9,9.9,3.3
2005/3/24,4.5,10.7,2.3
2005/3/25,4.2,7.7,0.3
2005/3/26,11.4,15.4,7.7
2005/3/27,12.1,17.0,6.3
2005/3/28,10.8,12.5,9.3
2005/3/29,8.7,13.6,4.3
2005/3/30,7.6,13.7,1.8
2005/3/31,10.3,15.7,4.4
2005/4/1,9.1,14.2,5.1
2005/4/2,12.0,20.1,4.2
2005/4/3,9.1,13.0,5.1
2005/4/4,8.0,13.1,4.9
2005/4/5,13.6,17.5,5.1
2005/4/6,15.4,18.6,11.3
2005/4/7,19.5,26.0,15.3
2005/4/8,13.5,19.7,10.3
2005/4/9,12.3,16.2,8.6
2005/4/10,17.7,28.5,9.9
2005/4/11,10.7,13.7,9.3
2005/4/12,9.4,10.7,6.6
2005/4/13,9.6,14.1,5.7
2005/4/14,12.7,19.5,5.8
2005/4/15,12.6,18.9,7.3
2005/4/16,12.5,19.0,5.8
2005/4/17,15.1,20.7,9.5
2005/4/18,15.0,21.5,7.7
2005/4/19,17.0,23.4,8.3
2005/4/20,16.0,21.6,12.9
2005/4/21,13.8,16.9,10.6
2005/4/22,14.3,17.7,11.4
2005/4/23,13.0,17.9,8.2
2005/4/24,12.2,18.4,5.7
2005/4/25,16.3,22.7,11.8
2005/4/26,15.8,21.6,10.5
2005/4/27,15.8,23.7,7.3
2005/4/28,20.8,28.2,12.1
2005/4/29,21.9,24.6,19.1
2005/4/30,22.7,29.5,19.0
2005/5/1,19.6,21.9,16.9
