ダウンロードした時刻：2017/07/24 15:45:32

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,3.7,7.7,1.0
2005/1/2,4.5,7.7,1.0
2005/1/3,8.7,14.0,1.7
2005/1/4,8.7,11.4,4.1
2005/1/5,5.2,9.9,1.1
2005/1/6,6.8,10.7,3.1
2005/1/7,7.9,12.0,3.2
2005/1/8,5.4,8.5,1.9
2005/1/9,4.8,7.7,2.8
2005/1/10,3.7,7.3,-0.2
2005/1/11,6.5,8.9,4.0
2005/1/12,4.9,7.0,1.6
2005/1/13,4.8,8.3,1.7
2005/1/14,5.6,9.1,2.2
2005/1/15,7.2,10.7,5.1
2005/1/16,6.0,7.3,3.9
2005/1/17,7.4,10.9,4.2
2005/1/18,7.3,11.7,3.0
2005/1/19,8.0,11.1,5.2
2005/1/20,5.3,7.9,3.1
2005/1/21,4.2,7.4,0.7
2005/1/22,4.3,8.9,-0.2
2005/1/23,5.5,8.5,2.2
2005/1/24,6.9,12.1,1.1
2005/1/25,7.7,10.7,5.9
2005/1/26,6.9,10.7,2.9
2005/1/27,5.9,9.6,1.4
2005/1/28,7.7,13.5,2.5
2005/1/29,9.0,13.9,2.8
2005/1/30,7.5,10.1,5.3
2005/1/31,4.2,6.8,1.1
2005/2/1,0.3,2.2,-1.6
2005/2/2,2.3,4.9,-0.4
2005/2/3,4.2,7.6,0.7
2005/2/4,4.4,10.3,-0.3
2005/2/5,5.8,10.7,0.9
2005/2/6,5.1,10.1,0.4
2005/2/7,3.9,5.8,1.0
2005/2/8,6.8,9.4,4.6
2005/2/9,8.6,13.2,3.0
2005/2/10,8.1,10.7,3.3
2005/2/11,4.7,8.7,1.0
2005/2/12,3.5,6.7,0.0
2005/2/13,4.3,9.3,0.4
2005/2/14,5.3,10.4,-1.3
2005/2/15,8.2,10.9,6.2
2005/2/16,10.5,13.7,7.7
2005/2/17,10.1,12.3,6.9
2005/2/18,7.7,10.9,6.0
2005/2/19,7.2,8.6,6.1
2005/2/20,4.5,8.1,1.0
2005/2/21,2.3,5.2,-1.0
2005/2/22,4.4,9.9,-1.1
2005/2/23,10.7,13.9,5.5
2005/2/24,4.9,8.1,2.8
2005/2/25,6.6,11.2,2.8
2005/2/26,3.2,7.5,1.0
2005/2/27,3.0,7.2,-1.7
2005/2/28,5.4,9.9,0.5
2005/3/1,5.7,11.0,0.5
2005/3/2,6.8,10.6,1.5
2005/3/3,7.1,9.8,5.5
2005/3/4,5.6,9.1,1.9
2005/3/5,4.5,9.3,1.4
2005/3/6,4.4,9.3,0.2
2005/3/7,6.8,12.7,1.5
2005/3/8,9.8,16.9,3.3
2005/3/9,11.8,17.0,6.5
2005/3/10,13.0,18.6,8.7
2005/3/11,13.0,14.8,11.6
2005/3/12,5.2,11.6,2.0
2005/3/13,2.5,5.6,0.1
2005/3/14,4.2,7.6,0.4
2005/3/15,7.3,13.1,2.2
2005/3/16,11.4,17.8,4.0
2005/3/17,13.7,19.1,11.2
2005/3/18,9.5,12.4,4.6
2005/3/19,7.6,13.3,2.0
2005/3/20,9.0,13.6,4.9
2005/3/21,10.2,15.6,4.0
2005/3/22,11.6,16.4,8.7
2005/3/23,9.9,11.8,6.4
2005/3/24,6.5,12.7,2.8
2005/3/25,5.8,8.9,1.6
2005/3/26,11.3,15.1,7.0
2005/3/27,11.0,16.1,7.7
2005/3/28,11.8,14.1,9.9
2005/3/29,11.4,15.0,6.8
2005/3/30,8.8,13.9,3.4
2005/3/31,11.2,16.6,4.9
2005/4/1,11.9,17.7,5.6
2005/4/2,13.6,19.1,9.3
2005/4/3,12.2,17.6,6.1
2005/4/4,9.1,13.6,5.9
2005/4/5,13.3,20.0,5.5
2005/4/6,14.7,19.5,8.9
2005/4/7,19.6,24.9,15.1
2005/4/8,19.5,24.7,15.8
2005/4/9,18.0,22.5,14.8
2005/4/10,19.9,28.0,14.5
2005/4/11,14.6,17.0,13.4
2005/4/12,11.1,13.7,10.1
2005/4/13,12.4,16.7,7.2
2005/4/14,13.3,18.8,7.7
2005/4/15,15.1,19.0,9.8
2005/4/16,14.9,19.9,10.3
2005/4/17,15.8,22.9,8.6
2005/4/18,17.1,23.5,11.1
2005/4/19,18.1,23.8,11.5
2005/4/20,16.0,20.9,11.0
2005/4/21,15.3,21.6,9.8
2005/4/22,14.7,18.2,10.9
2005/4/23,13.5,18.0,9.0
2005/4/24,15.5,21.8,8.1
2005/4/25,15.9,20.0,12.9
2005/4/26,16.8,21.3,12.3
2005/4/27,17.2,23.5,9.4
2005/4/28,20.3,26.9,13.1
2005/4/29,22.4,27.8,15.5
2005/4/30,22.6,27.0,17.9
2005/5/1,20.1,22.7,17.6
