ダウンロードした時刻：2017/07/24 15:43:46

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/1/1,1.5,4.0,0.3
2005/1/2,4.9,7.8,0.9
2005/1/3,10.5,13.8,7.2
2005/1/4,7.3,12.9,3.5
2005/1/5,4.5,8.0,2.0
2005/1/6,6.1,10.1,1.1
2005/1/7,8.0,9.8,6.1
2005/1/8,5.7,7.5,2.4
2005/1/9,3.6,5.7,0.9
2005/1/10,4.5,6.4,3.0
2005/1/11,6.2,8.0,4.6
2005/1/12,4.5,6.4,3.1
2005/1/13,5.2,6.8,3.4
2005/1/14,5.8,10.5,2.1
2005/1/15,5.1,9.9,1.3
2005/1/16,5.9,8.3,2.9
2005/1/17,7.1,10.7,3.9
2005/1/18,6.2,11.3,2.6
2005/1/19,7.0,10.2,5.1
2005/1/20,3.6,6.4,0.9
2005/1/21,4.1,6.2,1.4
2005/1/22,5.2,10.4,0.7
2005/1/23,5.7,12.1,2.2
2005/1/24,7.4,12.5,0.9
2005/1/25,7.3,10.4,5.0
2005/1/26,5.3,9.5,2.4
2005/1/27,6.2,12.3,2.2
2005/1/28,6.6,13.1,2.3
2005/1/29,7.4,14.1,0.6
2005/1/30,6.0,8.8,4.1
2005/1/31,3.2,4.9,0.4
2005/2/1,-1.2,3.3,-4.7
2005/2/2,2.2,4.9,-0.9
2005/2/3,4.1,5.7,2.4
2005/2/4,6.2,10.4,1.9
2005/2/5,7.4,9.7,3.1
2005/2/6,5.3,10.3,0.8
2005/2/7,3.6,6.9,-0.1
2005/2/8,8.0,11.8,5.3
2005/2/9,9.6,14.3,5.5
2005/2/10,6.3,7.9,4.9
2005/2/11,4.8,7.3,3.8
2005/2/12,4.1,6.5,2.0
2005/2/13,5.1,8.9,1.6
2005/2/14,4.8,9.8,-0.5
2005/2/15,7.0,9.1,5.5
2005/2/16,10.4,12.5,6.9
2005/2/17,7.5,9.5,4.6
2005/2/18,6.0,9.5,4.0
2005/2/19,7.7,10.1,5.1
2005/2/20,2.1,5.9,-0.4
2005/2/21,1.5,3.4,0.1
2005/2/22,6.1,11.1,0.9
2005/2/23,9.7,12.5,3.2
2005/2/24,4.7,8.2,2.7
2005/2/25,6.1,8.2,3.6
2005/2/26,2.7,4.1,0.4
2005/2/27,4.5,8.6,1.8
2005/2/28,6.1,10.1,2.1
2005/3/1,3.6,9.2,0.4
2005/3/2,5.7,9.6,1.3
2005/3/3,5.4,8.6,3.6
2005/3/4,4.4,7.1,1.6
2005/3/5,4.3,7.9,1.2
2005/3/6,4.6,9.8,0.6
2005/3/7,9.4,12.3,5.3
2005/3/8,12.2,15.0,8.9
2005/3/9,13.0,16.1,8.8
2005/3/10,15.4,20.9,8.2
2005/3/11,11.2,13.9,6.9
2005/3/12,3.4,7.4,0.8
2005/3/13,1.6,4.5,-1.0
2005/3/14,4.0,7.3,-0.2
2005/3/15,7.4,13.4,1.2
2005/3/16,12.1,16.3,9.4
2005/3/17,11.4,17.6,9.3
2005/3/18,8.0,11.7,2.7
2005/3/19,7.6,14.5,1.6
2005/3/20,9.7,12.6,4.2
2005/3/21,9.7,15.9,2.9
2005/3/22,11.2,16.4,8.2
2005/3/23,9.0,12.6,4.8
2005/3/24,6.3,11.3,1.3
2005/3/25,5.5,10.8,0.6
2005/3/26,12.2,13.9,10.6
2005/3/27,12.1,16.0,8.5
2005/3/28,12.0,14.8,10.0
2005/3/29,9.5,13.7,3.7
2005/3/30,8.4,12.4,2.1
2005/3/31,11.9,16.9,4.8
2005/4/1,9.9,16.5,3.3
2005/4/2,13.1,18.5,6.3
2005/4/3,10.4,16.0,5.7
2005/4/4,9.3,13.0,6.2
2005/4/5,14.6,18.1,10.7
2005/4/6,16.7,20.3,11.3
2005/4/7,20.1,25.5,16.6
2005/4/8,14.9,21.0,10.0
2005/4/9,14.6,23.1,8.0
2005/4/10,17.4,27.3,10.8
2005/4/11,11.4,16.4,8.2
2005/4/12,10.2,13.3,7.4
2005/4/13,11.3,15.3,7.1
2005/4/14,13.3,18.5,6.9
2005/4/15,13.2,18.0,8.2
2005/4/16,12.6,17.9,7.4
2005/4/17,12.9,19.5,5.3
2005/4/18,14.9,22.7,8.4
2005/4/19,17.4,25.8,9.2
2005/4/20,16.8,20.8,13.6
2005/4/21,14.9,18.1,12.8
2005/4/22,14.6,16.4,12.9
2005/4/23,13.7,18.0,8.2
2005/4/24,12.9,19.7,5.1
2005/4/25,17.3,20.5,12.5
2005/4/26,15.8,20.3,11.0
2005/4/27,15.3,20.9,7.4
2005/4/28,22.2,26.9,17.8
2005/4/29,21.8,23.2,19.5
2005/4/30,23.9,28.0,20.1
2005/5/1,19.4,23.1,15.9
