ダウンロードした時刻：2017/07/24 15:46:32

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/1/1,2.1,3.9,-0.3
2009/1/2,4.6,8.7,0.2
2009/1/3,5.0,11.8,1.1
2009/1/4,5.5,11.1,1.5
2009/1/5,6.8,10.1,1.8
2009/1/6,6.0,11.5,0.5
2009/1/7,7.7,11.3,4.0
2009/1/8,8.1,10.8,4.7
2009/1/9,6.0,8.6,3.7
2009/1/10,2.6,4.5,1.1
2009/1/11,3.9,7.5,-0.1
2009/1/12,2.1,4.9,0.3
2009/1/13,1.7,3.9,-1.4
2009/1/14,3.6,6.7,0.9
2009/1/15,1.3,5.3,-1.2
2009/1/16,5.0,8.9,1.4
2009/1/17,6.6,12.0,1.6
2009/1/18,11.7,14.7,9.2
2009/1/19,6.8,10.2,3.6
2009/1/20,6.7,12.0,2.8
2009/1/21,6.9,9.0,5.3
2009/1/22,7.8,12.4,4.0
2009/1/23,3.6,9.5,-1.8
2009/1/24,0.0,3.0,-3.2
2009/1/25,3.3,6.2,1.0
2009/1/26,4.5,6.4,1.6
2009/1/27,2.8,7.9,-1.1
2009/1/28,5.7,11.9,0.6
2009/1/29,9.6,13.2,3.2
2009/1/30,11.8,12.9,10.9
2009/1/31,9.8,11.5,6.7
2009/2/1,8.0,10.2,4.6
2009/2/2,7.8,13.6,3.2
2009/2/3,9.2,10.9,7.4
2009/2/4,10.4,12.9,7.5
2009/2/5,10.4,14.1,6.6
2009/2/6,8.6,14.1,4.8
2009/2/7,9.7,15.1,4.7
2009/2/8,8.9,13.9,4.3
2009/2/9,6.3,9.2,3.7
2009/2/10,8.2,12.1,3.9
2009/2/11,11.7,15.1,8.3
2009/2/12,12.6,17.6,5.1
2009/2/13,17.3,19.4,15.1
2009/2/14,12.5,17.5,8.0
2009/2/15,10.1,16.5,6.6
2009/2/16,5.1,8.9,2.4
2009/2/17,2.9,7.1,0.2
2009/2/18,4.5,9.8,0.4
2009/2/19,7.0,9.4,1.9
2009/2/20,7.2,10.2,3.6
2009/2/21,4.8,9.9,0.1
2009/2/22,10.0,11.8,4.2
2009/2/23,11.7,14.7,10.1
2009/2/24,12.4,16.3,10.4
2009/2/25,10.8,13.3,6.9
2009/2/26,10.8,16.1,6.4
2009/2/27,9.8,10.4,8.8
2009/2/28,10.6,12.6,8.0
2009/3/1,8.8,14.5,4.4
2009/3/2,8.8,12.3,5.5
2009/3/3,8.8,14.3,6.7
2009/3/4,9.6,13.2,7.1
2009/3/5,11.3,13.3,8.0
2009/3/6,10.2,11.6,7.6
2009/3/7,7.1,11.4,4.3
2009/3/8,9.4,15.4,4.7
2009/3/9,10.4,14.0,6.7
2009/3/10,11.1,15.6,6.3
2009/3/11,9.4,13.4,4.8
2009/3/12,11.4,14.2,4.7
2009/3/13,11.9,16.1,6.0
2009/3/14,5.2,8.4,2.0
2009/3/15,8.8,13.1,2.4
2009/3/16,14.3,17.9,10.9
2009/3/17,15.7,20.5,9.4
2009/3/18,18.0,21.1,15.7
2009/3/19,18.1,20.1,17.4
2009/3/20,11.6,17.9,10.7
2009/3/21,14.3,18.7,10.1
2009/3/22,15.2,17.6,13.2
2009/3/23,11.4,14.9,8.9
2009/3/24,9.3,13.3,5.1
2009/3/25,7.4,10.5,4.4
2009/3/26,9.4,13.5,3.8
2009/3/27,8.6,12.2,4.8
2009/3/28,8.0,12.6,4.4
2009/3/29,9.0,12.4,5.4
2009/3/30,10.4,13.2,7.6
2009/3/31,11.1,16.1,6.5
2009/4/1,7.9,10.9,4.2
2009/4/2,9.3,14.8,4.0
2009/4/3,12.7,16.7,8.9
2009/4/4,12.7,16.7,10.6
2009/4/5,12.7,17.8,8.6
2009/4/6,13.8,19.3,8.2
2009/4/7,17.1,21.8,13.7
2009/4/8,15.0,18.9,10.7
2009/4/9,13.9,19.6,9.4
2009/4/10,15.3,23.4,9.0
2009/4/11,15.7,22.5,9.7
2009/4/12,17.1,24.9,9.7
2009/4/13,18.4,22.1,16.0
2009/4/14,13.1,16.3,10.4
2009/4/15,15.2,20.3,9.1
2009/4/16,12.6,16.2,11.5
2009/4/17,12.9,17.8,8.6
2009/4/18,14.4,23.0,7.1
2009/4/19,15.8,21.6,9.3
2009/4/20,15.9,17.7,14.1
2009/4/21,14.6,18.2,12.7
2009/4/22,15.9,19.8,12.3
2009/4/23,14.2,17.4,10.3
2009/4/24,14.6,16.5,13.4
2009/4/25,13.6,17.0,10.3
2009/4/26,11.8,15.3,9.6
2009/4/27,11.9,16.4,8.3
2009/4/28,15.0,21.1,10.5
2009/4/29,15.2,21.2,8.9
2009/4/30,17.0,23.1,9.9
2009/5/1,17.4,22.9,11.6
